Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Gord Cochrane,Helena Guergis,Kellie Leitch,Jace Metheral,Alex Smardenka,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 1","Blue Mountains",45,1,29,110,18,53,1,0,257,484
35085,"Simcoe--Grey/Simcoe--Grey"," 2","Blue Mountains",42,5,20,63,14,34,0,0,178,336
35085,"Simcoe--Grey/Simcoe--Grey"," 3","Blue Mountains",39,2,32,70,16,28,2,1,190,334
35085,"Simcoe--Grey/Simcoe--Grey"," 4","Blue Mountains",43,2,14,70,10,29,2,0,170,310
35085,"Simcoe--Grey/Simcoe--Grey"," 5","Blue Mountains",40,4,45,81,14,42,3,1,230,360
35085,"Simcoe--Grey/Simcoe--Grey"," 6","Blue Mountains",43,5,36,90,22,33,0,0,229,407
35085,"Simcoe--Grey/Simcoe--Grey"," 7","Blue Mountains",47,2,42,123,16,51,0,0,281,559
35085,"Simcoe--Grey/Simcoe--Grey"," 8","Blue Mountains",31,0,43,100,11,65,0,1,251,472
35085,"Simcoe--Grey/Simcoe--Grey"," 9","Blue Mountains",42,1,44,133,14,34,5,1,274,520
35085,"Simcoe--Grey/Simcoe--Grey"," 10","Blue Mountains",23,3,43,119,21,34,0,1,244,465
35085,"Simcoe--Grey/Simcoe--Grey"," 11","Blue Mountains",36,3,41,90,14,21,0,1,206,341
35085,"Simcoe--Grey/Simcoe--Grey"," 12","Blue Mountains",34,0,28,93,9,18,2,1,185,278
35085,"Simcoe--Grey/Simcoe--Grey"," 13","Blue Mountains",44,0,28,86,9,37,4,0,208,367
35085,"Simcoe--Grey/Simcoe--Grey"," 14","Collingwood",37,2,24,144,10,38,0,0,255,468
35085,"Simcoe--Grey/Simcoe--Grey"," 15","Collingwood",47,2,18,102,19,41,1,0,230,555
35085,"Simcoe--Grey/Simcoe--Grey"," 16","Collingwood",28,0,16,66,4,28,0,1,143,252
35085,"Simcoe--Grey/Simcoe--Grey"," 17","Collingwood",30,0,34,101,2,36,2,0,205,458
35085,"Simcoe--Grey/Simcoe--Grey"," 18","Collingwood",27,1,21,115,18,47,0,0,229,449
35085,"Simcoe--Grey/Simcoe--Grey"," 19","Collingwood",49,2,41,182,20,64,0,2,360,641
35085,"Simcoe--Grey/Simcoe--Grey"," 19-1","Collingwood",49,0,17,73,16,24,2,0,181,391
35085,"Simcoe--Grey/Simcoe--Grey"," 20","Collingwood",38,0,28,63,21,26,0,1,177,407
35085,"Simcoe--Grey/Simcoe--Grey"," 21","Collingwood",41,0,42,66,9,29,1,0,188,394
35085,"Simcoe--Grey/Simcoe--Grey"," 22","Collingwood",37,1,37,47,17,15,0,1,155,288
35085,"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",25,2,20,81,11,36,1,1,177,408
35085,"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",50,0,23,54,12,22,0,4,165,379
35085,"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",37,0,32,75,18,36,1,0,199,394
35085,"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",48,3,33,75,21,25,0,0,205,419
35085,"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",36,0,14,55,9,21,2,0,137,303
35085,"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",30,2,11,48,10,10,2,0,113,270
35085,"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",29,1,20,52,11,25,0,1,139,326
35085,"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",54,3,30,78,24,23,0,1,213,415
35085,"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",60,0,43,96,23,49,3,2,276,465
35085,"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",34,0,28,64,10,31,3,0,170,328
35085,"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",32,0,26,47,4,20,2,3,134,223
35085,"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",36,1,24,86,35,33,5,0,220,382
