Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Andrews,Anna Di Carlo,Kirsty Duncan,Alex Dvornyak,John C. Gardner,Priti Lamba,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Etobicoke North/Etobicoke-Nord"," 1","Etobicoke",75,1,68,3,4,75,2,228,527
35024,"Etobicoke North/Etobicoke-Nord"," 2","Etobicoke",88,0,144,1,0,58,3,294,691
35024,"Etobicoke North/Etobicoke-Nord"," 3","Etobicoke",58,2,140,1,0,59,2,262,564
35024,"Etobicoke North/Etobicoke-Nord"," 4","Etobicoke",18,0,49,0,0,29,0,96,250
35024,"Etobicoke North/Etobicoke-Nord"," 5","Etobicoke",58,0,93,2,0,27,3,183,549
35024,"Etobicoke North/Etobicoke-Nord"," 6","Etobicoke",48,0,88,1,0,58,4,199,392
35024,"Etobicoke North/Etobicoke-Nord"," 7","Etobicoke",32,1,77,0,0,48,1,159,430
35024,"Etobicoke North/Etobicoke-Nord"," 8","Etobicoke",45,1,83,0,0,55,1,185,474
35024,"Etobicoke North/Etobicoke-Nord"," 9","Etobicoke",62,1,95,2,4,59,0,223,439
35024,"Etobicoke North/Etobicoke-Nord"," 10","Etobicoke",47,0,75,0,0,53,0,175,345
35024,"Etobicoke North/Etobicoke-Nord"," 11","Etobicoke",95,3,188,1,1,80,4,372,963
35024,"Etobicoke North/Etobicoke-Nord"," 12","Etobicoke",29,2,89,0,0,42,0,162,327
35024,"Etobicoke North/Etobicoke-Nord"," 13","Etobicoke",64,2,124,1,0,34,0,225,482
35024,"Etobicoke North/Etobicoke-Nord"," 14","Etobicoke",43,0,123,0,1,86,10,263,529
35024,"Etobicoke North/Etobicoke-Nord"," 15","Etobicoke",162,4,177,6,1,127,3,480,1112
35024,"Etobicoke North/Etobicoke-Nord"," 16","Etobicoke",48,0,73,0,1,42,3,167,343
35024,"Etobicoke North/Etobicoke-Nord"," 17","Etobicoke",Void/Supprimé,,,,,,,,
35024,"Etobicoke North/Etobicoke-Nord"," 18","Etobicoke",62,2,122,1,1,51,0,239,524
35024,"Etobicoke North/Etobicoke-Nord"," 19","Etobicoke",49,1,88,0,0,47,4,189,452
35024,"Etobicoke North/Etobicoke-Nord"," 20","Etobicoke",41,0,127,2,0,60,3,233,473
