Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Gabriel Dumais,Jeff Itcush,Diane Johnston,Brian Sarwer-Foner,abraham Weizfeld,Saulie Zajdel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Mount Royal/Mont-Royal"," 124A","Côte-Saint-Luc",Merged with No. 121/Fusionné avec le nº 121,,,,,,,,,59
24044,"Mount Royal/Mont-Royal"," 124B","Côte-Saint-Luc",66,0,22,0,3,0,111,2,204,427
24044,"Mount Royal/Mont-Royal"," 125","Côte-Saint-Luc",58,0,18,0,2,0,105,0,183,362
24044,"Mount Royal/Mont-Royal"," 126","Côte-Saint-Luc",70,0,26,0,2,0,122,3,223,434
24044,"Mount Royal/Mont-Royal"," 127","Côte-Saint-Luc",70,0,22,0,3,0,118,1,214,432
24044,"Mount Royal/Mont-Royal"," 128","Côte-Saint-Luc",56,0,16,0,1,1,139,3,216,391
24044,"Mount Royal/Mont-Royal"," 129","Côte-Saint-Luc",50,3,28,0,0,1,84,0,166,328
24044,"Mount Royal/Mont-Royal"," 130","Côte-Saint-Luc",68,1,56,0,2,0,54,1,182,383
24044,"Mount Royal/Mont-Royal"," 131","Côte-Saint-Luc",114,0,45,0,9,1,52,1,222,398
24044,"Mount Royal/Mont-Royal"," 132","Côte-Saint-Luc",52,0,26,0,3,0,100,3,184,429
24044,"Mount Royal/Mont-Royal"," 133","Côte-Saint-Luc",70,1,18,0,3,1,116,0,209,400
24044,"Mount Royal/Mont-Royal"," 134","Côte-Saint-Luc",55,1,17,0,3,1,82,1,160,362
24044,"Mount Royal/Mont-Royal"," 135","Côte-Saint-Luc",62,2,19,1,6,1,108,1,200,411
24044,"Mount Royal/Mont-Royal"," 136","Côte-Saint-Luc",68,3,18,0,1,0,59,1,150,399
24044,"Mount Royal/Mont-Royal"," 137","Côte-Saint-Luc",31,0,8,0,0,1,89,0,129,338
24044,"Mount Royal/Mont-Royal"," 138","Côte-Saint-Luc",35,1,7,0,0,0,112,2,157,380
24044,"Mount Royal/Mont-Royal"," 139","Côte-Saint-Luc",48,0,8,0,3,0,96,0,155,399
24044,"Mount Royal/Mont-Royal"," 140A","Côte-Saint-Luc",Merged with No. 406/Fusionné avec le nº 406,,,,,,,,,112
24044,"Mount Royal/Mont-Royal"," 140B","Côte-Saint-Luc",55,0,3,0,0,0,134,1,193,358
24044,"Mount Royal/Mont-Royal"," 141","Côte-Saint-Luc",61,0,10,0,2,0,165,0,238,432
24044,"Mount Royal/Mont-Royal"," 142","Côte-Saint-Luc",45,2,13,0,2,0,138,1,201,436
24044,"Mount Royal/Mont-Royal"," 143","Côte-Saint-Luc",64,3,7,0,0,0,123,0,197,349
24044,"Mount Royal/Mont-Royal"," 144","Côte-Saint-Luc",Merged with No. 143/Fusionné avec le nº 143,,,,,,,,,101
24044,"Mount Royal/Mont-Royal"," 145","Côte-Saint-Luc",53,0,8,0,1,0,107,2,171,366
24044,"Mount Royal/Mont-Royal"," 146","Côte-Saint-Luc",54,0,13,0,1,1,122,1,192,410
24044,"Mount Royal/Mont-Royal"," 147","Côte-Saint-Luc",40,1,11,0,2,1,127,1,183,368
24044,"Mount Royal/Mont-Royal"," 148","Côte-Saint-Luc",49,0,4,0,0,0,124,1,178,372
24044,"Mount Royal/Mont-Royal"," 149","Côte-Saint-Luc",79,0,5,0,0,0,112,2,198,374
24044,"Mount Royal/Mont-Royal"," 150","Côte-Saint-Luc",63,0,20,0,1,0,90,0,174,332
24044,"Mount Royal/Mont-Royal"," 151","Côte-Saint-Luc",71,0,26,1,5,1,107,1,212,440
24044,"Mount Royal/Mont-Royal"," 152","Côte-Saint-Luc",50,0,13,0,2,1,88,3,157,332
24044,"Mount Royal/Mont-Royal"," 153","Côte-Saint-Luc",69,0,34,0,1,0,85,0,189,359
24044,"Mount Royal/Mont-Royal"," 154A","Côte-Saint-Luc",Merged with No. 407/Fusionné avec le nº 407,,,,,,,,,147
24044,"Mount Royal/Mont-Royal"," 154B","Côte-Saint-Luc",103,5,36,0,1,0,68,1,214,436
24044,"Mount Royal/Mont-Royal"," 155","Côte-Saint-Luc",107,1,46,3,4,0,88,0,249,438
24044,"Mount Royal/Mont-Royal"," 156A","Côte-Saint-Luc",Merged with No. 409/Fusionné avec le nº 409,,,,,,,,,105
24044,"Mount Royal/Mont-Royal"," 156B","Côte-Saint-Luc",46,2,32,1,1,0,67,3,152,336
24044,"Mount Royal/Mont-Royal"," 157","Côte-Saint-Luc",41,2,39,2,2,0,42,1,129,272
24044,"Mount Royal/Mont-Royal"," 158","Côte-Saint-Luc",37,0,12,1,2,0,46,1,99,160
24044,"Mount Royal/Mont-Royal"," 159A","Côte-Saint-Luc",37,1,43,2,1,0,50,3,137,326
24044,"Mount Royal/Mont-Royal"," 159B","Côte-Saint-Luc",Merged with No. 410/Fusionné avec le nº 410,,,,,,,,,153
24044,"Mount Royal/Mont-Royal"," 160","Côte-Saint-Luc",104,2,26,1,2,1,80,2,218,221
24044,"Mount Royal/Mont-Royal"," 161","Côte-Saint-Luc",50,2,44,1,5,0,68,0,170,411
24044,"Mount Royal/Mont-Royal"," 400","Montréal",25,0,8,0,0,1,82,1,117,196
24044,"Mount Royal/Mont-Royal"," 401","Hampstead",62,1,14,0,1,0,80,0,158,321
24044,"Mount Royal/Mont-Royal"," 402","Côte-Saint-Luc",71,1,22,0,1,2,87,2,186,274
24044,"Mount Royal/Mont-Royal"," 403","Côte-Saint-Luc",Merged with No. 404/Fusionné avec le nº 404,,,,,,,,,202
24044,"Mount Royal/Mont-Royal"," 404","Côte-Saint-Luc",65,0,21,1,4,0,123,3,217,233
24044,"Mount Royal/Mont-Royal"," 405","Côte-Saint-Luc",102,0,2,0,0,0,60,1,165,214
24044,"Mount Royal/Mont-Royal"," 406","Côte-Saint-Luc",42,0,24,0,1,0,81,0,148,249
24044,"Mount Royal/Mont-Royal"," 407","Côte-Saint-Luc",156,3,47,2,4,0,65,5,282,260
24044,"Mount Royal/Mont-Royal"," 408","Côte-Saint-Luc",Merged with No. 160/Fusionné avec le nº 160,,,,,,,,,157
24044,"Mount Royal/Mont-Royal"," 409","Côte-Saint-Luc",56,0,26,3,4,1,64,0,154,259
24044,"Mount Royal/Mont-Royal"," 410","Côte-Saint-Luc",45,0,32,0,2,1,52,0,132,193
24044,"Mount Royal/Mont-Royal"," 411","Côte-Saint-Luc",Merged with No. 158/Fusionné avec le nº 158,,,,,,,,,97
24044,"Mount Royal/Mont-Royal"," 412","Côte-Saint-Luc",83,1,15,0,3,1,90,1,194,191
24044,"Mount Royal/Mont-Royal"," 413","Côte-Saint-Luc",Merged with No. 412/Fusionné avec le nº 412,,,,,,,,,99
24044,"Mount Royal/Mont-Royal"," 414","Montréal",Merged with No. 52-1/Fusionné avec le nº 52-1,,,,,,,,,0
24044,"Mount Royal/Mont-Royal"," 415","Montréal",Merged with No. 52-1/Fusionné avec le nº 52-1,,,,,,,,,207
24044,"Mount Royal/Mont-Royal"," 500","Mobile poll/Bureau itinérant",51,2,9,0,1,2,28,1,94,216
24044,"Mount Royal/Mont-Royal"," 501","Mobile poll/Bureau itinérant",37,6,7,2,2,3,10,3,70,200
24044,"Mount Royal/Mont-Royal"," 502","Mobile poll/Bureau itinérant",61,0,5,2,0,3,73,5,149,314
24044,"Mount Royal/Mont-Royal"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24044,"Mount Royal/Mont-Royal"," 600","Mont-Royal",300,62,103,1,11,2,111,5,595,
24044,"Mount Royal/Mont-Royal"," 601","Mont-Royal",343,60,123,1,22,1,122,1,673,
24044,"Mount Royal/Mont-Royal"," 602","Mont-Royal",268,43,103,1,20,1,159,1,596,
24044,"Mount Royal/Mont-Royal"," 603","Montréal",78,6,20,0,0,0,30,3,137,
24044,"Mount Royal/Mont-Royal"," 604","Montréal",140,17,53,2,4,1,107,1,325,
24044,"Mount Royal/Mont-Royal"," 605","Montréal",125,25,64,0,6,1,51,2,274,
24044,"Mount Royal/Mont-Royal"," 606","Montréal",160,8,78,0,8,2,168,2,426,
24044,"Mount Royal/Mont-Royal"," 607","Hampstead",261,5,48,1,5,1,327,2,650,
24044,"Mount Royal/Mont-Royal"," 608","Hampstead",190,0,32,0,3,0,177,0,402,
24044,"Mount Royal/Mont-Royal"," 609","Côte-Saint-Luc",291,0,41,0,7,0,492,0,831,
24044,"Mount Royal/Mont-Royal"," 610","Côte-Saint-Luc",235,1,35,0,4,0,342,0,617,
24044,"Mount Royal/Mont-Royal"," 611","Côte-Saint-Luc",187,1,40,0,9,0,222,5,464,
24044,"Mount Royal/Mont-Royal"," 612","Côte-Saint-Luc",95,2,25,0,3,0,145,0,270,
24044,"Mount Royal/Mont-Royal",,Group 1/Groupe 1,32,4,9,0,2,0,11,3,61,98
24044,"Mount Royal/Mont-Royal",,Group 2/Groupe 2,266,14,72,0,9,1,316,14,692,
