Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Henryk Adamiec,Terry Anderson,Marie Bountrogianni,Stephen Brotherston,Chris Charlton,Jim Enos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton ",1,59,36,8,68,0,0,172,307
35033,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton ",0,40,20,1,88,2,0,151,316
35033,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton ",0,46,17,3,73,0,1,140,308
35033,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton ",0,45,18,4,68,1,1,137,313
35033,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton ",0,36,17,6,90,1,0,150,289
35033,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton ",0,59,28,1,69,4,4,165,349
35033,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton ",0,50,27,11,80,0,5,173,317
35033,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton ",1,53,34,5,57,1,3,154,306
35033,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton ",0,30,19,7,89,1,1,147,357
35033,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton ",0,60,24,4,93,0,4,185,317
35033,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton ",1,65,39,10,67,1,2,185,283
35033,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton ",0,59,26,4,108,0,0,197,358
35033,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton ",3,62,45,9,94,1,0,214,382
35033,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton ",0,51,8,7,103,0,1,170,411
35033,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton ",2,62,36,5,103,1,2,211,400
35033,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton ",0,60,27,7,89,0,1,184,327
35033,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton ",0,68,30,2,108,0,0,208,339
35033,"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton ",0,59,40,4,85,0,1,189,344
35033,"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton ",1,46,29,3,88,1,0,168,299
35033,"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton ",Void/Supprimé,,,,,,,,
35033,"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton ",1,51,16,11,137,0,1,217,403
35033,"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton ",1,68,19,8,117,4,0,217,380
35033,"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton ",2,61,47,5,101,1,2,219,390
35033,"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton ",0,83,36,14,124,0,1,258,410
35033,"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton ",1,70,29,9,113,1,1,224,384
35033,"Hamilton Mountain/Hamilton Mountain"," 26A","Hamilton ",2,71,28,6,102,2,1,212,350
35033,"Hamilton Mountain/Hamilton Mountain"," 26B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,17
35033,"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton ",0,60,26,6,104,0,2,198,398
