Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rebecca Darnell,Piotr Majkowski,Craig Nobbs,Carey Ann Poitras,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,Langley/Langley,1,Walnut Grove,7,60,1,21,173,2,264,512
59013,Langley/Langley, 1-1,Langley,Void/Supprimé,,,,,,,
59013,Langley/Langley,2,Walnut Grove,24,57,1,17,132,0,231,397
59013,Langley/Langley,3,Walnut Grove,20,35,1,10,197,1,264,438
59013,Langley/Langley,4,Walnut Grove,26,42,5,16,137,0,226,426
59013,Langley/Langley, 4-1,Walnut Grove,45,60,0,25,236,0,366,600
59013,Langley/Langley,5,Walnut Grove,9,20,2,13,81,0,125,217
59013,Langley/Langley,6,McMillan Island 6,21,47,1,24,91,2,186,302
59013,Langley/Langley,7,Walnut Grove,27,42,1,9,128,1,208,344
59013,Langley/Langley,8,Langley,47,57,0,16,237,0,357,669
59013,Langley/Langley, 8-1,Langley,39,42,0,12,172,1,266,563
59013,Langley/Langley, 8-2,Langley,26,49,2,10,237,1,325,633
59013,Langley/Langley, 8-3,Langley,23,37,0,4,180,0,244,489
59013,Langley/Langley,9,Langley,27,61,1,6,161,0,256,550
59013,Langley/Langley, 9-1,Langley,10,11,0,1,54,0,76,154
59013,Langley/Langley, 9-2,Langley,19,28,1,9,82,0,139,251
59013,Langley/Langley, 9-3,Langley,21,43,0,7,133,0,204,369
59013,Langley/Langley, 9-4,Langley,52,64,3,17,154,0,290,645
59013,Langley/Langley,10,Milner,15,28,6,10,116,1,176,375
59013,Langley/Langley,11,Walnut Grove,10,17,0,7,66,0,100,249
59013,Langley/Langley, 11-1A,Walnut Grove,16,37,2,11,148,2,216,413
59013,Langley/Langley, 11-1B,Walnut Grove,14,26,1,12,130,0,183,412
59013,Langley/Langley,12,Milner,28,56,0,13,203,0,300,586
59013,Langley/Langley,13,Forest Knolls,8,14,0,0,70,0,92,176
59013,Langley/Langley,14,Forest Knolls,5,13,2,4,58,0,82,160
59013,Langley/Langley,15,Walnut Grove,37,64,4,18,220,1,344,622
59013,Langley/Langley, 15-1,Langley,12,22,0,6,110,0,150,317
59013,Langley/Langley, 15-2,Langley,17,48,2,7,76,0,150,327
59013,Langley/Langley,16,Fort Langley,49,65,3,26,159,0,302,502
59013,Langley/Langley,17,Fort Langley,8,30,1,14,61,0,114,257
59013,Langley/Langley,18,Fort Langley,30,54,0,32,132,1,249,377
59013,Langley/Langley,19,Fort Langley,28,49,2,15,146,1,241,392
59013,Langley/Langley,20,Forest Knolls,14,29,4,18,170,0,235,435
59013,Langley/Langley,21,Forest Knolls,12,33,1,18,146,0,210,390
59013,Langley/Langley, 21-1,Forest Knolls,4,4,1,10,73,1,93,172
59013,Langley/Langley,22,Glen Valley,17,34,1,13,224,0,289,426
59013,Langley/Langley, 22-1,Glen Valley,8,10,1,6,49,0,74,143
59013,Langley/Langley,23,Glen Valley,12,46,3,18,130,0,209,356
59013,Langley/Langley,24,Glen Valley,21,49,0,15,152,1,238,456
59013,Langley/Langley,25,Langley,37,77,2,16,214,2,348,671
59013,Langley/Langley,26,Langley,19,61,2,10,130,0,222,398
59013,Langley/Langley,27,Langley,26,35,3,8,94,0,166,290
59013,Langley/Langley,28,Walnut Grove,9,43,4,9,114,0,179,307
59013,Langley/Langley,29,Langley,18,39,2,9,124,0,192,368
59013,Langley/Langley,30,Walnut Grove,23,65,0,24,137,1,250,372
59013,Langley/Langley,31,Walnut Grove,14,27,1,13,112,0,167,352
