Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lois Boone,Jeremy Coté,Hilary Crowley,Ben Levine,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Prince George--Peace River/Prince George--Peace River"," 1","Toad River",1,1,1,0,15,0,18,81
59022,"Prince George--Peace River/Prince George--Peace River"," 2","Muncho Lake",Void/Supprimé,,,,,,,
59022,"Prince George--Peace River/Prince George--Peace River"," 3","Toad River",Void/Supprimé,,,,,,,
59022,"Prince George--Peace River/Prince George--Peace River"," 4","Fort Nelson",47,9,11,12,224,2,305,617
59022,"Prince George--Peace River/Prince George--Peace River"," 5","Fort Nelson",30,1,6,4,53,1,95,305
59022,"Prince George--Peace River/Prince George--Peace River"," 6","Fort Nelson",39,3,8,12,107,1,170,403
59022,"Prince George--Peace River/Prince George--Peace River"," 7","Fort Nelson",57,7,12,8,81,0,165,708
59022,"Prince George--Peace River/Prince George--Peace River"," 8","Fort Nelson",26,2,8,6,43,1,86,235
59022,"Prince George--Peace River/Prince George--Peace River"," 9","Fort Nelson",32,11,9,11,80,0,143,430
59022,"Prince George--Peace River/Prince George--Peace River"," 10","Fort Nelson",33,7,6,10,89,0,145,396
59022,"Prince George--Peace River/Prince George--Peace River"," 11","Fort Nelson",48,6,21,3,125,1,204,544
59022,"Prince George--Peace River/Prince George--Peace River"," 12","Prophet River",2,0,4,1,14,0,21,36
59022,"Prince George--Peace River/Prince George--Peace River"," 13","Fort Ware 1",81,3,3,3,6,0,96,158
59022,"Prince George--Peace River/Prince George--Peace River"," 14","Ingenika Point",35,2,9,2,5,0,53,72
59022,"Prince George--Peace River/Prince George--Peace River"," 15","Mackenzie",19,0,5,3,54,2,83,226
59022,"Prince George--Peace River/Prince George--Peace River"," 16","Mackenzie",46,2,4,6,61,0,119,320
59022,"Prince George--Peace River/Prince George--Peace River"," 17","Mackenzie",36,0,3,13,54,0,106,261
59022,"Prince George--Peace River/Prince George--Peace River"," 18","Mackenzie",28,0,7,5,63,0,103,277
59022,"Prince George--Peace River/Prince George--Peace River"," 19","Mackenzie",49,2,5,7,70,0,133,348
