Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clyde Bridger,Aaron Hynes,Robyn Kenny,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 1","Cottrell's Cove",15,13,1,47,1,77,169
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 2","Leading Tickles",20,37,1,158,1,217,354
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3","Point Leamington",27,36,0,55,0,118,335
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3-1","Point Leamington",21,33,2,45,0,101,268
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 4","Point of Bay",9,44,0,38,0,91,221
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 5","Northern Arm",38,37,1,92,1,169,304
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 6","Botwood",8,18,0,45,0,71,233
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 7","Botwood",19,50,1,112,1,183,435
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 8","Botwood",42,37,3,63,0,145,334
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 9","Botwood",37,81,1,108,0,227,546
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 10","Botwood",11,26,0,67,2,106,285
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 11","Botwood",23,30,0,92,0,145,364
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 12","Botwood",17,25,2,75,0,119,357
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 13","Peterview",13,21,1,67,0,102,363
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 14","Peterview",9,11,0,34,0,54,322
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 15","Little Burnt Bay",14,30,0,40,0,84,238
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 16","Comfort Cove-Newstead",37,52,2,66,0,157,366
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 17","Boyd's Cove",12,36,1,42,1,92,194
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18","Laurenceton",1,18,0,34,0,53,136
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18-1","Brown's Arm--Porterville",19,65,2,41,2,129,364
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 19","Embree",25,73,2,98,1,199,529
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 20","Stanhope",11,47,1,43,2,104,189
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 21","Embree",Void/Supprimé,,,,,,
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 22","Campbellton",33,58,0,91,1,183,408
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 23","Lewisporte",10,45,1,62,1,119,272
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 24","Lewisporte",27,41,0,83,2,153,394
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 25","Lewisporte",34,72,0,83,1,190,434
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 26","Lewisporte",20,50,1,103,0,174,411
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 27","Lewisporte",19,60,2,41,0,122,291
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 28","Lewisporte",21,46,0,58,0,125,386
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 29","Lewisporte",23,51,2,39,0,115,267
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 30","Lewisporte",34,51,0,78,0,163,401
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 31","Campbellton--Loon Bay",22,40,0,35,0,97,196
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 32","Baytona",18,37,2,46,0,103,256
