Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Troy DeSouza,Randall C. Garrison,Louis James Lesosky,Christopher Robert Porter,Shaunna Salsman,Lillian Szpak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 1","Port Renfrew",34,43,1,0,22,2,0,102,183
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 2","Shirley",56,93,0,2,31,22,0,204,330
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 3","Sooke",41,74,0,0,16,9,0,140,284
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 4","Otter Point",69,112,0,2,22,33,1,239,400
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 4-1","Otter Point",68,91,1,0,10,12,0,182,346
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 5","Otter Point",96,122,1,1,39,17,0,276,537
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 6","East Sooke",136,182,0,0,35,36,2,391,614
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 7","East Sooke",148,155,0,0,31,27,3,364,588
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 8","Sooke",60,77,0,0,18,12,0,167,329
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 8-1","Sooke",78,61,0,0,13,14,0,166,315
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 9","Sooke",121,138,1,1,41,22,0,324,558
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 10","Sooke",55,88,0,0,32,12,1,188,470
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 11","Sooke",107,105,1,2,27,17,0,259,540
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 12","Sooke",68,58,1,0,16,19,0,162,369
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 12-1","Sooke",80,80,2,0,13,22,1,198,350
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 13","Sooke",131,139,1,3,33,24,2,333,657
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 14","Sooke",81,108,0,0,30,11,0,230,554
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 15","Sooke",50,77,0,0,17,10,0,154,337
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 16","Sooke",100,84,0,0,17,15,0,216,423
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 16-1","Sooke",96,99,2,1,14,23,1,236,442
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 17","Sooke",89,96,0,0,22,13,0,220,418
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 17-1","Sooke",213,154,0,1,21,44,1,434,744
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 18","Sooke",54,104,1,1,31,21,0,212,485
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 19","Saseenos",130,103,3,0,32,9,0,277,507
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 20","Saseenos",122,147,1,1,33,24,0,328,569
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 21","Sooke 1",253,101,0,1,17,59,0,431,875
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 22","Langford",175,129,1,1,12,21,0,339,592
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 22-1","Langford",199,107,0,2,20,41,0,369,694
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 23","Langford",157,115,0,0,20,18,0,310,572
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 24","Millstream",53,76,0,0,15,10,0,154,262
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 25","Millstream",85,75,0,0,20,29,0,209,405
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 26","Langford",55,86,1,0,14,10,0,166,398
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 27","Langford",151,114,0,0,17,34,0,316,599
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 27-1","Langford",13,17,0,0,6,6,0,42,103
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 28","Langford",134,98,1,1,31,31,1,297,531
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 28-1","Langford",47,62,0,0,4,14,0,127,210
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 29","Langford",77,67,0,2,19,25,0,190,328
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 29-1","Langford",70,80,0,2,15,15,1,183,339
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 30","Langford",190,161,2,1,25,26,0,405,751
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 31","Langford",93,62,0,0,23,13,0,191,374
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 32","Langford",80,59,1,0,12,10,1,163,300
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 33","Langford",127,78,1,0,21,10,1,238,533
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 34","Langford",119,73,1,0,17,17,0,227,422
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 35","Langford",87,125,2,2,12,25,0,253,503
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 36","Langford",208,136,2,1,25,41,0,413,728
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 37","Langford",94,109,0,2,15,52,0,272,452
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 38","Langford",110,111,1,1,17,20,2,262,677
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 38-1","Langford",44,36,1,0,14,3,0,98,234
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 39","Langford",111,123,1,2,23,25,1,286,603
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 40","Langford",125,94,2,5,25,31,1,283,569
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 41","Langford",116,72,1,0,13,17,0,219,470
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 41-1","Langford",38,49,0,0,8,11,0,106,191
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 42","Langford",96,121,0,0,20,20,1,258,500
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 43","Langford",65,102,0,1,25,11,1,205,416
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 44","Langford",77,100,1,0,25,15,0,218,471
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 45","Langford",81,69,1,1,21,8,0,181,461
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 46","Langford",91,85,0,1,9,19,0,205,422
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 46-1","Langford",87,60,0,0,14,22,1,184,360
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 47","Langford",56,71,0,1,11,12,0,151,335
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 48","Langford",104,124,3,0,18,35,1,285,708
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 48-1","Langford",Void/Supprimé,,,,,,,,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 49","Langford",79,68,1,0,13,13,0,174,372
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 49-1","Langford",64,75,1,0,9,4,0,153,368
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 50","Langford",68,120,0,1,18,27,0,234,490
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 51","Langford",121,96,1,0,13,21,0,252,440
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 52","Langford",108,95,2,0,21,17,0,243,418
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 53","Langford",106,105,0,2,22,11,2,248,499
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 54","Langford",50,54,1,1,10,11,1,128,273
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 55","Langford",159,143,1,0,37,35,0,375,735
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 56","Langford",152,157,1,0,27,32,0,369,688
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 56-1","Langford",32,41,0,3,8,14,1,99,165
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 57","Langford",131,70,0,1,16,26,1,245,456
