Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dennis Bevington,Bonnie Dawson,Joe Handley,Sandy Lee,Eli Purchase,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Western Arctic/Western Arctic"," 1","Sachs Harbour",4,0,0,35,3,0,42,54
61001,"Western Arctic/Western Arctic"," 2","Ulukhaktok",30,0,12,46,1,1,90,236
61001,"Western Arctic/Western Arctic"," 3","Aklavik",52,2,64,37,1,2,158,381
61001,"Western Arctic/Western Arctic"," 4","Aklavik",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 5","Tuktoyaktuk",83,2,22,163,5,1,276,539
61001,"Western Arctic/Western Arctic"," 6","Tuktoyaktuk",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 7","Paulatuk",14,1,13,74,3,0,105,160
61001,"Western Arctic/Western Arctic"," 8","Inuvik",65,0,28,75,3,0,171,453
61001,"Western Arctic/Western Arctic"," 9","Inuvik",115,3,29,118,2,3,270,660
61001,"Western Arctic/Western Arctic"," 10","Inuvik",106,2,29,111,4,1,253,605
61001,"Western Arctic/Western Arctic"," 11","Inuvik",153,0,47,106,7,1,314,517
61001,"Western Arctic/Western Arctic"," 12","Inuvik",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 13","Fort McPherson",63,1,67,43,5,0,179,523
61001,"Western Arctic/Western Arctic"," 14","Fort McPherson",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 15","Tsiigehtchic",13,0,20,12,0,0,45,90
61001,"Western Arctic/Western Arctic"," 16","Fort Good Hope",48,3,18,63,5,0,137,361
61001,"Western Arctic/Western Arctic"," 17","Colville Lake",7,0,14,5,1,0,27,61
61001,"Western Arctic/Western Arctic"," 18","Norman Wells",102,0,47,111,14,2,276,540
61001,"Western Arctic/Western Arctic"," 19","Deline",53,1,44,41,4,1,144,348
61001,"Western Arctic/Western Arctic"," 20","Tulita",30,0,40,27,1,0,98,291
61001,"Western Arctic/Western Arctic"," 21","Wrigley",18,0,8,7,1,1,35,83
61001,"Western Arctic/Western Arctic"," 22","Nahanni Butte",10,0,18,9,0,0,37,64
61001,"Western Arctic/Western Arctic"," 23","Gameti",4,3,40,8,1,0,56,150
61001,"Western Arctic/Western Arctic"," 24","Wekweti",3,0,49,0,0,0,52,84
61001,"Western Arctic/Western Arctic"," 25","Fort Simpson",175,3,41,83,4,1,307,754
61001,"Western Arctic/Western Arctic"," 26","Fort Simpson",49,0,11,16,0,0,76,165
61001,"Western Arctic/Western Arctic"," 27","Jean Marie River",10,0,12,3,0,0,25,42
61001,"Western Arctic/Western Arctic"," 28","Fort Liard",39,1,27,56,2,0,125,380
61001,"Western Arctic/Western Arctic"," 29","Trout Lake",16,2,14,4,1,0,37,56
61001,"Western Arctic/Western Arctic"," 30","Wha Ti",21,1,71,19,2,0,114,289
61001,"Western Arctic/Western Arctic"," 31","Behchoko",58,4,164,58,0,3,287,896
61001,"Western Arctic/Western Arctic"," 32","Behchoko",16,0,43,21,0,0,80,203
61001,"Western Arctic/Western Arctic"," 33","Behchoko",34,0,11,17,3,0,65,93
61001,"Western Arctic/Western Arctic"," 34","Fort Providence",142,6,91,23,5,5,272,508
61001,"Western Arctic/Western Arctic"," 35","Yellowknife",142,0,54,111,9,0,316,583
61001,"Western Arctic/Western Arctic"," 36","Yellowknife",82,0,42,140,9,0,273,501
61001,"Western Arctic/Western Arctic"," 37","Yellowknife",93,0,23,88,9,0,213,437
61001,"Western Arctic/Western Arctic"," 38","Yellowknife",122,1,55,119,7,1,305,509
61001,"Western Arctic/Western Arctic"," 39","Yellowknife",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 40","Yellowknife",79,2,27,72,3,1,184,370
61001,"Western Arctic/Western Arctic"," 41","Yellowknife",105,0,29,73,7,1,215,437
61001,"Western Arctic/Western Arctic"," 42","Yellowknife",97,0,26,85,5,0,213,410
61001,"Western Arctic/Western Arctic"," 43","Yellowknife",89,1,37,121,3,1,252,446
61001,"Western Arctic/Western Arctic"," 44","Yellowknife",131,1,35,68,8,0,243,486
61001,"Western Arctic/Western Arctic"," 45","Yellowknife",110,0,24,85,11,1,231,508
61001,"Western Arctic/Western Arctic"," 46","Yellowknife",87,0,31,48,7,0,173,368
61001,"Western Arctic/Western Arctic"," 47","Yellowknife",131,1,27,76,13,3,251,552
61001,"Western Arctic/Western Arctic"," 48","Yellowknife",161,0,30,71,6,0,268,539
61001,"Western Arctic/Western Arctic"," 49","Yellowknife",126,1,29,62,11,2,231,536
61001,"Western Arctic/Western Arctic"," 50","Yellowknife",121,3,24,40,6,0,194,484
61001,"Western Arctic/Western Arctic"," 51","Yellowknife",77,0,23,42,7,2,151,406
61001,"Western Arctic/Western Arctic"," 52","Yellowknife",116,1,41,58,7,2,225,568
61001,"Western Arctic/Western Arctic"," 53","Yellowknife",116,1,28,43,10,1,199,482
61001,"Western Arctic/Western Arctic"," 54","Yellowknife",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 55","Yellowknife",151,0,31,63,13,1,259,478
61001,"Western Arctic/Western Arctic"," 56","Yellowknife",132,0,31,79,4,0,246,490
61001,"Western Arctic/Western Arctic"," 57","Yellowknife",109,1,35,49,8,0,202,400
61001,"Western Arctic/Western Arctic"," 58","Yellowknife",116,0,42,51,10,0,219,521
61001,"Western Arctic/Western Arctic"," 59","Yellowknife",111,3,32,37,8,2,193,406
61001,"Western Arctic/Western Arctic"," 60","Yellowknife",149,1,42,65,12,6,275,490
61001,"Western Arctic/Western Arctic"," 61","Yellowknife",103,1,34,43,9,0,190,495
61001,"Western Arctic/Western Arctic"," 62","Yellowknife",157,1,44,62,8,1,273,635
61001,"Western Arctic/Western Arctic"," 63","Yellowknife",180,2,34,72,9,1,298,590
61001,"Western Arctic/Western Arctic"," 64","Yellowknife",151,1,83,37,10,5,287,555
61001,"Western Arctic/Western Arctic"," 65","Yellowknife",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 66","Detah",22,1,30,1,0,0,54,100
61001,"Western Arctic/Western Arctic"," 67","Kakisa",22,1,2,4,0,0,29,58
61001,"Western Arctic/Western Arctic"," 68","Enterprise",27,0,1,11,0,0,39,70
61001,"Western Arctic/Western Arctic"," 69","Hay River",83,0,25,102,11,3,224,454
61001,"Western Arctic/Western Arctic"," 70","Hay River",102,4,24,170,7,0,307,618
61001,"Western Arctic/Western Arctic"," 71","Hay River",87,3,23,76,4,1,194,465
61001,"Western Arctic/Western Arctic"," 72","Hay River",114,3,19,161,21,0,318,634
61001,"Western Arctic/Western Arctic"," 73","Hay River",110,0,27,142,20,0,299,554
61001,"Western Arctic/Western Arctic"," 74","Hay River",43,0,20,8,0,0,71,173
61001,"Western Arctic/Western Arctic"," 75","Fort Resolution",84,2,15,17,2,0,120,348
61001,"Western Arctic/Western Arctic"," 76","Fort Smith",158,0,15,68,5,1,247,508
61001,"Western Arctic/Western Arctic"," 77","Fort Smith",115,1,15,41,7,0,179,417
61001,"Western Arctic/Western Arctic"," 78","Fort Smith",Void/Supprimé,,,,,,,
61001,"Western Arctic/Western Arctic"," 79","Fort Smith",150,1,19,55,7,1,233,451
61001,"Western Arctic/Western Arctic"," 80","Fort Smith",156,1,21,52,5,1,236,452
61001,"Western Arctic/Western Arctic"," 81","Lutselk'e",76,1,10,10,2,0,99,219
61001,"Western Arctic/Western Arctic"," 600","Beaufort-Delta",32,0,22,44,0,0,98,
61001,"Western Arctic/Western Arctic"," 601","Sahtu",12,0,7,16,1,0,36,
61001,"Western Arctic/Western Arctic"," 602","Deh Cho",21,0,9,20,1,0,51,
61001,"Western Arctic/Western Arctic"," 603","T'Licho",5,0,12,2,0,0,19,
61001,"Western Arctic/Western Arctic"," 604","Yellowknife",131,1,74,119,5,4,334,
61001,"Western Arctic/Western Arctic"," 605","Yellowknife",209,2,112,86,18,1,428,
61001,"Western Arctic/Western Arctic"," 606","Hay River",66,1,21,83,4,0,175,
61001,"Western Arctic/Western Arctic"," 607","Fort Smith",67,1,14,39,5,3,129,
61001,"Western Arctic/Western Arctic",,Group 1/Groupe 1,51,3,78,50,12,6,200,231
61001,"Western Arctic/Western Arctic",,Group 2/Groupe 2,320,4,170,273,33,4,804,
