Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Clarke Dahlby,George Gidora,Ronald Leung,Ken Low,Adrianne Merlo,Brian Sproule,Kennedy Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby--Douglas/Burnaby--Douglas"," 1","Burnaby",0,1,132,32,16,0,151,1,333,482
59002,"Burnaby--Douglas/Burnaby--Douglas"," 2","Burnaby",0,2,54,14,6,0,122,0,198,321
59002,"Burnaby--Douglas/Burnaby--Douglas"," 3A","Burnaby",Void/Supprimé,,,,,,,,,
59002,"Burnaby--Douglas/Burnaby--Douglas"," 3B","Burnaby",5,2,56,19,8,1,62,7,160,201
59002,"Burnaby--Douglas/Burnaby--Douglas"," 4","Burnaby",3,1,143,33,20,0,147,3,350,520
59002,"Burnaby--Douglas/Burnaby--Douglas"," 5","Burnaby",2,2,125,25,12,1,122,1,290,463
59002,"Burnaby--Douglas/Burnaby--Douglas"," 6","Burnaby",3,1,114,22,14,0,120,1,275,526
59002,"Burnaby--Douglas/Burnaby--Douglas"," 7","Burnaby",1,0,94,27,6,0,117,0,245,409
59002,"Burnaby--Douglas/Burnaby--Douglas"," 8","Burnaby",1,0,47,19,11,0,114,3,195,390
59002,"Burnaby--Douglas/Burnaby--Douglas"," 8-1","Burnaby",3,1,41,26,8,0,77,3,159,290
59002,"Burnaby--Douglas/Burnaby--Douglas"," 9","Burnaby",2,3,89,21,10,0,134,1,260,498
59002,"Burnaby--Douglas/Burnaby--Douglas"," 10","Burnaby",0,2,63,13,8,1,72,0,159,349
59002,"Burnaby--Douglas/Burnaby--Douglas"," 11","Burnaby",3,0,164,29,8,0,75,0,279,482
59002,"Burnaby--Douglas/Burnaby--Douglas"," 12","Burnaby",4,0,47,17,3,0,109,1,181,346
59002,"Burnaby--Douglas/Burnaby--Douglas"," 12-1","Burnaby",2,0,49,18,4,0,99,0,172,286
59002,"Burnaby--Douglas/Burnaby--Douglas"," 13","Burnaby",1,0,58,27,13,0,108,2,209,382
59002,"Burnaby--Douglas/Burnaby--Douglas"," 14","Burnaby",4,2,71,15,7,0,74,1,174,362
59002,"Burnaby--Douglas/Burnaby--Douglas"," 15","Burnaby",2,4,78,16,7,0,148,1,256,482
59002,"Burnaby--Douglas/Burnaby--Douglas"," 16","Burnaby",1,2,107,35,6,0,97,2,250,466
59002,"Burnaby--Douglas/Burnaby--Douglas"," 17","Burnaby",2,0,92,22,8,0,93,1,218,426
