Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Meili Faille,Jean-Yves Massenet,Jamie Nicholls,Lyne Pelchat,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 1","Pointe-Fortune",25,77,10,129,16,4,261,416
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 2","Rigaud",41,76,6,88,21,0,232,462
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 3","Rigaud",16,82,3,54,13,3,171,354
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 4","Rigaud",31,121,15,84,20,4,275,517
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 5","Rigaud",34,43,4,81,28,2,192,401
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 6A","Rigaud",35,21,10,80,20,1,167,287
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 6B","Rigaud",23,27,9,78,29,0,166,295
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 7","Rigaud",16,62,0,54,9,1,142,326
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 8","Rigaud",34,84,4,102,31,5,260,433
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 9","Rigaud",21,61,4,46,10,1,143,304
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 10","Rigaud",23,74,9,46,17,2,171,346
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 11","Rigaud",25,70,1,76,15,3,190,282
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 11-1","Rigaud",24,88,8,82,11,0,213,445
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 12","Rigaud",18,51,8,71,22,3,173,334
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 12-1","Rigaud",30,44,4,66,6,1,151,274
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13","Rigaud",16,39,5,76,17,5,158,356
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13-1","Rigaud",38,43,10,75,12,6,184,302
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 14","Hudson",94,17,6,82,41,2,242,433
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15","Vaudreuil-Dorion",42,24,8,76,17,1,168,298
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15-1A","Vaudreuil-Dorion",30,26,6,74,15,1,152,256
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15-1B","Vaudreuil-Dorion",24,16,4,77,17,0,138,258
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 16","Hudson",47,5,5,45,21,0,123,230
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 16-1","Hudson",63,4,11,105,45,1,229,414
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 17","Hudson",67,11,9,130,67,0,284,438
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 18","Hudson",68,6,14,115,50,0,253,392
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 19","Hudson",41,11,11,113,28,1,205,369
