Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Azoulay,Tiziana Centazzo,Denis Coderre,Julie Demers,Daniel Mailhot,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bourassa/Bourassa"," 1","Montréal",28,10,69,72,18,1,4,202,396
24009,"Bourassa/Bourassa"," 2","Montréal",15,4,54,88,25,0,1,187,449
24009,"Bourassa/Bourassa"," 3","Montréal",30,8,77,87,40,1,4,247,424
24009,"Bourassa/Bourassa"," 4","Montréal",23,9,97,88,30,3,11,261,509
24009,"Bourassa/Bourassa"," 5","Montréal",14,0,74,75,12,0,2,177,409
24009,"Bourassa/Bourassa"," 6","Montréal",29,5,102,77,16,3,3,235,434
24009,"Bourassa/Bourassa"," 7","Montréal",24,3,53,97,46,1,0,224,442
24009,"Bourassa/Bourassa"," 8","Montréal",22,7,67,74,15,0,3,188,427
24009,"Bourassa/Bourassa"," 9","Montréal",36,4,111,73,13,0,2,239,421
24009,"Bourassa/Bourassa"," 10","Montréal",35,2,106,57,13,0,6,219,438
24009,"Bourassa/Bourassa"," 11","Montréal",31,6,99,49,7,1,5,198,409
24009,"Bourassa/Bourassa"," 12A","Montréal",23,4,59,34,6,0,5,131,334
24009,"Bourassa/Bourassa"," 12B","Montréal",14,2,68,42,5,0,3,134,355
24009,"Bourassa/Bourassa"," 13","Montréal",26,3,65,116,44,0,2,256,430
24009,"Bourassa/Bourassa"," 14","Montréal",23,5,77,62,37,0,1,205,346
24009,"Bourassa/Bourassa"," 15","Montréal",23,2,70,98,48,0,1,242,425
24009,"Bourassa/Bourassa"," 16","Montréal-Nord",25,1,132,61,48,1,5,273,423
24009,"Bourassa/Bourassa"," 16-1","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 16-2","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 17","Montréal-Nord",15,4,77,86,54,0,4,240,510
24009,"Bourassa/Bourassa"," 18A","Montréal-Nord",11,1,61,21,10,0,2,106,261
24009,"Bourassa/Bourassa"," 18B","Montréal-Nord",17,2,164,55,48,0,14,300,491
24009,"Bourassa/Bourassa"," 18-1","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 19","Montréal-Nord",9,3,32,35,6,0,1,86,282
24009,"Bourassa/Bourassa"," 20","Montréal-Nord",11,3,68,62,16,1,4,165,439
24009,"Bourassa/Bourassa"," 21","Montréal-Nord",17,3,176,66,44,0,0,306,410
24009,"Bourassa/Bourassa"," 22","Montréal-Nord",32,2,139,61,40,2,2,278,396
24009,"Bourassa/Bourassa"," 23","Montréal-Nord",3,0,67,35,16,1,4,126,301
24009,"Bourassa/Bourassa"," 24","Montréal-Nord",17,6,112,67,27,1,3,233,414
24009,"Bourassa/Bourassa"," 25","Montréal-Nord",11,2,56,55,33,1,3,161,493
24009,"Bourassa/Bourassa"," 26","Montréal-Nord",25,3,130,65,26,1,5,255,396
24009,"Bourassa/Bourassa"," 27","Montréal-Nord",23,5,118,91,32,0,6,275,390
24009,"Bourassa/Bourassa"," 28","Montréal-Nord",22,5,60,61,25,0,2,175,404
24009,"Bourassa/Bourassa"," 29","Montréal-Nord",22,4,92,44,20,0,2,184,366
24009,"Bourassa/Bourassa"," 30","Montréal-Nord",6,3,67,69,25,0,2,172,463
24009,"Bourassa/Bourassa"," 31","Montréal-Nord",4,3,50,35,23,1,1,117,387
24009,"Bourassa/Bourassa"," 32","Montréal-Nord",6,3,58,41,19,1,3,131,333
24009,"Bourassa/Bourassa"," 33","Montréal-Nord",13,0,47,54,18,0,0,132,384
24009,"Bourassa/Bourassa"," 34","Montréal-Nord",3,2,34,65,28,1,7,140,379
24009,"Bourassa/Bourassa"," 35","Montréal-Nord",15,4,35,40,15,0,3,112,416
24009,"Bourassa/Bourassa"," 36","Montréal-Nord",8,0,58,29,19,0,2,116,393
24009,"Bourassa/Bourassa"," 37","Montréal-Nord",9,0,32,53,23,0,5,122,326
24009,"Bourassa/Bourassa"," 38","Montréal-Nord",6,1,40,41,20,0,2,110,342
24009,"Bourassa/Bourassa"," 39","Montréal-Nord",15,4,60,25,8,0,1,113,358
24009,"Bourassa/Bourassa"," 40","Montréal-Nord",12,2,43,20,8,0,2,87,286
24009,"Bourassa/Bourassa"," 41","Montréal-Nord",12,0,21,27,27,0,6,93,274
24009,"Bourassa/Bourassa"," 42","Montréal-Nord",13,1,45,60,24,0,2,145,375
24009,"Bourassa/Bourassa"," 43","Montréal-Nord",12,3,83,65,16,0,3,182,335
24009,"Bourassa/Bourassa"," 44","Montréal-Nord",19,6,82,58,18,0,1,184,393
24009,"Bourassa/Bourassa"," 45","Montréal-Nord",23,2,71,34,22,0,1,153,307
24009,"Bourassa/Bourassa"," 46","Montréal-Nord",27,0,99,56,11,1,5,199,401
24009,"Bourassa/Bourassa"," 47","Montréal-Nord",31,4,74,85,28,3,4,229,499
24009,"Bourassa/Bourassa"," 48","Montréal-Nord",6,2,44,40,27,0,2,121,393
24009,"Bourassa/Bourassa"," 49","Montréal-Nord",13,6,60,48,17,2,8,154,353
24009,"Bourassa/Bourassa"," 50","Montréal-Nord",13,3,46,55,16,0,2,135,333
24009,"Bourassa/Bourassa"," 51","Montréal-Nord",14,3,115,48,9,2,5,196,352
24009,"Bourassa/Bourassa"," 52","Montréal-Nord",22,1,82,62,20,0,3,190,346
24009,"Bourassa/Bourassa"," 53","Montréal-Nord",17,2,81,59,15,0,3,177,353
24009,"Bourassa/Bourassa"," 54","Montréal-Nord",12,2,47,39,20,0,2,122,317
24009,"Bourassa/Bourassa"," 55","Montréal-Nord",10,2,52,64,19,0,2,149,314
24009,"Bourassa/Bourassa"," 56","Montréal-Nord",21,2,77,60,16,0,6,182,371
24009,"Bourassa/Bourassa"," 57","Montréal-Nord",15,2,60,40,15,0,2,134,403
24009,"Bourassa/Bourassa"," 58","Montréal-Nord",17,2,73,33,16,2,8,151,358
