Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gail Bates,Matthew Belanger,Chris Buckley,Colin Carrie,David Gershuny,James Cooper Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Oshawa/Oshawa"," 1","Oshawa",5,3,64,107,0,12,1,192,337
35061,"Oshawa/Oshawa"," 1-1","Oshawa",8,0,66,180,0,25,2,281,496
35061,"Oshawa/Oshawa"," 1-2","Oshawa",5,2,63,100,0,23,1,194,420
35061,"Oshawa/Oshawa"," 1-3","Oshawa",2,0,50,102,0,14,0,168,292
35061,"Oshawa/Oshawa"," 1-4A","Oshawa",1,0,54,119,1,13,0,188,347
35061,"Oshawa/Oshawa"," 1-4B","Oshawa",8,4,66,120,0,14,0,212,390
35061,"Oshawa/Oshawa"," 2","Oshawa",2,2,70,155,0,13,0,242,463
35061,"Oshawa/Oshawa"," 2-1A","Oshawa",5,0,62,111,0,25,0,203,400
35061,"Oshawa/Oshawa"," 2-1B","Oshawa",2,0,51,108,0,19,1,181,375
35061,"Oshawa/Oshawa"," 2-2","Oshawa",5,1,82,143,0,38,2,271,566
35061,"Oshawa/Oshawa"," 2-3A","Oshawa",3,1,50,76,0,22,0,152,331
35061,"Oshawa/Oshawa"," 2-3B","Oshawa",3,3,49,84,1,19,0,159,305
35061,"Oshawa/Oshawa"," 3","Oshawa",8,3,68,125,0,23,0,227,485
35061,"Oshawa/Oshawa"," 3-1","Oshawa",3,0,66,129,0,16,1,215,422
35061,"Oshawa/Oshawa"," 3-2","Oshawa",7,0,71,136,0,21,0,235,479
35061,"Oshawa/Oshawa"," 3-3","Oshawa",5,0,65,119,0,11,0,200,423
35061,"Oshawa/Oshawa"," 4","Oshawa",9,2,84,212,0,33,1,341,545
35061,"Oshawa/Oshawa"," 4-1A","Oshawa",5,1,50,100,0,18,0,174,288
35061,"Oshawa/Oshawa"," 4-1B","Oshawa",2,0,60,106,0,20,1,189,334
35061,"Oshawa/Oshawa"," 4-2A","Oshawa",11,2,55,72,0,15,1,156,346
35061,"Oshawa/Oshawa"," 4-2B","Oshawa",8,2,55,86,1,15,2,169,405
35061,"Oshawa/Oshawa"," 5","Oshawa",6,0,35,115,0,14,0,170,321
35061,"Oshawa/Oshawa"," 6","Oshawa",4,2,108,163,0,15,0,292,524
35061,"Oshawa/Oshawa"," 7","Oshawa",3,2,42,39,0,6,0,92,293
35061,"Oshawa/Oshawa"," 8","Oshawa",8,1,108,135,0,19,0,271,536
35061,"Oshawa/Oshawa"," 9","Oshawa",16,1,90,115,0,10,0,232,443
35061,"Oshawa/Oshawa"," 10","Oshawa",2,0,51,57,0,13,3,126,303
35061,"Oshawa/Oshawa"," 11A","Oshawa",5,0,56,70,1,11,0,143,309
35061,"Oshawa/Oshawa"," 11B","Oshawa",2,1,37,97,1,9,0,147,324
35061,"Oshawa/Oshawa"," 12","Oshawa",3,3,76,127,0,20,0,229,395
35061,"Oshawa/Oshawa"," 12-1A","Oshawa",2,1,36,69,0,18,0,126,293
35061,"Oshawa/Oshawa"," 12-1B","Oshawa",6,1,40,82,0,13,2,144,305
35061,"Oshawa/Oshawa"," 13","Oshawa",5,0,49,111,0,22,1,188,351
35061,"Oshawa/Oshawa"," 14","Oshawa",7,0,50,91,0,8,0,156,333
35061,"Oshawa/Oshawa"," 15","Oshawa",8,0,73,93,2,10,0,186,429
35061,"Oshawa/Oshawa"," 16","Oshawa",9,1,93,89,0,9,0,201,394
35061,"Oshawa/Oshawa"," 17","Oshawa",7,0,92,127,0,8,0,234,388
35061,"Oshawa/Oshawa"," 18","Oshawa",7,1,95,113,0,19,1,236,441
35061,"Oshawa/Oshawa"," 19","Oshawa",7,0,77,103,0,5,0,192,373
35061,"Oshawa/Oshawa"," 20","Oshawa",7,1,43,78,1,1,0,131,268
35061,"Oshawa/Oshawa"," 21","Oshawa",7,1,82,124,0,14,1,229,447
35061,"Oshawa/Oshawa"," 22","Oshawa",9,0,74,111,0,18,2,214,406
35061,"Oshawa/Oshawa"," 22-1","Oshawa",7,1,104,142,1,37,2,294,541
35061,"Oshawa/Oshawa"," 22-2","Oshawa",5,0,80,96,0,10,0,191,497
35061,"Oshawa/Oshawa"," 23","Oshawa",11,1,68,152,1,15,2,250,485
35061,"Oshawa/Oshawa"," 24","Oshawa",1,0,40,91,0,5,1,138,292
35061,"Oshawa/Oshawa"," 25","Oshawa",9,0,61,142,0,16,1,229,433
35061,"Oshawa/Oshawa"," 26","Oshawa",11,1,119,137,1,19,0,288,501
35061,"Oshawa/Oshawa"," 26-1","Oshawa",9,2,84,169,0,16,1,281,514
35061,"Oshawa/Oshawa"," 26-2A","Oshawa",5,2,71,139,1,21,0,239,480
35061,"Oshawa/Oshawa"," 26-2B","Oshawa",8,1,64,151,0,16,2,242,491
35061,"Oshawa/Oshawa"," 27","Oshawa",3,1,107,171,0,30,3,315,546
35061,"Oshawa/Oshawa"," 28","Oshawa",7,1,91,181,0,19,2,301,539
35061,"Oshawa/Oshawa"," 29","Oshawa",3,0,83,122,0,24,0,232,458
35061,"Oshawa/Oshawa"," 30","Oshawa",12,2,105,139,0,17,3,278,500
35061,"Oshawa/Oshawa"," 31","Oshawa",11,2,95,132,0,17,2,259,447
35061,"Oshawa/Oshawa"," 32","Oshawa",13,0,85,119,0,15,1,233,440
35061,"Oshawa/Oshawa"," 33","Oshawa",1,2,44,85,1,11,3,147,399
35061,"Oshawa/Oshawa"," 34","Oshawa",5,0,87,124,0,17,2,235,469
35061,"Oshawa/Oshawa"," 35","Oshawa",2,1,45,128,0,16,0,192,383
35061,"Oshawa/Oshawa"," 36","Oshawa",7,2,85,120,0,14,2,230,490
35061,"Oshawa/Oshawa"," 37","Oshawa",14,1,90,81,0,11,0,197,384
35061,"Oshawa/Oshawa"," 38","Oshawa",7,1,50,58,0,7,0,123,295
35061,"Oshawa/Oshawa"," 39","Oshawa",4,1,97,153,0,18,0,273,528
35061,"Oshawa/Oshawa"," 40","Oshawa",8,0,87,145,0,25,0,265,470
35061,"Oshawa/Oshawa"," 40-1A","Oshawa",6,0,36,79,0,10,0,131,294
35061,"Oshawa/Oshawa"," 40-1B","Oshawa",2,0,50,88,0,8,0,148,313
35061,"Oshawa/Oshawa"," 40-2A","Oshawa",2,1,31,98,0,15,0,147,276
35061,"Oshawa/Oshawa"," 40-2B","Oshawa",2,1,50,81,1,8,0,143,287
35061,"Oshawa/Oshawa"," 41","Oshawa",6,0,101,126,0,14,1,248,483
35061,"Oshawa/Oshawa"," 41-1","Oshawa",3,1,51,57,1,10,1,124,258
35061,"Oshawa/Oshawa"," 42","Oshawa",8,2,62,103,0,21,0,196,307
35061,"Oshawa/Oshawa"," 43","Oshawa",6,1,96,145,0,7,0,255,497
35061,"Oshawa/Oshawa"," 44","Oshawa",4,2,80,92,0,15,2,195,363
35061,"Oshawa/Oshawa"," 45","Oshawa",9,1,67,108,0,10,1,196,364
35061,"Oshawa/Oshawa"," 46","Oshawa",1,0,77,143,0,21,0,242,382
35061,"Oshawa/Oshawa"," 47","Oshawa",4,1,71,145,0,14,2,237,404
35061,"Oshawa/Oshawa"," 48","Oshawa",10,0,57,107,0,11,1,186,373
35061,"Oshawa/Oshawa"," 49","Oshawa",9,0,59,60,0,8,0,136,421
35061,"Oshawa/Oshawa"," 50","Oshawa",0,0,63,54,0,15,0,132,246
35061,"Oshawa/Oshawa"," 51","Oshawa",3,1,40,47,0,2,0,93,322
35061,"Oshawa/Oshawa"," 52","Oshawa",2,1,69,46,0,2,0,120,401
35061,"Oshawa/Oshawa"," 53","Oshawa",6,1,65,50,0,5,0,127,430
35061,"Oshawa/Oshawa"," 53-1","Oshawa",2,0,54,40,0,7,3,106,290
35061,"Oshawa/Oshawa"," 54","Oshawa",4,4,47,48,0,6,0,109,300
35061,"Oshawa/Oshawa"," 54-1","Oshawa",1,1,48,89,0,7,0,146,254
35061,"Oshawa/Oshawa"," 55","Oshawa",3,1,58,51,0,7,1,121,354
35061,"Oshawa/Oshawa"," 56","Oshawa",8,4,86,81,0,8,1,188,430
35061,"Oshawa/Oshawa"," 57","Oshawa",10,0,105,162,1,36,4,318,477
35061,"Oshawa/Oshawa"," 58","Oshawa",10,0,77,139,0,25,1,252,413
35061,"Oshawa/Oshawa"," 59","Oshawa",3,0,75,91,0,17,0,186,316
35061,"Oshawa/Oshawa"," 60","Oshawa",7,0,86,112,0,18,0,223,357
35061,"Oshawa/Oshawa"," 61","Oshawa",3,1,52,83,0,15,0,154,270
35061,"Oshawa/Oshawa"," 62","Oshawa",5,1,70,88,0,20,0,184,321
35061,"Oshawa/Oshawa"," 63","Oshawa",6,2,51,84,0,8,0,151,291
35061,"Oshawa/Oshawa"," 64","Oshawa",8,2,84,126,0,15,0,235,431
35061,"Oshawa/Oshawa"," 65","Oshawa",7,1,100,92,0,12,2,214,466
35061,"Oshawa/Oshawa"," 66","Oshawa",10,1,106,134,0,16,0,267,517
35061,"Oshawa/Oshawa"," 67","Oshawa",16,0,87,98,0,18,1,220,376
35061,"Oshawa/Oshawa"," 68","Oshawa",5,0,70,95,0,17,0,187,332
35061,"Oshawa/Oshawa"," 69","Oshawa",6,0,51,78,0,10,0,145,246
35061,"Oshawa/Oshawa"," 70","Oshawa",7,0,101,75,1,11,1,196,372
35061,"Oshawa/Oshawa"," 71","Oshawa",8,0,71,108,1,22,0,210,344
35061,"Oshawa/Oshawa"," 72","Oshawa",2,4,64,75,1,14,1,161,340
35061,"Oshawa/Oshawa"," 73","Oshawa",11,0,89,96,0,10,0,206,382
35061,"Oshawa/Oshawa"," 74","Oshawa",4,1,82,93,0,10,0,190,390
35061,"Oshawa/Oshawa"," 75","Oshawa",11,1,91,87,0,13,0,203,399
35061,"Oshawa/Oshawa"," 76","Oshawa",4,0,72,92,0,9,0,177,425
35061,"Oshawa/Oshawa"," 77","Oshawa",6,0,82,93,1,6,2,190,396
35061,"Oshawa/Oshawa"," 78","Oshawa",6,0,74,87,1,12,0,180,427
35061,"Oshawa/Oshawa"," 79","Oshawa",4,0,81,114,1,15,0,215,459
35061,"Oshawa/Oshawa"," 80","Oshawa",3,0,72,91,0,10,1,177,292
35061,"Oshawa/Oshawa"," 81","Oshawa",4,0,58,87,0,12,0,161,302
35061,"Oshawa/Oshawa"," 82","Oshawa",12,1,70,111,1,20,0,215,369
35061,"Oshawa/Oshawa"," 83","Oshawa",7,0,78,88,0,15,1,189,349
35061,"Oshawa/Oshawa"," 84","Oshawa",2,1,88,80,0,17,0,188,333
35061,"Oshawa/Oshawa"," 85","Oshawa",6,0,70,71,0,5,0,152,409
35061,"Oshawa/Oshawa"," 86","Oshawa",3,1,55,88,0,27,0,174,378
35061,"Oshawa/Oshawa"," 87","Oshawa",9,1,88,112,0,32,1,243,379
35061,"Oshawa/Oshawa"," 88","Oshawa",6,1,79,96,1,23,1,207,334
35061,"Oshawa/Oshawa"," 89","Oshawa",5,0,86,77,0,4,0,172,394
35061,"Oshawa/Oshawa"," 90","Oshawa",6,3,73,52,0,10,1,145,417
35061,"Oshawa/Oshawa"," 91","Oshawa",5,1,70,106,0,11,0,193,396
35061,"Oshawa/Oshawa"," 92","Oshawa",9,1,83,77,0,10,0,180,362
35061,"Oshawa/Oshawa"," 93","Oshawa",6,0,61,45,0,3,0,115,373
35061,"Oshawa/Oshawa"," 94","Oshawa",8,1,54,59,0,8,0,130,308
