Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bleskie,Al Gullon,Mick Kitor,David McGuinty,James McLaren,Elie Salibi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Ottawa South/Ottawa-Sud"," 1","Ottawa",0,1,18,102,58,68,0,247,484
35064,"Ottawa South/Ottawa-Sud"," 2","Ottawa",1,0,2,49,33,65,3,153,302
35064,"Ottawa South/Ottawa-Sud"," 3","Ottawa",0,2,8,82,52,50,0,194,283
35064,"Ottawa South/Ottawa-Sud"," 4","Ottawa",2,5,8,109,49,97,0,270,390
35064,"Ottawa South/Ottawa-Sud"," 5","Ottawa",1,0,13,68,42,37,1,162,230
35064,"Ottawa South/Ottawa-Sud"," 6","Ottawa",1,2,15,124,57,56,0,255,457
35064,"Ottawa South/Ottawa-Sud"," 7","Ottawa",1,1,6,45,53,32,1,139,388
35064,"Ottawa South/Ottawa-Sud"," 8","Ottawa",3,2,8,130,50,71,0,264,382
35064,"Ottawa South/Ottawa-Sud"," 9","Ottawa",0,1,12,132,69,64,0,278,432
35064,"Ottawa South/Ottawa-Sud"," 10","Ottawa",1,0,9,124,71,57,0,262,457
35064,"Ottawa South/Ottawa-Sud"," 11","Ottawa",2,3,16,141,55,78,2,297,439
35064,"Ottawa South/Ottawa-Sud"," 12","Ottawa",0,0,8,65,38,56,0,167,288
35064,"Ottawa South/Ottawa-Sud"," 13","Ottawa",2,1,11,126,53,63,1,257,432
35064,"Ottawa South/Ottawa-Sud"," 14","Ottawa",1,1,7,46,23,57,0,135,318
35064,"Ottawa South/Ottawa-Sud"," 15","Ottawa",1,3,7,181,53,91,1,337,455
35064,"Ottawa South/Ottawa-Sud"," 16","Ottawa",3,2,15,104,48,67,0,239,419
35064,"Ottawa South/Ottawa-Sud"," 17","Ottawa",1,1,3,84,49,28,2,168,406
35064,"Ottawa South/Ottawa-Sud"," 18","Ottawa",0,1,1,33,17,24,0,76,257
35064,"Ottawa South/Ottawa-Sud"," 19","Ottawa",1,0,1,112,25,59,0,198,360
