Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Charron,Pierre Dionne Labelle,Monique Guay,Jonathan Juteau,René Piché,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",5,45,31,7,2,2,92,235
24059,"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",9,122,51,21,1,3,207,444
24059,"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",15,152,65,11,7,6,256,543
24059,"Rivière-du-Nord/Rivière-du-Nord"," 3-1","Saint-Hippolyte",9,83,34,10,1,2,139,272
24059,"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",21,139,39,19,1,5,224,502
24059,"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",17,142,62,9,10,2,242,475
24059,"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",5,71,41,7,1,0,125,234
24059,"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",17,130,49,7,6,6,215,427
24059,"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",6,134,77,6,6,7,236,428
24059,"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",16,122,58,7,2,4,209,492
24059,"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",16,103,47,6,6,1,179,355
24059,"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",16,118,51,12,4,3,204,401
24059,"Rivière-du-Nord/Rivière-du-Nord"," 12","Saint-Hippolyte",15,70,43,8,4,5,145,319
24059,"Rivière-du-Nord/Rivière-du-Nord"," 12-1","Saint-Hippolyte",6,115,67,14,9,3,214,491
24059,"Rivière-du-Nord/Rivière-du-Nord"," 13","Saint-Hippolyte",6,140,75,15,3,3,242,465
24059,"Rivière-du-Nord/Rivière-du-Nord"," 13-1","Saint-Hippolyte",24,152,66,5,3,3,253,470
24059,"Rivière-du-Nord/Rivière-du-Nord"," 14","Prévost",10,134,65,12,6,4,231,433
24059,"Rivière-du-Nord/Rivière-du-Nord"," 14-1","Prévost",3,106,43,8,2,0,162,267
24059,"Rivière-du-Nord/Rivière-du-Nord"," 15","Prévost",16,134,72,15,5,4,246,456
24059,"Rivière-du-Nord/Rivière-du-Nord"," 15-1","Prévost",11,110,60,6,2,4,193,354
24059,"Rivière-du-Nord/Rivière-du-Nord"," 16A","Prévost",1,81,48,14,3,1,148,305
24059,"Rivière-du-Nord/Rivière-du-Nord"," 16B","Prévost",3,100,38,11,0,2,154,296
24059,"Rivière-du-Nord/Rivière-du-Nord"," 17","Prévost",17,181,69,23,4,5,299,527
24059,"Rivière-du-Nord/Rivière-du-Nord"," 18A","Prévost",7,104,49,12,4,0,176,307
24059,"Rivière-du-Nord/Rivière-du-Nord"," 18B","Prévost",20,94,69,15,3,2,203,328
24059,"Rivière-du-Nord/Rivière-du-Nord"," 18-1","Prévost",25,121,48,11,4,4,213,398
24059,"Rivière-du-Nord/Rivière-du-Nord"," 19","Prévost",14,96,38,11,6,3,168,379
24059,"Rivière-du-Nord/Rivière-du-Nord"," 20","Prévost",16,136,50,14,2,1,219,352
24059,"Rivière-du-Nord/Rivière-du-Nord"," 20-1","Prévost",18,165,69,16,3,3,274,533
24059,"Rivière-du-Nord/Rivière-du-Nord"," 21","Prévost",16,155,94,25,12,4,306,595
