Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Chicoine,Carole Freeman,Clara Kwan,Linda Schwey,Linda Sullivan,André Turcôt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 1","Châteauguay",139,72,2,25,2,31,6,277,503
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 2","Châteauguay",114,65,26,22,1,7,6,241,417
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 3","Châteauguay",140,37,5,43,0,53,1,279,484
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 4","Châteauguay",173,49,5,46,3,47,2,325,634
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 5","Châteauguay",140,57,9,27,2,26,4,265,510
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 6","Châteauguay",164,42,9,31,1,58,2,307,564
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 7","Châteauguay",99,48,9,27,0,35,2,220,375
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 8","Châteauguay",158,42,10,23,2,38,1,274,540
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 9","Châteauguay",153,45,2,33,3,56,1,293,529
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 10A","Châteauguay",172,73,10,47,1,56,1,360,660
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 10B","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,,10
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 11","Châteauguay",140,32,3,38,0,36,3,252,491
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 12","Châteauguay",90,29,5,27,2,29,3,185,507
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 13","Châteauguay",101,52,4,31,0,37,5,230,462
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 14","Châteauguay",158,59,8,46,0,38,4,313,550
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 15","Châteauguay",186,39,7,45,2,33,6,318,515
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 16","Châteauguay",94,74,4,27,0,18,3,220,427
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 17","Châteauguay",76,32,2,22,2,25,4,163,315
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 18","Châteauguay",71,22,3,21,5,18,2,142,346
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 19","Léry",162,91,5,38,0,47,4,347,580
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 20","Léry",97,35,8,20,1,25,0,186,315
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 21","Léry",85,54,0,12,0,21,3,175,290
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 22","Léry",106,72,8,13,0,18,5,222,363
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 23","Léry",87,59,4,9,0,20,4,183,327
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 24","Châteauguay",112,74,4,17,1,27,5,240,432
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 25","Châteauguay",112,112,7,17,0,32,2,282,491
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 26","Châteauguay",91,70,8,12,0,14,5,200,392
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 27A","Châteauguay",99,78,5,9,0,15,2,208,335
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 27B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,11
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 28","Châteauguay",108,55,6,20,0,19,4,212,356
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 29","Châteauguay",89,55,3,15,1,22,2,187,321
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 30","Châteauguay",86,61,5,13,2,17,3,187,370
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 31","Châteauguay",138,54,3,15,0,24,2,236,409
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 32","Châteauguay",120,66,6,21,0,11,1,225,394
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 33","Châteauguay",131,43,3,19,0,18,1,215,368
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 34","Châteauguay",115,47,3,11,0,28,3,207,376
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 35","Châteauguay",147,63,4,19,5,19,5,262,546
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 36","Châteauguay",118,62,7,22,4,28,5,246,447
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 37","Châteauguay",179,78,12,26,1,27,7,330,569
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 38","Châteauguay",61,49,2,9,0,13,0,134,394
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 39","Châteauguay",107,60,5,13,1,17,5,208,383
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 40","Châteauguay",93,54,1,27,0,16,1,192,381
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 41","Châteauguay",114,53,2,16,0,26,1,212,507
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 42","Châteauguay",189,101,4,39,2,43,3,381,635
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 43","Châteauguay",220,79,6,34,0,42,7,388,706
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 44","Châteauguay",83,39,5,28,1,15,0,171,302
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 45","Châteauguay",88,43,2,15,0,24,2,174,371
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 46","Châteauguay",151,51,3,25,0,25,3,258,479
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 47","Châteauguay",64,36,0,15,0,18,0,133,312
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 48","Châteauguay",113,24,3,26,1,25,1,193,316
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 49","Châteauguay",127,38,5,30,0,31,4,235,423
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 50","Châteauguay",99,37,7,34,1,34,4,216,409
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 51","Châteauguay",88,44,5,16,0,16,4,173,389
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 52","Châteauguay",164,98,4,36,0,36,2,340,548
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 53","Châteauguay",180,79,4,35,0,30,4,332,657
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 54","Châteauguay",87,47,6,28,3,25,4,200,523
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 55","Châteauguay",117,41,7,26,0,14,3,208,349
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 56","Châteauguay",140,26,3,26,0,35,0,230,444
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 57","Châteauguay",127,26,3,28,0,30,2,216,389
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 58","Châteauguay",93,52,4,27,0,29,1,206,437
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 59","Châteauguay",243,89,5,49,0,57,9,452,784
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 60","Châteauguay",113,38,2,30,0,34,0,217,363
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 61","Châteauguay",92,36,3,44,2,40,3,220,399
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 62","Châteauguay",122,22,6,28,2,33,3,216,362
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 63","Châteauguay",122,42,7,22,0,40,5,238,431
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 64","Châteauguay",122,50,2,26,1,30,5,236,439
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 65","Châteauguay",115,33,4,22,0,45,1,220,485
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 66","Châteauguay",114,36,3,29,0,28,3,213,428
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 67","Châteauguay",140,42,4,34,1,39,0,260,494
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 68","Châteauguay",109,40,4,50,3,28,1,235,401
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 69","Châteauguay",120,68,1,26,1,21,5,242,423
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 70","Châteauguay",103,28,3,39,1,35,4,213,428
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 71","Châteauguay",87,30,2,14,0,24,2,159,396
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 72","Châteauguay",124,75,3,31,1,23,7,264,518
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 73","Châteauguay",100,39,4,17,0,22,2,184,380
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 74","Châteauguay",127,38,3,19,1,40,1,229,413
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 75","Châteauguay",111,45,6,20,0,11,5,198,332
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 76","Châteauguay",101,45,3,31,0,38,3,221,342
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 77","Châteauguay",135,47,4,20,0,24,5,235,404
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 78","Châteauguay",100,37,2,13,0,27,1,180,334
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 79","Châteauguay",111,64,6,31,1,20,2,235,400
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 80","Châteauguay",113,40,3,19,1,37,5,218,413
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 81","Châteauguay",159,63,7,38,2,52,3,324,578
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 82","Châteauguay",115,56,10,22,1,21,0,225,408
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 83","Châteauguay",129,46,4,25,1,19,5,229,408
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 84","Mercier",161,50,3,22,0,28,2,266,462
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 85","Mercier",183,68,3,18,1,34,3,310,563
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 86","Mercier",153,100,5,15,1,35,3,312,524
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 87","Mercier",202,96,3,21,0,25,7,354,599
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 88","Mercier",175,116,7,31,2,33,7,371,726
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 89","Mercier",217,135,12,19,2,40,9,434,713
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 90","Mercier",155,109,4,25,1,22,4,320,537
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 91","Mercier",216,104,4,25,1,31,6,387,682
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 92","Mercier",164,83,5,17,0,17,4,290,513
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 93","Mercier",128,63,3,20,2,20,2,238,367
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 94","Mercier",86,52,3,18,0,15,5,179,329
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 95","Mercier",106,40,1,7,0,20,0,174,343
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 96","Mercier",173,70,5,23,1,32,5,309,554
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 97","Mercier",178,103,7,20,0,40,8,356,624
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 98","Mercier",124,79,9,12,2,9,3,238,419
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 99","Mercier",153,91,4,8,1,26,4,287,480
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 100","Mercier",97,44,4,13,1,25,0,184,350
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 101","Saint-Isidore",121,74,1,11,2,16,8,233,339
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 102","Saint-Isidore",96,72,0,15,0,17,4,204,347
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 103","Saint-Isidore",144,86,3,15,0,23,5,276,438
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 104","Saint-Isidore",120,85,2,16,0,7,2,232,370
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 105A","Saint-Isidore",213,100,5,25,0,32,1,376,573
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 105B","Mobile poll/Bureau itinérant",7,8,1,7,0,9,5,37,16
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 105C","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,,13
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 106","Kahnawake 14",101,33,3,6,1,9,4,157,1521
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 107","Sainte-Catherine",181,111,6,12,2,30,3,345,651
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 108","Sainte-Catherine",110,67,7,12,0,17,5,218,354
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 109","Sainte-Catherine",136,66,6,17,1,16,3,245,374
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 110","Sainte-Catherine",138,53,1,8,2,16,0,218,413
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111","Sainte-Catherine",125,49,3,15,1,16,5,214,193
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111-1","Sainte-Catherine",Merged with No. 111/Fusionné avec le nº 111,,,,,,,,160
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 112","Sainte-Catherine",144,76,2,15,0,20,4,261,457
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 113","Sainte-Catherine",157,82,5,14,0,16,4,278,522
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 114","Sainte-Catherine",95,46,6,14,0,15,5,181,349
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 115","Sainte-Catherine",164,79,6,24,0,8,2,283,412
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 116","Sainte-Catherine",107,65,2,11,0,15,5,205,349
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 117","Sainte-Catherine",Merged with No. 106/Fusionné avec le nº 106,,,,,,,,273
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 118","Sainte-Catherine",108,64,1,17,3,18,5,216,408
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 119","Sainte-Catherine",137,53,2,10,1,17,2,222,358
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 120","Sainte-Catherine",71,32,2,8,1,6,0,120,291
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 121","Sainte-Catherine",73,40,0,7,0,12,5,137,315
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 122","Sainte-Catherine",152,48,1,10,1,13,4,229,369
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 123","Sainte-Catherine",88,59,2,9,0,12,4,174,362
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 124","Sainte-Catherine",123,65,4,13,1,14,3,223,427
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 125","Sainte-Catherine",158,94,2,21,0,25,0,300,525
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 126","Sainte-Catherine",102,48,2,9,0,12,4,177,431
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 127","Sainte-Catherine",137,67,2,15,0,18,10,249,402
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 128","Sainte-Catherine",128,86,6,11,1,21,10,263,482
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129","Sainte-Catherine",116,55,3,12,0,29,5,220,373
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129-1","Sainte-Catherine",139,60,3,25,0,9,2,238,385
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 130","Sainte-Catherine",147,74,3,10,0,19,6,259,485
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 131","Sainte-Catherine",126,77,2,13,1,13,0,232,449
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 132","Sainte-Catherine",189,104,9,21,1,31,5,360,621
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 133","Sainte-Catherine",151,79,3,8,1,18,3,263,429
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 134","Sainte-Catherine",162,80,2,12,1,21,5,283,486
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 135","Sainte-Catherine",135,69,8,21,0,24,3,260,448
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 136","Delson",143,81,2,20,1,24,6,277,554
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 137","Delson",118,56,2,11,0,9,3,199,475
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 138","Delson",147,70,5,21,0,23,0,266,416
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 139","Delson",116,53,3,12,0,16,6,206,320
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 140","Delson",141,59,5,16,0,15,4,240,444
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 141","Delson",109,66,5,18,1,32,6,237,430
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 142","Saint-Constant",166,79,3,12,1,11,7,279,552
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 143","Saint-Constant",101,63,4,4,0,18,0,190,433
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 144","Saint-Constant",91,53,0,8,0,17,4,173,320
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 145","Saint-Constant",121,72,4,10,0,18,3,228,452
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 146A","Saint-Constant",124,68,1,10,2,13,0,218,382
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 146B","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,,5
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 147","Saint-Constant",86,60,4,10,0,14,1,175,351
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 148","Saint-Constant",122,79,5,4,0,14,2,226,367
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 149","Saint-Constant",98,74,4,12,0,11,2,201,369
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 150","Saint-Constant",121,100,4,20,0,22,1,268,424
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 151","Saint-Constant",128,89,1,23,0,31,1,273,452
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 152","Saint-Constant",119,84,4,11,0,20,3,241,400
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 153","Saint-Constant",170,84,2,12,0,22,7,297,533
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 154","Delson",176,94,4,21,0,9,2,306,546
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 155","Delson",93,25,3,9,0,12,0,142,281
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 155-1","Delson",163,82,1,18,0,33,1,298,495
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 156","Delson",104,43,2,11,0,31,5,196,339
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 157","Delson",89,69,1,15,0,16,7,197,383
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 158","Delson",114,61,0,14,0,24,8,221,351
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 159","Delson",126,35,1,18,1,23,6,210,373
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 160","Delson",97,51,3,13,0,9,2,175,371
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 161","Saint-Constant",128,59,4,23,2,18,4,238,426
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 162","Saint-Constant",119,59,4,16,1,13,2,214,411
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 163","Saint-Constant",126,65,7,24,2,28,2,254,489
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 164","Saint-Constant",118,72,6,16,0,19,7,238,425
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 165","Saint-Constant",146,65,3,17,0,16,4,251,475
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 166","Saint-Constant",165,61,5,17,1,20,2,271,521
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 167","Saint-Constant",169,75,0,19,0,24,1,288,492
