Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Kevin Barr,Ryan Leef,John Streicker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 1","Old Crow",33,13,11,3,0,60,169
60001,"Yukon/Yukon"," 2A","Dawson",Merged with No. 3A/Fusionné avec le nº 3A,,,,,,11
60001,"Yukon/Yukon"," 2B","Dawson",Merged with No. 3B/Fusionné avec le nº 3B,,,,,,6
60001,"Yukon/Yukon"," 2C","Dawson",Merged with No. 3C/Fusionné avec le nº 3C,,,,,,4
60001,"Yukon/Yukon"," 2D","Dawson",Merged with No. 3D/Fusionné avec le nº 3D,,,,,,11
60001,"Yukon/Yukon"," 3A","Dawson",77,27,42,41,0,187,292
60001,"Yukon/Yukon"," 3B","Dawson",41,20,66,18,0,145,257
60001,"Yukon/Yukon"," 3C","Dawson",48,25,56,34,0,163,256
60001,"Yukon/Yukon"," 3D","Dawson",68,26,40,39,0,173,277
60001,"Yukon/Yukon"," 4A","Klondike",Merged with No. 3A/Fusionné avec le nº 3A,,,,,,57
60001,"Yukon/Yukon"," 4B","Klondike",Merged with No. 3B/Fusionné avec le nº 3B,,,,,,59
60001,"Yukon/Yukon"," 4C","Klondike",Merged with No. 3C/Fusionné avec le nº 3C,,,,,,53
60001,"Yukon/Yukon"," 4D","Klondike",Merged with No. 3D/Fusionné avec le nº 3D,,,,,,62
60001,"Yukon/Yukon"," 5","Mayo",49,38,55,9,0,151,371
60001,"Yukon/Yukon"," 6","Keno",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 7","Mayo",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 8","Beaver Creek",7,9,16,4,0,36,79
60001,"Yukon/Yukon"," 9","Pelly Crossing",22,45,30,2,0,99,214
60001,"Yukon/Yukon"," 10","Carmacks",37,65,47,12,0,161,312
60001,"Yukon/Yukon"," 11","Faro",30,33,67,16,0,146,272
60001,"Yukon/Yukon"," 12","Ross River",9,37,32,4,0,82,226
60001,"Yukon/Yukon"," 13","Burwash Landing",10,6,6,4,1,27,66
60001,"Yukon/Yukon"," 14","Destruction Bay",5,2,17,2,0,26,38
60001,"Yukon/Yukon"," 15A","Haines Junction",Merged with No. 16A/Fusionné avec le nº 16A,,,,,,47
60001,"Yukon/Yukon"," 15B","Haines Junction",Merged with No. 16B/Fusionné avec le nº 16B,,,,,,62
60001,"Yukon/Yukon"," 16A","Haines Junction",46,51,69,29,0,195,260
60001,"Yukon/Yukon"," 16B","Haines Junction",39,26,47,23,0,135,228
60001,"Yukon/Yukon"," 17A","Upper Laberge",Merged with No. 20A/Fusionné avec le nº 20A,,,,,,31
60001,"Yukon/Yukon"," 17B","Upper Laberge",Merged with No. 20B/Fusionné avec le nº 20B,,,,,,52
60001,"Yukon/Yukon"," 17C","Upper Laberge",Merged with No. 20C/Fusionné avec le nº 20C,,,,,,47
60001,"Yukon/Yukon"," 18","Champagne",8,4,15,5,0,32,53
60001,"Yukon/Yukon"," 19A","Takhini",Merged with No. 20A/Fusionné avec le nº 20A,,,,,,40
60001,"Yukon/Yukon"," 19B","Takhini",Merged with No. 20B/Fusionné avec le nº 20B,,,,,,45
