Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Steve Clarke,Adrian Kooger,Valerie Powell,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Simcoe North/Simcoe-Nord"," 1","Christian Island 30",137,27,0,15,42,1,222,368
35086,"Simcoe North/Simcoe-Nord"," 2","Tiny",77,59,2,19,116,0,273,485
35086,"Simcoe North/Simcoe-Nord"," 3","Tiny",40,27,1,19,64,0,151,333
35086,"Simcoe North/Simcoe-Nord"," 3-1","Tiny",54,44,1,14,106,2,221,403
35086,"Simcoe North/Simcoe-Nord"," 4","Tiny",55,39,2,18,118,0,232,430
35086,"Simcoe North/Simcoe-Nord"," 5","Tiny",60,26,2,16,99,0,203,385
35086,"Simcoe North/Simcoe-Nord"," 6","Tiny",107,48,1,23,113,1,293,460
35086,"Simcoe North/Simcoe-Nord"," 7","Tiny",58,28,0,11,87,0,184,346
35086,"Simcoe North/Simcoe-Nord"," 7-1","Tiny",67,80,2,14,94,0,257,329
35086,"Simcoe North/Simcoe-Nord"," 8","Tiny",29,15,0,5,39,0,88,207
35086,"Simcoe North/Simcoe-Nord"," 9","Tiny",66,47,0,10,114,1,238,419
35086,"Simcoe North/Simcoe-Nord"," 10","Tiny",34,36,1,15,92,1,179,324
35086,"Simcoe North/Simcoe-Nord"," 10-1","Tiny",54,38,0,12,109,0,213,390
35086,"Simcoe North/Simcoe-Nord"," 11","Tiny",63,50,3,12,96,1,225,400
35086,"Simcoe North/Simcoe-Nord"," 12","Tiny",73,64,0,17,165,0,319,516
35086,"Simcoe North/Simcoe-Nord"," 13","Tiny",76,46,2,13,141,0,278,429
35086,"Simcoe North/Simcoe-Nord"," 14","Tiny",31,21,0,9,94,0,155,270
35086,"Simcoe North/Simcoe-Nord"," 14-1","Tiny",57,42,1,21,103,1,225,391
35086,"Simcoe North/Simcoe-Nord"," 15","Tiny",53,33,0,21,168,2,277,458
35086,"Simcoe North/Simcoe-Nord"," 15-1","Tiny",27,11,0,8,80,0,126,196
35086,"Simcoe North/Simcoe-Nord"," 16","Tiny",64,63,0,14,217,1,359,514
35086,"Simcoe North/Simcoe-Nord"," 17","Tiny",33,32,0,12,124,0,201,331
35086,"Simcoe North/Simcoe-Nord"," 18","Tiny",33,13,0,6,39,0,91,155
35086,"Simcoe North/Simcoe-Nord"," 19","Penetanguishene",62,40,1,15,68,0,186,370
35086,"Simcoe North/Simcoe-Nord"," 20","Penetanguishene",87,41,1,8,130,0,267,500
35086,"Simcoe North/Simcoe-Nord"," 21","Penetanguishene",25,28,0,9,43,0,105,198
35086,"Simcoe North/Simcoe-Nord"," 22","Penetanguishene",46,62,1,16,81,1,207,386
35086,"Simcoe North/Simcoe-Nord"," 23","Penetanguishene",52,50,1,17,93,0,213,464
35086,"Simcoe North/Simcoe-Nord"," 24","Penetanguishene",31,10,0,3,25,0,69,240
35086,"Simcoe North/Simcoe-Nord"," 25","Penetanguishene",41,42,0,25,79,2,189,394
35086,"Simcoe North/Simcoe-Nord"," 26","Penetanguishene",52,54,0,16,94,0,216,454
35086,"Simcoe North/Simcoe-Nord"," 27","Penetanguishene",55,30,1,11,67,0,164,315
35086,"Simcoe North/Simcoe-Nord"," 28","Penetanguishene",78,40,2,12,100,0,232,413
35086,"Simcoe North/Simcoe-Nord"," 29","Penetanguishene",58,60,2,7,85,0,212,429
35086,"Simcoe North/Simcoe-Nord"," 30","Penetanguishene",40,43,0,7,93,0,183,318
35086,"Simcoe North/Simcoe-Nord"," 30-1A","Penetanguishene",49,34,1,6,51,0,141,282
35086,"Simcoe North/Simcoe-Nord"," 30-1B","Mobile poll/Bureau itinérant",17,32,1,3,36,0,89,104
35086,"Simcoe North/Simcoe-Nord"," 31","Penetanguishene",56,25,1,20,67,0,169,373
35086,"Simcoe North/Simcoe-Nord"," 32","Penetanguishene",33,17,2,3,47,0,102,236
35086,"Simcoe North/Simcoe-Nord"," 33","Penetanguishene",66,21,1,5,84,3,180,424
35086,"Simcoe North/Simcoe-Nord"," 34","Penetanguishene",49,30,2,15,71,1,168,357
35086,"Simcoe North/Simcoe-Nord"," 35","Midland",41,45,1,20,80,2,189,491
35086,"Simcoe North/Simcoe-Nord"," 36","Midland",27,18,0,5,54,0,104,271
35086,"Simcoe North/Simcoe-Nord"," 37","Midland",36,20,3,13,45,0,117,268
35086,"Simcoe North/Simcoe-Nord"," 38","Midland",34,29,2,11,60,1,137,326
35086,"Simcoe North/Simcoe-Nord"," 39","Midland",51,48,0,16,88,3,206,454
35086,"Simcoe North/Simcoe-Nord"," 40","Midland",42,64,1,4,155,0,266,555
35086,"Simcoe North/Simcoe-Nord"," 41","Midland",34,18,1,9,58,0,120,344
35086,"Simcoe North/Simcoe-Nord"," 42","Midland",46,41,0,11,98,0,196,403
35086,"Simcoe North/Simcoe-Nord"," 43","Midland",57,54,1,24,137,0,273,529
35086,"Simcoe North/Simcoe-Nord"," 44","Midland",59,36,0,13,94,2,204,378
35086,"Simcoe North/Simcoe-Nord"," 45","Midland",34,46,0,13,65,0,158,411
35086,"Simcoe North/Simcoe-Nord"," 46","Midland",32,27,0,15,35,0,109,236
35086,"Simcoe North/Simcoe-Nord"," 47A","Midland",25,16,0,13,30,0,84,187
35086,"Simcoe North/Simcoe-Nord"," 47B","Mobile poll/Bureau itinérant",Merged with No. 30-1B/Fusionné avec le nº 30-1B,,,,,,,84
35086,"Simcoe North/Simcoe-Nord"," 48","Midland",10,10,0,2,46,0,68,271
35086,"Simcoe North/Simcoe-Nord"," 49","Midland",33,13,0,4,53,0,103,253
35086,"Simcoe North/Simcoe-Nord"," 50","Midland",24,25,0,14,78,0,141,293
35086,"Simcoe North/Simcoe-Nord"," 51","Midland",55,22,0,19,43,0,139,315
35086,"Simcoe North/Simcoe-Nord"," 52","Midland",42,14,0,9,50,1,116,322
35086,"Simcoe North/Simcoe-Nord"," 53A","Midland",22,9,0,11,30,1,73,194
35086,"Simcoe North/Simcoe-Nord"," 53B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,168
35086,"Simcoe North/Simcoe-Nord"," 54","Midland",53,20,1,13,69,1,157,381
35086,"Simcoe North/Simcoe-Nord"," 55","Midland",39,21,2,6,66,0,134,426
35086,"Simcoe North/Simcoe-Nord"," 56","Midland",36,34,0,8,72,1,151,350
35086,"Simcoe North/Simcoe-Nord"," 57","Midland",58,38,0,13,85,1,195,404
35086,"Simcoe North/Simcoe-Nord"," 58A","Midland",45,19,0,6,66,0,136,313
35086,"Simcoe North/Simcoe-Nord"," 58B","Midland",33,34,1,9,77,0,154,317
35086,"Simcoe North/Simcoe-Nord"," 59","Midland",42,24,0,7,66,3,142,339
35086,"Simcoe North/Simcoe-Nord"," 60","Midland",60,28,1,11,98,1,199,481
35086,"Simcoe North/Simcoe-Nord"," 61","Midland",68,31,0,10,89,0,198,463
35086,"Simcoe North/Simcoe-Nord"," 62","Midland",65,28,0,14,87,0,194,471
35086,"Simcoe North/Simcoe-Nord"," 63","Midland",60,24,1,14,92,0,191,384
35086,"Simcoe North/Simcoe-Nord"," 64","Midland",66,21,0,16,91,0,194,440
35086,"Simcoe North/Simcoe-Nord"," 65","Midland",38,23,5,6,105,0,177,357
35086,"Simcoe North/Simcoe-Nord"," 66","Penetanguishene",59,60,0,15,144,1,279,562
35086,"Simcoe North/Simcoe-Nord"," 67","Midland",51,63,0,16,135,0,265,550
35086,"Simcoe North/Simcoe-Nord"," 68","Tay",25,32,0,6,88,1,152,272
35086,"Simcoe North/Simcoe-Nord"," 69","Tay",48,31,0,10,96,0,185,333
35086,"Simcoe North/Simcoe-Nord"," 70","Tay",62,15,1,12,78,1,169,329
35086,"Simcoe North/Simcoe-Nord"," 71","Tay",44,12,1,5,62,0,124,264
35086,"Simcoe North/Simcoe-Nord"," 72","Tay",62,36,1,4,102,2,207,412
35086,"Simcoe North/Simcoe-Nord"," 73","Tay",61,24,1,7,69,0,162,358
35086,"Simcoe North/Simcoe-Nord"," 74","Tay",46,35,0,12,103,2,198,387
35086,"Simcoe North/Simcoe-Nord"," 75","Tay",50,21,0,7,113,1,192,341
35086,"Simcoe North/Simcoe-Nord"," 76","Tay",41,13,1,6,102,0,163,333
35086,"Simcoe North/Simcoe-Nord"," 77A","Tay",47,31,0,20,125,1,224,395
35086,"Simcoe North/Simcoe-Nord"," 77B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,14
35086,"Simcoe North/Simcoe-Nord"," 78","Tay",45,22,1,11,102,0,181,339
35086,"Simcoe North/Simcoe-Nord"," 79","Tay",73,30,1,9,128,0,241,502
35086,"Simcoe North/Simcoe-Nord"," 80","Tay",66,27,0,10,123,0,226,489
35086,"Simcoe North/Simcoe-Nord"," 81","Tay",37,34,0,10,135,0,216,410
35086,"Simcoe North/Simcoe-Nord"," 82","Tay",47,31,0,11,82,0,171,321
