Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bernier,Garnet Colly,Riccardo De Ioris,Michael Di Pardo,Massimo Pacetti,Roberta Peressini,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 1","Saint-Léonard",18,1,21,3,67,59,1,170,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 2","Saint-Léonard",12,1,47,4,128,61,6,259,526
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 3","Saint-Léonard",10,1,21,4,55,50,4,145,338
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 4","Saint-Léonard",10,0,14,2,65,39,3,133,311
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 5","Saint-Léonard",12,1,26,3,71,64,2,179,383
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 6","Saint-Léonard",17,0,18,3,62,67,2,169,333
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 7","Saint-Léonard",13,1,22,2,65,57,4,164,378
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 8","Saint-Léonard",9,0,14,0,26,38,1,88,252
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 9","Saint-Léonard",10,0,26,4,82,53,0,175,335
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 10","Saint-Léonard",10,1,25,1,57,59,2,155,355
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 11","Saint-Léonard",16,1,28,2,81,62,5,195,355
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 12","Saint-Léonard",14,2,16,5,62,41,1,141,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 13","Saint-Léonard",10,1,26,2,96,72,5,212,372
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 14","Saint-Léonard",25,0,18,2,63,47,5,160,341
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 15","Saint-Léonard",15,1,27,3,64,40,3,153,322
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 16","Saint-Léonard",7,1,14,3,65,41,2,133,242
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 17","Saint-Léonard",11,1,26,1,115,57,6,217,377
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 18","Saint-Léonard",10,2,28,2,95,41,0,178,339
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 19","Saint-Léonard",16,0,31,1,67,53,1,169,309
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 20","Saint-Léonard",19,1,26,7,87,64,3,207,356
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 21","Saint-Léonard",9,0,23,2,95,39,1,169,326
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 22","Saint-Léonard",9,1,21,1,84,48,3,167,372
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 23","Saint-Léonard",13,0,15,1,65,47,1,142,325
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 24","Saint-Léonard",12,0,25,0,69,46,5,157,315
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 25","Saint-Léonard",13,0,22,3,34,51,4,127,342
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 26","Saint-Léonard",15,0,19,2,71,47,5,159,338
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 27","Saint-Léonard",8,0,16,4,53,47,4,132,317
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 28","Saint-Léonard",16,0,13,3,50,49,2,133,327
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 29","Saint-Léonard",28,0,37,8,96,57,1,227,532
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 30","Saint-Léonard",12,1,31,7,70,51,0,172,356
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 31","Saint-Léonard",9,3,31,2,76,46,6,173,337
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 32","Saint-Léonard",20,1,16,2,71,59,4,173,326
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 33","Saint-Léonard",5,0,26,2,81,49,0,163,310
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 34","Saint-Léonard",14,0,15,2,71,41,0,143,297
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 35","Saint-Léonard",9,1,11,5,75,57,5,163,333
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 36","Saint-Léonard",13,0,21,3,83,43,25,188,318
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 37","Saint-Léonard",37,1,25,11,81,61,1,217,378
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 38","Saint-Léonard",11,0,13,2,45,43,3,117,267
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 39","Saint-Léonard",10,1,24,2,76,58,4,175,333
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 40","Saint-Léonard",8,1,25,2,63,47,3,149,352
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 41","Saint-Léonard",16,0,18,2,73,67,4,180,359
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 42","Saint-Léonard",10,1,21,3,84,44,3,166,306
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 43","Saint-Léonard",9,0,25,2,77,50,3,166,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 44","Saint-Léonard",16,1,18,1,64,45,1,146,320
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 45","Saint-Léonard",9,0,22,3,71,46,2,153,349
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 46","Saint-Léonard",6,3,18,2,72,36,1,138,311
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 47","Saint-Léonard",9,2,26,4,70,53,1,165,428
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 48","Saint-Léonard",12,1,21,2,53,43,6,138,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49A","Saint-Léonard",14,0,16,3,26,34,1,94,203
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49B","Saint-Léonard",2,0,2,0,27,1,1,33,52
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50","Saint-Léonard",11,1,56,4,93,70,7,242,554
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50-1","Saint-Léonard",6,0,20,2,43,26,0,97,214
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51A","Saint-Léonard",19,2,17,4,71,40,7,160,321
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51B","Saint-Léonard",7,3,18,2,117,10,8,165,205
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 52","Saint-Léonard",18,0,21,2,65,63,7,176,464
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 53","Saint-Léonard",8,0,15,2,56,43,2,126,324
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 54","Saint-Léonard",11,2,22,8,84,52,4,183,345
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 55","Saint-Léonard",15,0,15,3,59,44,0,136,313
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 56","Saint-Léonard",17,2,15,0,67,64,2,167,361
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57","Saint-Léonard",7,0,18,4,42,62,1,134,349
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58","Saint-Léonard",22,1,25,4,74,61,4,191,393
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 59","Saint-Léonard",13,1,21,0,38,39,2,114,298
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60","Saint-Léonard",17,0,12,2,45,52,5,133,317
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 61","Saint-Léonard",9,0,26,2,69,60,4,170,338
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 62","Saint-Léonard",12,0,12,3,70,60,6,163,344
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 63","Saint-Léonard",23,2,31,3,48,84,3,194,532
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 64","Saint-Léonard",9,0,12,3,58,66,2,150,297
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 65","Saint-Léonard",3,1,43,3,92,54,4,200,364
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 66","Saint-Léonard",25,2,30,4,68,52,4,185,340
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 67","Saint-Léonard",13,0,21,5,61,69,1,170,358
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 68","Saint-Léonard",13,1,31,1,64,56,2,168,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 69","Saint-Léonard",11,0,21,4,78,62,1,177,334
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 70","Saint-Léonard",9,0,30,4,55,65,2,165,373
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 71","Saint-Léonard",7,0,13,2,55,59,1,137,325
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 72","Saint-Léonard",11,2,20,3,86,42,3,167,392
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 73","Saint-Léonard",8,3,50,5,120,52,3,241,425
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 74","Saint-Léonard",10,0,38,4,104,44,3,203,421
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 75","Saint-Léonard",6,0,23,0,70,55,1,155,326
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 76","Saint-Léonard",6,0,18,1,63,61,0,149,334
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 77","Saint-Léonard",14,0,30,2,69,47,3,165,335
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 78","Saint-Léonard",12,0,14,3,83,41,2,155,329
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 79","Saint-Léonard",10,0,14,0,70,31,3,128,289
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 80","Saint-Léonard",3,2,21,2,81,61,4,174,355
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 81","Saint-Léonard",6,0,38,2,101,50,1,198,359
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 82","Saint-Léonard",4,0,31,5,89,35,1,165,351
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 83","Saint-Léonard",19,0,18,2,68,45,4,156,347
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 84","Saint-Léonard",20,2,20,3,77,42,1,165,355
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 85","Saint-Léonard",11,1,22,5,55,65,5,164,353
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 86","Saint-Léonard",10,1,42,1,77,44,3,178,378
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 87","Saint-Léonard",14,0,25,2,55,49,6,151,303
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 88","Saint-Léonard",6,1,22,3,56,43,3,134,304
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 89","Saint-Léonard",11,0,33,3,86,43,0,176,341
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 90","Saint-Léonard",14,1,26,4,72,59,4,180,361
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 91","Saint-Léonard",12,0,21,5,69,63,4,174,384
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 92","Saint-Léonard",23,0,24,4,62,47,4,164,344
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93","Saint-Léonard",19,1,31,1,76,66,2,196,431
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93-1A","Saint-Léonard",2,0,26,2,71,82,0,183,355
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93-1B","Saint-Léonard",5,0,37,3,77,67,0,189,348
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 94","Saint-Léonard",31,2,8,4,90,45,3,183,359
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 95","Saint-Léonard",12,1,21,5,91,72,1,203,366
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 96","Saint-Léonard",14,0,27,2,77,54,4,178,303
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 97","Saint-Léonard",21,0,32,2,79,46,2,182,315
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 98","Saint-Léonard",25,0,32,3,80,49,4,193,362
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 99","Saint-Léonard",20,0,24,1,79,34,1,159,322
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 100","Saint-Léonard",7,0,23,3,80,53,2,168,342
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 101","Saint-Léonard",14,0,20,4,69,39,0,146,316
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 102","Saint-Léonard",7,1,23,2,53,52,2,140,333
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 103","Saint-Léonard",11,0,25,4,75,60,0,175,331
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 104","Saint-Léonard",22,0,18,1,93,56,2,192,358
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 105","Saint-Léonard",7,0,21,1,55,49,4,137,323
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 106","Saint-Léonard",6,0,15,0,62,50,2,135,354
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 107","Saint-Léonard",13,0,20,5,58,35,5,136,323
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 108","Saint-Léonard",5,1,22,4,83,47,2,164,356
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 109","Saint-Léonard",6,0,15,1,47,25,2,96,197
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 110","Saint-Léonard",16,1,20,5,53,40,3,138,336
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 111","Saint-Léonard",15,0,25,6,68,63,3,180,342
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 112","Saint-Léonard",7,1,18,1,55,51,6,139,291
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 113","Saint-Léonard",7,1,33,4,87,45,1,178,322
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 114","Saint-Léonard",12,0,39,1,93,35,7,187,329
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 115","Saint-Léonard",5,0,32,1,60,27,1,126,227
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 116","Saint-Léonard",8,0,33,4,87,41,0,173,338
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 117","Saint-Léonard",6,0,32,4,71,55,3,171,346
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118","Saint-Léonard",18,0,15,1,72,42,2,150,377
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119","Saint-Léonard",14,1,18,2,60,57,2,154,362
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 120","Saint-Léonard",9,0,27,1,53,54,3,147,334
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 121","Saint-Léonard",12,2,24,3,74,58,5,178,359
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 122","Saint-Léonard",12,0,16,0,74,58,0,160,281
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 123","Saint-Léonard",30,1,46,6,62,88,6,239,442
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 124","Saint-Léonard",16,2,21,1,46,44,1,131,298
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 125","Saint-Léonard",37,2,43,5,85,92,14,278,518
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 126","Saint-Léonard",31,0,26,3,111,106,3,280,518
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 127","Saint-Léonard",5,2,22,2,79,55,0,165,324
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 128","Saint-Léonard",1,1,26,2,84,54,1,169,322
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 129","Saint-Léonard",6,0,18,0,61,32,1,118,268
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 130","Saint-Léonard",10,0,25,2,61,50,3,151,316
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 131","Saint-Léonard",6,1,15,0,56,58,0,136,327
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 132","Saint-Léonard",18,0,13,0,50,40,4,125,330
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 133","Saint-Léonard",10,0,20,3,65,79,3,180,306
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 134","Saint-Léonard",11,0,21,2,89,49,2,174,307
