Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dick Harris,Sangeeta Lalli,Heidi Redl,Jon Ronan,Henry Thiessen,Jordan Turner,Jon Van Barneveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Hagensborg",94,7,24,2,1,2,95,0,225,496
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Hagensborg",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Anahim Lake",111,3,9,5,1,0,58,0,187,511
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Chilanko Forks",31,2,1,0,1,0,42,0,77,189
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Tatla Lake",62,0,6,2,0,0,26,0,96,145
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Nemaiah Valley",7,1,2,0,1,0,54,0,65,175
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Hanceville",24,1,4,2,0,0,43,0,74,122
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Alexis Creek",42,15,11,3,4,0,77,1,153,425
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Big Creek",30,0,4,1,0,0,4,0,39,65
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Nazko",34,2,3,0,0,1,22,1,63,140
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Quesnel",98,3,12,1,0,0,29,0,143,255
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Strathnaver",199,3,14,4,3,1,67,1,292,487
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13","Wells",37,8,23,3,0,0,64,0,135,238
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Barlow",151,9,19,5,2,1,78,0,265,527
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Ten Mile Lake",87,6,5,0,7,1,30,0,136,260
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Ten Mile Lake",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Moose Heights",136,5,13,4,1,2,64,0,225,445
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Quesnel",119,8,9,5,1,0,41,0,183,383
59004,"Cariboo--Prince George/Cariboo--Prince George"," 19","Quesnel",108,16,7,3,4,2,57,1,198,379
59004,"Cariboo--Prince George/Cariboo--Prince George"," 20","Quesnel",168,8,11,4,1,2,98,0,292,585
59004,"Cariboo--Prince George/Cariboo--Prince George"," 21","Baker Creek",80,4,4,1,2,0,16,0,107,189
59004,"Cariboo--Prince George/Cariboo--Prince George"," 22","Quesnel",150,7,10,2,6,1,93,0,269,523
59004,"Cariboo--Prince George/Cariboo--Prince George"," 23","Quesnel View",91,4,11,1,1,1,35,0,144,251
59004,"Cariboo--Prince George/Cariboo--Prince George"," 24","Narcosli Creek",48,8,7,0,0,0,17,1,81,142
59004,"Cariboo--Prince George/Cariboo--Prince George"," 25","Alexandria",37,2,11,0,0,0,17,0,67,128
59004,"Cariboo--Prince George/Cariboo--Prince George"," 26","Gravelle Ferry",44,4,3,0,0,0,25,1,77,143
59004,"Cariboo--Prince George/Cariboo--Prince George"," 27","Kersley",215,14,13,2,5,0,76,2,327,559
59004,"Cariboo--Prince George/Cariboo--Prince George"," 28","Kersley",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 29","Rich Bar",130,8,14,1,2,0,58,0,213,419
59004,"Cariboo--Prince George/Cariboo--Prince George"," 30","Quesnel",150,6,12,2,2,0,51,0,223,410
59004,"Cariboo--Prince George/Cariboo--Prince George"," 31","Rich Bar",135,13,13,4,1,1,58,0,225,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 32","Quesnel",127,6,6,3,0,1,70,1,214,376
59004,"Cariboo--Prince George/Cariboo--Prince George"," 33","Quesnel",148,8,7,2,7,2,82,1,257,505
59004,"Cariboo--Prince George/Cariboo--Prince George"," 34","Quesnel",117,6,4,3,2,1,47,0,180,342
59004,"Cariboo--Prince George/Cariboo--Prince George"," 35","Quesnel",156,3,6,4,0,0,86,1,256,454
59004,"Cariboo--Prince George/Cariboo--Prince George"," 36","Quesnel",136,8,9,5,4,0,57,0,219,431
59004,"Cariboo--Prince George/Cariboo--Prince George"," 37","Quesnel",204,12,8,2,0,2,71,0,299,546
59004,"Cariboo--Prince George/Cariboo--Prince George"," 38","Quesnel",222,14,11,3,2,0,88,0,340,542
59004,"Cariboo--Prince George/Cariboo--Prince George"," 39","Quesnel",107,6,4,1,1,1,48,0,168,247
59004,"Cariboo--Prince George/Cariboo--Prince George"," 40","Quesnel",152,6,8,5,1,1,68,1,242,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 41","Quesnel",91,8,5,2,3,0,36,0,145,298
59004,"Cariboo--Prince George/Cariboo--Prince George"," 42","Barlow Creek",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 43","Barlow Creek",130,8,12,2,0,1,65,1,219,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 44","Quesnel",117,8,6,2,5,0,102,1,241,433
59004,"Cariboo--Prince George/Cariboo--Prince George"," 45","Quesnel",105,9,3,3,5,0,52,2,179,400
59004,"Cariboo--Prince George/Cariboo--Prince George"," 46","Quesnel",122,2,10,1,3,2,60,0,200,388
59004,"Cariboo--Prince George/Cariboo--Prince George"," 47","Quesnel",71,9,2,0,1,0,37,0,120,305
59004,"Cariboo--Prince George/Cariboo--Prince George"," 48","Quesnel",69,6,4,2,1,0,49,0,131,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 49","Quesnel",84,8,9,1,1,0,60,0,163,408
59004,"Cariboo--Prince George/Cariboo--Prince George"," 50","Quesnel",83,7,9,2,3,1,51,0,156,352
59004,"Cariboo--Prince George/Cariboo--Prince George"," 51","Quesnel",78,7,8,1,0,0,67,3,164,358
59004,"Cariboo--Prince George/Cariboo--Prince George"," 52","Quesnel",71,23,8,5,1,2,40,2,152,389
59004,"Cariboo--Prince George/Cariboo--Prince George"," 53","Quesnel",47,3,4,0,0,1,29,1,85,209
59004,"Cariboo--Prince George/Cariboo--Prince George"," 54","Quesnel",83,13,11,3,3,2,67,2,184,380
59004,"Cariboo--Prince George/Cariboo--Prince George"," 55","Quesnel",63,6,7,2,0,3,28,2,111,301
59004,"Cariboo--Prince George/Cariboo--Prince George"," 56","Quesnel",146,11,8,2,1,0,54,2,224,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 57","Quesnel",126,8,8,2,2,3,61,1,211,328
59004,"Cariboo--Prince George/Cariboo--Prince George"," 58","Quesnel",144,7,14,2,1,0,57,0,225,419
59004,"Cariboo--Prince George/Cariboo--Prince George"," 59","Dog Creek",167,1,6,2,5,1,16,0,198,337
59004,"Cariboo--Prince George/Cariboo--Prince George"," 60","Vanderhoof",141,9,3,2,9,1,19,0,184,381
59004,"Cariboo--Prince George/Cariboo--Prince George"," 61","Six Mile Meadow 6",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62","Chilco",125,4,2,4,2,1,12,0,150,267
59004,"Cariboo--Prince George/Cariboo--Prince George"," 63","Vanderhoof",171,11,13,2,8,2,57,3,267,543
59004,"Cariboo--Prince George/Cariboo--Prince George"," 64","Vanderhoof",60,0,9,1,6,0,16,0,92,234
