Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Daoust,Bernard Demers,Réjean Genest,Mélisa Leclerc,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Shefford/Shefford"," 1","Rougemont",2,32,146,34,66,4,284,446
24069,"Shefford/Shefford"," 2","Rougemont",5,22,112,29,63,7,238,419
24069,"Shefford/Shefford"," 3","Rougemont",10,16,134,38,72,0,270,475
24069,"Shefford/Shefford"," 4","Rougemont",2,17,95,24,41,0,179,364
24069,"Shefford/Shefford"," 5","Rougemont",7,14,141,34,81,6,283,450
24069,"Shefford/Shefford"," 6","Saint-Césaire",8,10,115,18,57,2,210,444
24069,"Shefford/Shefford"," 7","Saint-Césaire",4,22,179,22,60,7,294,542
24069,"Shefford/Shefford"," 8A","Saint-Césaire",2,7,97,22,25,4,157,254
24069,"Shefford/Shefford"," 8B","Saint-Césaire",4,8,89,13,26,1,141,257
24069,"Shefford/Shefford"," 9","Saint-Paul-d'Abbotsford",6,10,126,45,46,3,236,414
24069,"Shefford/Shefford"," 10","Saint-Paul-d'Abbotsford",5,27,155,39,63,2,291,476
24069,"Shefford/Shefford"," 11","Saint-Paul-d'Abbotsford",3,15,128,28,62,5,241,411
24069,"Shefford/Shefford"," 12","Saint-Paul-d'Abbotsford",12,26,205,56,74,1,374,569
24069,"Shefford/Shefford"," 13","Saint-Paul-d'Abbotsford",3,26,150,51,52,5,287,470
24069,"Shefford/Shefford"," 14","Saint-Césaire",4,12,105,28,50,3,202,483
24069,"Shefford/Shefford"," 15A","Saint-Césaire",1,7,108,22,31,1,170,349
24069,"Shefford/Shefford"," 15B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,41
24069,"Shefford/Shefford"," 16","Saint-Césaire",7,7,60,14,37,4,129,324
24069,"Shefford/Shefford"," 17","Saint-Césaire",3,14,111,20,58,5,211,445
24069,"Shefford/Shefford"," 18A","Saint-Césaire",2,10,104,19,28,3,166,323
24069,"Shefford/Shefford"," 18B","Saint-Césaire",3,10,84,17,30,1,145,300
24069,"Shefford/Shefford"," 19","Sainte-Angèle-de-Monnoir",2,4,92,21,24,1,144,254
24069,"Shefford/Shefford"," 20","Sainte-Angèle-de-Monnoir",9,13,195,24,96,6,343,525
24069,"Shefford/Shefford"," 21","Sainte-Angèle-de-Monnoir",18,15,217,38,95,3,386,588
24069,"Shefford/Shefford"," 22","Saint-Césaire",3,8,81,15,43,0,150,298
24069,"Shefford/Shefford"," 23","Saint-Césaire",1,19,86,17,49,2,174,328
24069,"Shefford/Shefford"," 24","Ange-Gardien",8,15,120,45,49,5,242,410
24069,"Shefford/Shefford"," 25","Ange-Gardien",6,23,210,54,64,4,361,587
24069,"Shefford/Shefford"," 26","Ange-Gardien",4,13,109,49,39,3,217,358
24069,"Shefford/Shefford"," 26-1A","Ange-Gardien",3,7,111,15,43,1,180,346
24069,"Shefford/Shefford"," 26-1B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,26
24069,"Shefford/Shefford"," 27","Sainte-Cécile-de-Milton",8,20,155,53,70,12,318,543
24069,"Shefford/Shefford"," 28","Sainte-Cécile-de-Milton",7,14,168,49,57,6,301,464
24069,"Shefford/Shefford"," 29","Sainte-Cécile-de-Milton",2,30,175,62,80,8,357,561
24069,"Shefford/Shefford"," 30","Granby",4,14,129,31,72,3,253,510
24069,"Shefford/Shefford"," 31","Granby",7,32,167,44,61,8,319,549
24069,"Shefford/Shefford"," 32","Granby",1,23,172,37,90,3,326,544
24069,"Shefford/Shefford"," 33","Granby",5,20,178,38,51,5,297,531
24069,"Shefford/Shefford"," 34","Granby",3,6,149,37,50,3,248,352
24069,"Shefford/Shefford"," 35","Granby",6,44,181,34,59,1,325,519
24069,"Shefford/Shefford"," 36","Granby",3,29,183,22,83,5,325,539
24069,"Shefford/Shefford"," 36-1","Granby",4,28,82,29,34,1,178,300
24069,"Shefford/Shefford"," 37","Granby",4,13,140,22,72,3,254,431
24069,"Shefford/Shefford"," 38","Granby",1,14,142,22,62,4,245,455
24069,"Shefford/Shefford"," 39A","Granby",2,14,18,36,111,3,184,315
24069,"Shefford/Shefford"," 39B","Granby",1,15,103,20,42,1,182,318
24069,"Shefford/Shefford"," 40","Granby",5,21,187,40,82,4,339,581
24069,"Shefford/Shefford"," 41","Granby",3,19,183,53,64,4,326,509
24069,"Shefford/Shefford"," 42","Granby",2,22,155,56,68,3,306,555
24069,"Shefford/Shefford"," 43A","Granby",2,6,78,20,30,4,140,323
24069,"Shefford/Shefford"," 43B","Granby",7,16,90,19,37,4,173,326
24069,"Shefford/Shefford"," 44","Granby",2,6,52,16,19,1,96,201
24069,"Shefford/Shefford"," 44-1","Granby",1,6,101,13,43,1,165,304
24069,"Shefford/Shefford"," 45","Granby",3,24,152,48,61,6,294,521
24069,"Shefford/Shefford"," 46","Granby",3,25,146,45,47,12,278,428
