Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christopher Causton,Jared Giesbrecht,Patrick Hunt,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Victoria/Victoria"," 1","Victoria",22,27,67,157,0,273,521
59035,"Victoria/Victoria"," 2","Victoria",13,15,47,46,1,122,231
59035,"Victoria/Victoria"," 3","Victoria",19,27,52,158,0,256,474
59035,"Victoria/Victoria"," 4","Victoria",13,35,41,132,1,222,390
59035,"Victoria/Victoria"," 5","Victoria",24,34,36,195,1,290,542
59035,"Victoria/Victoria"," 6","Victoria",28,38,35,191,1,293,517
59035,"Victoria/Victoria"," 7","Victoria",12,20,28,110,0,170,385
59035,"Victoria/Victoria"," 8","Victoria",16,24,42,116,0,198,417
59035,"Victoria/Victoria"," 9","Victoria",36,20,122,86,2,266,454
59035,"Victoria/Victoria"," 10","Victoria",45,66,93,281,2,487,958
59035,"Victoria/Victoria"," 11","Victoria",48,18,146,109,3,324,594
59035,"Victoria/Victoria"," 12","Victoria",11,27,55,116,1,210,472
59035,"Victoria/Victoria"," 13","Victoria",5,9,30,34,0,78,150
59035,"Victoria/Victoria"," 14","Victoria",18,32,56,139,1,246,489
59035,"Victoria/Victoria"," 15","Victoria",14,30,55,114,0,213,534
59035,"Victoria/Victoria"," 16","Victoria",11,36,67,111,0,225,491
59035,"Victoria/Victoria"," 17","Victoria",6,21,30,110,1,168,450
59035,"Victoria/Victoria"," 18","Victoria",25,34,76,129,0,264,484
59035,"Victoria/Victoria"," 19","Victoria",22,40,55,164,0,281,705
59035,"Victoria/Victoria"," 20","Victoria",29,44,75,115,2,265,470
59035,"Victoria/Victoria"," 21","Victoria",21,21,30,104,1,177,358
59035,"Victoria/Victoria"," 22","Victoria",6,20,19,103,0,148,269
59035,"Victoria/Victoria"," 23","Victoria",20,34,33,178,1,266,532
59035,"Victoria/Victoria"," 24","Victoria",6,11,12,39,1,69,214
59035,"Victoria/Victoria"," 25","Victoria",12,41,40,135,0,228,565
59035,"Victoria/Victoria"," 26","Victoria",11,22,31,92,1,157,347
59035,"Victoria/Victoria"," 27","Victoria",12,41,14,119,0,186,368
59035,"Victoria/Victoria"," 28","Victoria",29,32,35,140,2,238,472
59035,"Victoria/Victoria"," 29","Victoria",29,42,50,180,1,302,511
59035,"Victoria/Victoria"," 30","Victoria",15,28,34,68,0,145,258
59035,"Victoria/Victoria"," 31","Victoria",21,38,57,147,0,263,473
59035,"Victoria/Victoria"," 32","Victoria",6,16,27,72,1,122,231
59035,"Victoria/Victoria"," 33","Victoria",24,36,52,132,1,245,578
59035,"Victoria/Victoria"," 34","Victoria",21,47,62,149,0,279,489
59035,"Victoria/Victoria"," 35","Victoria",17,12,41,74,0,144,282
59035,"Victoria/Victoria"," 36","Victoria",13,36,49,130,0,228,471
59035,"Victoria/Victoria"," 37","Victoria",12,26,31,117,2,188,402
59035,"Victoria/Victoria"," 38","Victoria",14,32,27,108,0,181,400
59035,"Victoria/Victoria"," 39","Victoria",27,60,43,217,0,347,604
59035,"Victoria/Victoria"," 40","Victoria",22,44,44,155,0,265,487
59035,"Victoria/Victoria"," 41","Victoria",19,26,63,117,1,226,479
59035,"Victoria/Victoria"," 42","Victoria",6,19,42,82,0,149,292
59035,"Victoria/Victoria"," 43","Victoria",28,30,39,113,1,211,347
59035,"Victoria/Victoria"," 44","Victoria",23,34,26,111,0,194,295
59035,"Victoria/Victoria"," 45","Victoria",22,40,18,130,0,210,353
59035,"Victoria/Victoria"," 46","Victoria",19,45,57,199,0,320,519
59035,"Victoria/Victoria"," 47","Victoria",23,26,34,150,2,235,407
59035,"Victoria/Victoria"," 48","Victoria",16,17,24,51,0,108,215
59035,"Victoria/Victoria"," 49","Victoria",18,37,31,99,1,186,293
59035,"Victoria/Victoria"," 50","Victoria",14,19,27,78,0,138,244
59035,"Victoria/Victoria"," 51","Saanich",18,21,44,104,0,187,389
59035,"Victoria/Victoria"," 52","Saanich",47,32,73,101,0,253,414
59035,"Victoria/Victoria"," 53","Saanich",25,40,63,87,0,215,381
59035,"Victoria/Victoria"," 54","Saanich",27,53,44,115,0,239,410
59035,"Victoria/Victoria"," 55","Saanich",34,28,72,117,1,252,397
59035,"Victoria/Victoria"," 56","Saanich",16,33,84,90,0,223,379
59035,"Victoria/Victoria"," 57","Saanich",32,25,38,78,1,174,354
59035,"Victoria/Victoria"," 58","Saanich",30,30,59,142,1,262,429
59035,"Victoria/Victoria"," 59","Saanich",18,27,28,97,1,171,272
59035,"Victoria/Victoria"," 60","Saanich",18,32,31,100,0,181,320
59035,"Victoria/Victoria"," 61","Saanich",32,32,67,145,0,276,450
59035,"Victoria/Victoria"," 62","Saanich",22,24,57,90,0,193,310
59035,"Victoria/Victoria"," 63","Saanich",27,26,38,124,2,217,314
59035,"Victoria/Victoria"," 64","Saanich",35,34,76,177,0,322,456
59035,"Victoria/Victoria"," 65","Saanich",20,32,46,69,1,168,263
59035,"Victoria/Victoria"," 66","Saanich",9,24,35,69,0,137,285
59035,"Victoria/Victoria"," 67","Saanich",32,29,47,149,0,257,449
59035,"Victoria/Victoria"," 68","Saanich",6,9,6,19,0,40,303
59035,"Victoria/Victoria"," 69","Saanich",21,46,48,118,0,233,402
59035,"Victoria/Victoria"," 70","Saanich",28,12,36,54,0,130,202
59035,"Victoria/Victoria"," 71","Saanich",40,34,101,83,1,259,439
59035,"Victoria/Victoria"," 72","Saanich",27,41,69,129,1,267,432
59035,"Victoria/Victoria"," 73","Saanich",47,34,83,105,0,269,448
59035,"Victoria/Victoria"," 74","Saanich",42,37,100,95,1,275,441
59035,"Victoria/Victoria"," 75","Saanich",47,27,94,76,0,244,395
59035,"Victoria/Victoria"," 76","Saanich",48,18,104,52,1,223,422
59035,"Victoria/Victoria"," 77","Saanich",33,22,97,53,0,205,331
59035,"Victoria/Victoria"," 78","Oak Bay",46,13,81,82,0,222,342
59035,"Victoria/Victoria"," 79","Oak Bay",Void/Supprimé,,,,,,
59035,"Victoria/Victoria"," 80","Oak Bay",59,13,123,68,0,263,408
59035,"Victoria/Victoria"," 81","Oak Bay",51,14,81,79,1,226,389
59035,"Victoria/Victoria"," 82","Oak Bay",41,12,80,49,0,182,343
59035,"Victoria/Victoria"," 83","Oak Bay",59,15,72,103,1,250,410
59035,"Victoria/Victoria"," 84","Oak Bay",66,7,111,50,0,234,419
59035,"Victoria/Victoria"," 85","Oak Bay",88,16,79,70,1,254,392
59035,"Victoria/Victoria"," 86","Oak Bay",47,15,60,109,1,232,389
59035,"Victoria/Victoria"," 87","Oak Bay",49,24,63,112,0,248,419
59035,"Victoria/Victoria"," 88","Oak Bay",64,33,65,168,2,332,532
59035,"Victoria/Victoria"," 89","Oak Bay",25,17,43,124,0,209,377
59035,"Victoria/Victoria"," 90","Oak Bay",28,33,50,135,0,246,421
59035,"Victoria/Victoria"," 91","Oak Bay",Void/Supprimé,,,,,,
59035,"Victoria/Victoria"," 92","Oak Bay",11,5,16,41,0,73,105
59035,"Victoria/Victoria"," 93","Oak Bay",62,15,50,83,1,211,355
