Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Arthur Corbett,Doug Ferguson,Peter Ferguson,Ed Holder,Rod Morley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"London West/London-Ouest"," 1","London",5,62,35,101,0,0,203,426
35044,"London West/London-Ouest"," 1-1A","London",5,43,44,76,0,0,168,326
35044,"London West/London-Ouest"," 1-1B","London",10,40,38,99,1,1,189,331
35044,"London West/London-Ouest"," 1-2","London",6,57,81,97,1,0,242,480
35044,"London West/London-Ouest"," 1-3","London",1,42,35,81,0,2,161,341
35044,"London West/London-Ouest"," 1-4","London",11,73,40,124,0,2,250,455
35044,"London West/London-Ouest"," 1-5A","London",12,63,63,94,0,0,232,400
35044,"London West/London-Ouest"," 1-5B","London",7,100,68,93,1,2,271,446
35044,"London West/London-Ouest"," 2","London",11,91,44,155,0,1,302,544
35044,"London West/London-Ouest"," 2-1","London",7,69,27,211,0,2,316,516
35044,"London West/London-Ouest"," 3","London",13,81,57,140,0,0,291,439
35044,"London West/London-Ouest"," 4","London",5,54,63,83,0,0,205,395
35044,"London West/London-Ouest"," 5","London",8,60,63,103,0,0,234,444
35044,"London West/London-Ouest"," 6","London",7,52,68,95,0,3,225,364
35044,"London West/London-Ouest"," 7","London",5,61,51,99,0,0,216,347
35044,"London West/London-Ouest"," 8","London",8,41,57,95,0,0,201,339
35044,"London West/London-Ouest"," 9","London",10,51,66,108,1,2,238,356
35044,"London West/London-Ouest"," 10","London",7,22,50,59,0,0,138,239
35044,"London West/London-Ouest"," 11","London",5,55,49,80,0,1,190,350
35044,"London West/London-Ouest"," 12","London",10,60,95,100,0,0,265,498
35044,"London West/London-Ouest"," 13","London",8,51,58,82,0,0,199,347
35044,"London West/London-Ouest"," 14","London",10,56,81,100,0,0,247,377
35044,"London West/London-Ouest"," 15","London",5,40,54,93,1,2,195,358
35044,"London West/London-Ouest"," 16","London",12,64,71,94,1,1,243,399
35044,"London West/London-Ouest"," 17","London",7,27,68,45,0,5,152,365
35044,"London West/London-Ouest"," 18","London",10,49,92,92,1,0,244,464
35044,"London West/London-Ouest"," 19","London",6,31,47,60,1,1,146,290
35044,"London West/London-Ouest"," 20","London",11,58,65,92,0,1,227,366
35044,"London West/London-Ouest"," 21A","London",8,40,33,99,0,1,181,333
35044,"London West/London-Ouest"," 21B","London",5,51,42,71,0,1,170,280
35044,"London West/London-Ouest"," 22","London",7,49,93,66,0,1,216,373
35044,"London West/London-Ouest"," 23","London",1,42,56,71,2,1,173,253
35044,"London West/London-Ouest"," 24","London",6,62,65,62,0,0,195,512
35044,"London West/London-Ouest"," 25","London",4,47,39,60,0,0,150,296
35044,"London West/London-Ouest"," 26","London",5,60,65,89,0,3,222,411
35044,"London West/London-Ouest"," 27","London",4,55,53,67,0,2,181,336
35044,"London West/London-Ouest"," 28","London",8,80,73,141,0,0,302,540
35044,"London West/London-Ouest"," 28-1A","London",3,78,44,59,0,2,186,372
35044,"London West/London-Ouest"," 28-1B","London",6,55,51,53,0,0,165,309
35044,"London West/London-Ouest"," 28-2","London",4,43,59,84,0,0,190,386
35044,"London West/London-Ouest"," 28-3","London",5,70,63,100,0,1,239,421
35044,"London West/London-Ouest"," 28-4","London",6,53,74,100,0,0,233,424
35044,"London West/London-Ouest"," 29","London",5,36,63,98,1,3,206,403
35044,"London West/London-Ouest"," 29-1","London",5,50,90,103,0,1,249,470
35044,"London West/London-Ouest"," 30","London",5,41,73,53,0,0,172,372
35044,"London West/London-Ouest"," 30-1","London",1,33,57,68,0,1,160,338
35044,"London West/London-Ouest"," 31","London",3,49,24,107,0,0,183,331
35044,"London West/London-Ouest"," 32","London",6,59,29,158,1,0,253,429
35044,"London West/London-Ouest"," 32-1","London",2,75,19,149,0,0,245,407
35044,"London West/London-Ouest"," 32-2","London",6,58,40,157,0,0,261,494
35044,"London West/London-Ouest"," 32-3","London",3,84,25,250,0,0,362,480
35044,"London West/London-Ouest"," 32-4","London",2,69,37,139,0,0,247,436
35044,"London West/London-Ouest"," 32-5","London",3,32,22,115,0,0,172,299
35044,"London West/London-Ouest"," 33","London",4,90,30,158,0,0,282,455
35044,"London West/London-Ouest"," 34","London",5,67,33,103,1,2,211,298
35044,"London West/London-Ouest"," 35","London",5,64,51,160,0,1,281,503
35044,"London West/London-Ouest"," 36","London",6,37,55,47,0,1,146,261
35044,"London West/London-Ouest"," 37A","London",5,46,49,72,0,0,172,312
35044,"London West/London-Ouest"," 37B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,107
35044,"London West/London-Ouest"," 38","London",6,52,50,94,1,0,203,370
35044,"London West/London-Ouest"," 39","London",5,49,43,83,0,0,180,317
35044,"London West/London-Ouest"," 40","London",4,45,65,117,0,0,231,362
35044,"London West/London-Ouest"," 41","London",5,42,63,119,0,1,230,359
35044,"London West/London-Ouest"," 42","London",9,55,51,87,0,2,204,315
35044,"London West/London-Ouest"," 43","London",4,65,47,83,0,0,199,303
35044,"London West/London-Ouest"," 44","London",6,77,59,150,0,4,296,433
35044,"London West/London-Ouest"," 45","London",10,79,66,135,0,0,290,536
35044,"London West/London-Ouest"," 45-1","London",8,57,35,154,2,0,256,386
35044,"London West/London-Ouest"," 45-2","London",4,22,51,106,0,0,183,294
35044,"London West/London-Ouest"," 45-3","London",8,54,50,122,0,1,235,399
35044,"London West/London-Ouest"," 46","London",11,87,52,150,0,3,303,403
35044,"London West/London-Ouest"," 47","London",2,48,46,109,0,0,205,357
35044,"London West/London-Ouest"," 48","London",7,49,42,122,0,0,220,316
35044,"London West/London-Ouest"," 49","London",4,39,64,99,0,3,209,308
35044,"London West/London-Ouest"," 50","London",3,55,55,89,0,0,202,346
35044,"London West/London-Ouest"," 51","London",5,56,49,115,0,0,225,344
35044,"London West/London-Ouest"," 52","London",7,93,75,192,0,0,367,574
35044,"London West/London-Ouest"," 53","London",13,61,57,153,0,0,284,463
35044,"London West/London-Ouest"," 54","London",6,80,48,154,0,1,289,406
35044,"London West/London-Ouest"," 55","London",5,77,50,141,0,2,275,421
35044,"London West/London-Ouest"," 56","London",4,44,29,52,0,0,129,214
35044,"London West/London-Ouest"," 57","London",9,83,50,122,0,0,264,429
35044,"London West/London-Ouest"," 57-1","London",1,51,28,115,0,0,195,379
35044,"London West/London-Ouest"," 58","London",1,59,18,125,1,1,205,333
35044,"London West/London-Ouest"," 59","London",6,74,34,127,0,0,241,377
35044,"London West/London-Ouest"," 60","London",2,63,35,94,1,0,195,332
35044,"London West/London-Ouest"," 61","London",8,46,59,67,0,1,181,300
35044,"London West/London-Ouest"," 62","London",5,80,37,98,2,1,223,343
35044,"London West/London-Ouest"," 63","London",3,51,38,99,0,2,193,291
35044,"London West/London-Ouest"," 64","London",5,62,52,91,0,1,211,323
35044,"London West/London-Ouest"," 65","London",9,79,51,140,0,0,279,440
35044,"London West/London-Ouest"," 65-1","London",2,86,43,93,1,0,225,379
35044,"London West/London-Ouest"," 66","London",3,59,53,92,0,0,207,342
35044,"London West/London-Ouest"," 66-1","London",4,42,35,64,0,2,147,253
35044,"London West/London-Ouest"," 67","London",8,67,63,154,0,0,292,515
35044,"London West/London-Ouest"," 68","London",10,47,46,105,0,0,208,346
35044,"London West/London-Ouest"," 69","London",5,42,54,84,0,1,186,314
35044,"London West/London-Ouest"," 70","London",10,81,50,127,0,1,269,416
35044,"London West/London-Ouest"," 71","London",0,43,26,55,1,0,125,253
35044,"London West/London-Ouest"," 72","London",5,51,56,61,2,0,175,415
35044,"London West/London-Ouest"," 73","London",9,56,54,133,0,0,252,398
35044,"London West/London-Ouest"," 74","London",6,117,73,184,1,0,381,558
35044,"London West/London-Ouest"," 75","London",7,74,34,206,0,0,321,523
35044,"London West/London-Ouest"," 76","London",4,71,40,155,0,0,270,452
35044,"London West/London-Ouest"," 77","London",15,95,59,121,0,1,291,482
35044,"London West/London-Ouest"," 78","London",5,83,45,120,1,1,255,406
35044,"London West/London-Ouest"," 79","London",8,81,57,95,1,0,242,392
35044,"London West/London-Ouest"," 80","London",12,62,56,104,0,0,234,374
35044,"London West/London-Ouest"," 81","London",1,56,26,81,0,1,165,269
35044,"London West/London-Ouest"," 82","London",5,95,69,146,1,0,316,447
35044,"London West/London-Ouest"," 83","London",6,75,44,136,0,0,261,441
35044,"London West/London-Ouest"," 84","London",9,91,21,102,0,0,223,382
35044,"London West/London-Ouest"," 85","London",5,33,54,54,0,1,147,362
35044,"London West/London-Ouest"," 86","London",4,47,67,36,1,1,156,377
35044,"London West/London-Ouest"," 87","London",4,52,42,97,1,1,197,261
35044,"London West/London-Ouest"," 88","London",9,47,86,51,0,3,196,372
35044,"London West/London-Ouest"," 89","London",4,38,61,43,2,1,149,323
35044,"London West/London-Ouest"," 90","London",7,33,45,49,0,0,134,234
35044,"London West/London-Ouest"," 91","London",9,40,54,46,1,2,152,279
35044,"London West/London-Ouest"," 92","London",10,42,44,41,0,2,139,256
35044,"London West/London-Ouest"," 93","London",9,24,50,42,1,1,127,259
35044,"London West/London-Ouest"," 94","London",6,70,84,70,0,2,232,400
35044,"London West/London-Ouest"," 95","London",3,82,61,131,0,0,277,469
35044,"London West/London-Ouest"," 96","London",7,59,92,153,1,0,312,495
35044,"London West/London-Ouest"," 97","London",13,44,74,73,1,2,207,336
35044,"London West/London-Ouest"," 98","London",5,37,85,44,0,2,173,302
35044,"London West/London-Ouest"," 99","London",7,29,74,76,0,0,186,371
35044,"London West/London-Ouest"," 100","London",8,49,69,98,2,0,226,396
35044,"London West/London-Ouest"," 101","London",0,43,56,96,0,1,196,281
35044,"London West/London-Ouest"," 102","London",10,29,94,55,0,0,188,352
35044,"London West/London-Ouest"," 103","London",7,53,81,93,0,0,234,366
35044,"London West/London-Ouest"," 104","London",5,26,42,54,0,0,127,267
35044,"London West/London-Ouest"," 105","London",11,53,78,93,0,0,235,426
35044,"London West/London-Ouest"," 106","London",3,13,41,33,0,0,90,272
35044,"London West/London-Ouest"," 107","London",3,45,93,106,0,5,252,408
35044,"London West/London-Ouest"," 108","London",5,17,51,82,0,4,159,432
35044,"London West/London-Ouest"," 109","London",12,43,66,37,0,1,159,267
35044,"London West/London-Ouest"," 110","London",9,36,55,26,0,1,127,278
35044,"London West/London-Ouest"," 111","London",6,66,98,49,0,1,220,393
35044,"London West/London-Ouest"," 112","London",6,66,70,68,0,0,210,348
35044,"London West/London-Ouest"," 113","London",9,29,73,43,0,2,156,282
35044,"London West/London-Ouest"," 114","London",18,76,79,58,1,2,234,402
35044,"London West/London-Ouest"," 115","London",5,67,72,60,0,2,206,352
35044,"London West/London-Ouest"," 116","London",12,70,75,49,0,1,207,374
35044,"London West/London-Ouest"," 117","London",4,21,53,35,0,0,113,202
35044,"London West/London-Ouest"," 118","London",12,23,77,66,0,3,181,363
35044,"London West/London-Ouest"," 119","London",1,9,66,61,1,3,141,321
35044,"London West/London-Ouest"," 120","London",4,46,70,47,0,3,170,354
35044,"London West/London-Ouest"," 121","London",11,66,84,62,0,1,224,354
35044,"London West/London-Ouest"," 122","London",11,101,84,76,0,2,274,455
