Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Denise Ghanam,Irek Kusmierczyk,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Windsor",2,63,34,10,8,2,119,334
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Windsor",1,52,17,6,4,0,80,286
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Windsor",0,59,32,15,11,0,117,236
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Windsor",0,47,17,9,4,0,77,223
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Windsor",1,60,23,12,2,1,99,337
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Windsor",1,53,17,8,2,2,83,268
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Windsor",0,104,32,13,3,0,152,419
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Windsor",0,78,30,17,1,1,127,275
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Windsor",0,60,42,23,6,3,134,335
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Windsor",0,77,23,4,0,1,105,314
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Windsor",0,49,44,22,8,0,123,297
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Windsor",2,85,47,26,11,0,171,337
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Windsor",0,64,26,14,1,3,108,298
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 14","Windsor",3,88,41,22,8,2,164,511
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Windsor",0,74,34,23,4,1,136,499
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Windsor",Void/Supprimé,,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",1,96,40,23,11,0,171,363
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",0,90,82,28,6,0,206,403
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Windsor",1,54,45,18,2,2,122,312
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Windsor",2,102,48,35,11,0,198,434
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Windsor",1,64,33,32,3,1,134,290
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Windsor",2,95,41,11,2,0,151,329
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Windsor",1,43,32,5,1,0,82,222
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Windsor",0,84,48,13,8,0,153,367
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",1,82,55,6,5,0,149,276
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",1,75,22,9,4,0,111,279
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",1,57,15,1,1,0,75,231
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 28","Windsor",0,84,37,10,6,2,139,419
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 29","Windsor",0,41,54,17,3,0,115,375
