Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Caranci,Jim Chahbar,Irene Mathyssen,Matthew Peloza,G.J. Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"London--Fanshawe/London--Fanshawe"," 1A","London",30,84,97,12,2,2,227,427
35042,"London--Fanshawe/London--Fanshawe"," 1B","London",30,94,85,10,5,0,224,429
35042,"London--Fanshawe/London--Fanshawe"," 2","London",10,106,112,4,5,2,239,467
35042,"London--Fanshawe/London--Fanshawe"," 3","London",14,50,96,7,1,4,172,357
35042,"London--Fanshawe/London--Fanshawe"," 4","London",21,64,123,9,0,0,217,360
35042,"London--Fanshawe/London--Fanshawe"," 5","London",28,77,135,4,6,4,254,543
35042,"London--Fanshawe/London--Fanshawe"," 6","London",19,63,112,4,3,2,203,417
35042,"London--Fanshawe/London--Fanshawe"," 7","London",24,67,133,10,0,4,238,460
35042,"London--Fanshawe/London--Fanshawe"," 8","London",22,54,43,1,5,2,127,295
35042,"London--Fanshawe/London--Fanshawe"," 9","London",44,85,132,8,6,0,275,608
35042,"London--Fanshawe/London--Fanshawe"," 10","London",19,53,89,2,3,0,166,364
35042,"London--Fanshawe/London--Fanshawe"," 11","London",18,54,76,4,1,0,153,442
35042,"London--Fanshawe/London--Fanshawe"," 12","London",22,56,79,3,2,0,162,313
35042,"London--Fanshawe/London--Fanshawe"," 13","London",15,57,65,4,0,0,141,262
35042,"London--Fanshawe/London--Fanshawe"," 14","London",7,34,96,4,0,1,142,341
35042,"London--Fanshawe/London--Fanshawe"," 15","London",23,60,88,1,3,0,175,328
35042,"London--Fanshawe/London--Fanshawe"," 16","London",18,45,71,6,3,1,144,319
35042,"London--Fanshawe/London--Fanshawe"," 17","London",14,56,65,1,0,0,136,287
35042,"London--Fanshawe/London--Fanshawe"," 18","London",23,49,98,8,0,0,178,364
35042,"London--Fanshawe/London--Fanshawe"," 19","London",14,67,91,4,6,1,183,335
35042,"London--Fanshawe/London--Fanshawe"," 20","London",10,63,96,6,1,0,176,345
35042,"London--Fanshawe/London--Fanshawe"," 21","London",13,40,103,2,0,2,160,355
35042,"London--Fanshawe/London--Fanshawe"," 22","London",10,40,107,8,4,0,169,391
35042,"London--Fanshawe/London--Fanshawe"," 23","London",8,41,66,1,3,0,119,250
35042,"London--Fanshawe/London--Fanshawe"," 24","London",7,33,89,5,0,0,134,300
35042,"London--Fanshawe/London--Fanshawe"," 25","London",12,50,97,4,1,0,164,400
35042,"London--Fanshawe/London--Fanshawe"," 26","London",6,51,103,8,0,1,169,377
35042,"London--Fanshawe/London--Fanshawe"," 27","London",18,74,154,7,5,2,260,449
35042,"London--Fanshawe/London--Fanshawe"," 28","London",11,32,105,8,0,1,157,492
35042,"London--Fanshawe/London--Fanshawe"," 29","London",8,13,22,2,0,2,47,250
35042,"London--Fanshawe/London--Fanshawe"," 30","London",Void/Supprimé,,,,,,,
35042,"London--Fanshawe/London--Fanshawe"," 31","London",20,41,128,4,5,3,201,336
35042,"London--Fanshawe/London--Fanshawe"," 32","London",18,67,115,9,1,0,210,389
35042,"London--Fanshawe/London--Fanshawe"," 33","London",19,50,124,4,0,0,197,393
35042,"London--Fanshawe/London--Fanshawe"," 34","London",8,18,77,1,1,0,105,323
35042,"London--Fanshawe/London--Fanshawe"," 35","London",13,63,100,1,0,2,179,326
35042,"London--Fanshawe/London--Fanshawe"," 36","London",16,50,114,7,0,2,189,338
35042,"London--Fanshawe/London--Fanshawe"," 37","London",20,53,116,6,2,1,198,311
35042,"London--Fanshawe/London--Fanshawe"," 38","London",25,27,94,3,4,1,154,338
35042,"London--Fanshawe/London--Fanshawe"," 39","London",16,55,99,5,4,0,179,367
35042,"London--Fanshawe/London--Fanshawe"," 40","London",9,45,84,4,4,3,149,321
35042,"London--Fanshawe/London--Fanshawe"," 41","London",19,65,142,9,1,2,238,413
35042,"London--Fanshawe/London--Fanshawe"," 42","London",11,43,67,2,2,0,125,274
35042,"London--Fanshawe/London--Fanshawe"," 43","London",17,77,125,9,1,2,231,422
35042,"London--Fanshawe/London--Fanshawe"," 44","London",18,57,97,8,0,2,182,386
35042,"London--Fanshawe/London--Fanshawe"," 45","London",28,47,98,4,1,2,180,409
35042,"London--Fanshawe/London--Fanshawe"," 46","London",10,44,111,3,2,1,171,344
35042,"London--Fanshawe/London--Fanshawe"," 47","London",23,59,101,1,1,2,187,378
35042,"London--Fanshawe/London--Fanshawe"," 48","London",11,31,80,5,1,2,130,393
35042,"London--Fanshawe/London--Fanshawe"," 49","London",22,79,141,1,1,0,244,565
35042,"London--Fanshawe/London--Fanshawe"," 50","London",25,83,103,3,3,1,218,451
35042,"London--Fanshawe/London--Fanshawe"," 51","London",19,59,119,4,0,1,202,393
35042,"London--Fanshawe/London--Fanshawe"," 52","London",11,85,113,2,1,0,212,422
35042,"London--Fanshawe/London--Fanshawe"," 53","London",12,63,139,4,0,2,220,415
35042,"London--Fanshawe/London--Fanshawe"," 54","London",17,68,141,3,1,0,230,457
35042,"London--Fanshawe/London--Fanshawe"," 55","London",15,91,167,8,3,1,285,559
35042,"London--Fanshawe/London--Fanshawe"," 56","London",14,79,128,9,5,2,237,547
35042,"London--Fanshawe/London--Fanshawe"," 57","London",16,40,59,4,1,1,121,243
35042,"London--Fanshawe/London--Fanshawe"," 58","London",6,82,88,5,6,2,189,346
35042,"London--Fanshawe/London--Fanshawe"," 59","London",34,55,71,7,4,1,172,366
35042,"London--Fanshawe/London--Fanshawe"," 60","London",16,46,103,5,2,0,172,416
35042,"London--Fanshawe/London--Fanshawe"," 61","London",12,45,99,4,0,0,160,347
35042,"London--Fanshawe/London--Fanshawe"," 62","London",15,50,118,1,2,0,186,391
35042,"London--Fanshawe/London--Fanshawe"," 63","London",23,53,92,6,0,1,175,351
35042,"London--Fanshawe/London--Fanshawe"," 64","London",Void/Supprimé,,,,,,,
35042,"London--Fanshawe/London--Fanshawe"," 65","London",19,78,172,8,4,5,286,711
