Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Brown,Myrna Clark,Erich Jacoby-Hawkins,Christine Nugent,Darren Roskam,Jeff Sakula,Colin Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie/Barrie"," 1","Barrie",150,35,9,1,2,0,19,0,216,405
35004,"Barrie/Barrie"," 2","Barrie",101,44,6,0,1,1,20,0,173,305
35004,"Barrie/Barrie"," 3","Barrie",129,36,11,0,1,0,29,0,206,413
35004,"Barrie/Barrie"," 4","Barrie",87,61,9,0,3,1,15,1,177,389
35004,"Barrie/Barrie"," 5","Barrie",110,26,12,1,0,0,34,0,183,402
35004,"Barrie/Barrie"," 6","Barrie",146,58,13,0,1,1,38,0,257,456
35004,"Barrie/Barrie"," 7","Barrie",81,27,7,1,0,0,17,0,133,313
35004,"Barrie/Barrie"," 8","Barrie",118,38,7,0,1,0,25,1,190,382
35004,"Barrie/Barrie"," 9","Barrie",99,50,18,0,1,0,26,1,195,373
35004,"Barrie/Barrie"," 10","Barrie",41,20,2,0,0,0,16,0,79,280
35004,"Barrie/Barrie"," 11","Barrie",83,59,11,0,0,0,18,0,171,290
35004,"Barrie/Barrie"," 12","Barrie",78,25,5,0,1,0,17,1,127,300
35004,"Barrie/Barrie"," 13","Barrie",106,49,14,0,0,0,58,2,229,432
35004,"Barrie/Barrie"," 14","Barrie",76,24,8,1,1,0,25,1,136,304
35004,"Barrie/Barrie"," 15","Barrie",85,37,15,0,0,0,31,1,169,321
35004,"Barrie/Barrie"," 16","Barrie",101,44,17,0,1,0,19,0,182,420
35004,"Barrie/Barrie"," 16-1","Barrie",Void/Supprimé,,,,,,,,,
35004,"Barrie/Barrie"," 17","Barrie",114,35,11,0,0,0,22,0,182,364
35004,"Barrie/Barrie"," 18","Barrie",114,45,12,0,2,0,32,2,207,405
35004,"Barrie/Barrie"," 19","Barrie",85,43,12,0,1,0,18,1,160,396
35004,"Barrie/Barrie"," 20","Barrie",85,59,8,0,1,0,11,1,165,395
35004,"Barrie/Barrie"," 21","Barrie",79,33,6,0,0,0,15,0,133,356
35004,"Barrie/Barrie"," 22","Barrie",116,15,9,0,0,0,35,0,175,341
35004,"Barrie/Barrie"," 23","Barrie",73,41,5,1,0,0,14,0,134,452
35004,"Barrie/Barrie"," 24","Barrie",136,28,12,1,1,0,29,0,207,393
35004,"Barrie/Barrie"," 24-1","Barrie",84,26,6,0,1,0,19,0,136,323
35004,"Barrie/Barrie"," 25","Barrie",119,34,6,2,1,0,36,0,198,409
35004,"Barrie/Barrie"," 26","Barrie",109,55,10,0,1,0,21,0,196,458
35004,"Barrie/Barrie"," 27","Barrie",127,47,6,0,0,0,22,1,203,435
35004,"Barrie/Barrie"," 27-1","Barrie",71,33,5,0,0,0,14,1,124,273
35004,"Barrie/Barrie"," 27-2","Barrie",63,37,2,0,2,0,13,0,117,280
35004,"Barrie/Barrie"," 28","Barrie",115,61,11,0,0,0,29,0,216,517
35004,"Barrie/Barrie"," 28-1A","Barrie",55,15,2,0,0,0,8,0,80,244
35004,"Barrie/Barrie"," 28-1B","Barrie",90,33,11,0,0,1,16,1,152,331
35004,"Barrie/Barrie"," 29","Barrie",124,37,15,0,1,0,43,0,220,480
35004,"Barrie/Barrie"," 30","Barrie",97,49,23,1,1,0,22,0,193,384
35004,"Barrie/Barrie"," 31","Barrie",78,42,8,0,2,0,15,0,145,343
35004,"Barrie/Barrie"," 32","Barrie",67,35,11,0,0,0,22,0,135,366
35004,"Barrie/Barrie"," 33","Barrie",97,46,11,0,1,0,37,0,192,420
35004,"Barrie/Barrie"," 34","Barrie",65,29,9,0,0,2,57,0,162,287
35004,"Barrie/Barrie"," 35","Barrie",102,37,16,0,1,0,25,0,181,470
35004,"Barrie/Barrie"," 36","Barrie",88,39,17,0,2,0,34,0,180,419
35004,"Barrie/Barrie"," 37","Barrie",95,46,15,2,1,0,37,1,197,451
35004,"Barrie/Barrie"," 38","Barrie",91,30,9,1,0,0,22,0,153,379
35004,"Barrie/Barrie"," 39","Barrie",105,43,14,0,0,0,45,1,208,439
35004,"Barrie/Barrie"," 40","Barrie",31,26,4,0,0,0,4,2,67,288
35004,"Barrie/Barrie"," 41","Barrie",38,43,4,0,0,0,12,0,97,253
35004,"Barrie/Barrie"," 42","Barrie",73,39,13,0,0,0,46,0,171,294
35004,"Barrie/Barrie"," 43","Barrie",52,22,3,0,2,0,12,1,92,240
35004,"Barrie/Barrie"," 44","Barrie",60,34,5,0,0,0,10,0,109,268
35004,"Barrie/Barrie"," 45","Barrie",44,33,8,0,0,0,15,0,100,254
35004,"Barrie/Barrie"," 46","Barrie",63,32,14,0,0,1,19,0,129,313
35004,"Barrie/Barrie"," 47","Barrie",31,31,10,1,0,0,24,1,98,234
35004,"Barrie/Barrie"," 48","Barrie",48,43,6,1,1,1,6,0,106,293
35004,"Barrie/Barrie"," 49","Barrie",63,33,15,0,0,0,20,0,131,361
35004,"Barrie/Barrie"," 50","Barrie",35,39,3,0,0,0,10,1,88,236
35004,"Barrie/Barrie"," 51","Barrie",35,23,10,0,0,0,11,0,79,227
35004,"Barrie/Barrie"," 52A","Barrie",108,47,5,0,1,0,41,0,202,477
35004,"Barrie/Barrie"," 52B","Barrie",103,46,12,0,0,0,37,1,199,463
35004,"Barrie/Barrie"," 53","Barrie",36,35,8,0,0,0,18,0,97,308
35004,"Barrie/Barrie"," 54","Barrie",Void/Supprimé,,,,,,,,,
35004,"Barrie/Barrie"," 55","Barrie",46,40,6,0,0,0,17,0,109,328
35004,"Barrie/Barrie"," 56","Barrie",Void/Supprimé,,,,,,,,,
35004,"Barrie/Barrie"," 57","Barrie",143,52,12,0,0,0,41,0,248,352
35004,"Barrie/Barrie"," 58","Barrie",Void/Supprimé,,,,,,,,,
35004,"Barrie/Barrie"," 59","Barrie",127,51,5,0,1,0,39,0,223,448
35004,"Barrie/Barrie"," 60","Barrie",128,50,10,0,1,0,27,1,217,429
35004,"Barrie/Barrie"," 60-1","Barrie",128,56,11,1,0,0,31,1,228,543
35004,"Barrie/Barrie"," 61","Barrie",126,59,16,2,0,0,24,0,227,496
35004,"Barrie/Barrie"," 62","Barrie",96,42,9,1,0,0,32,0,180,365
35004,"Barrie/Barrie"," 62-1","Barrie",104,34,4,0,0,0,25,1,168,346
35004,"Barrie/Barrie"," 63","Barrie",142,56,16,0,0,0,34,2,250,475
35004,"Barrie/Barrie"," 64","Barrie",106,57,13,1,0,1,20,0,198,443
35004,"Barrie/Barrie"," 65","Barrie",89,41,9,0,0,0,22,0,161,329
35004,"Barrie/Barrie"," 66","Barrie",114,43,13,0,0,0,34,1,205,454
