Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Boughen,Russ Collicott,Noah Patrick Evanchuk,Larissa Shasko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Palliser/Palliser"," 1","Caron",184,3,49,1,0,237,338
47005,"Palliser/Palliser"," 2","Caronport",152,1,18,5,0,176,268
47005,"Palliser/Palliser"," 3","Caronport",184,5,28,3,0,220,488
47005,"Palliser/Palliser"," 4","Mount Pleasant",84,6,21,4,0,115,174
47005,"Palliser/Palliser"," 5","Boharm",122,4,32,3,0,161,292
47005,"Palliser/Palliser"," 6","Bushell Park",48,2,26,1,0,77,145
47005,"Palliser/Palliser"," 7","Baildon",134,3,48,5,0,190,312
47005,"Palliser/Palliser"," 8","Moose Jaw",245,8,128,7,0,388,615
47005,"Palliser/Palliser"," 9","Moose Jaw",184,5,79,7,0,275,471
47005,"Palliser/Palliser"," 10","Moose Jaw",339,17,150,6,2,514,779
47005,"Palliser/Palliser"," 11","Moose Jaw",147,4,71,8,0,230,362
47005,"Palliser/Palliser"," 12","Moose Jaw",284,16,136,6,1,443,694
47005,"Palliser/Palliser"," 13","Moose Jaw",170,8,126,10,0,314,605
47005,"Palliser/Palliser"," 14","Moose Jaw",110,8,120,5,1,244,393
47005,"Palliser/Palliser"," 15","Moose Jaw",104,6,86,8,0,204,416
47005,"Palliser/Palliser"," 16","Moose Jaw",158,6,68,5,1,238,422
47005,"Palliser/Palliser"," 17","Moose Jaw",100,15,68,8,0,191,350
47005,"Palliser/Palliser"," 18","Moose Jaw",151,14,121,10,0,296,611
47005,"Palliser/Palliser"," 19","Moose Jaw",113,5,71,3,0,192,340
47005,"Palliser/Palliser"," 20","Moose Jaw",91,5,83,5,0,184,315
47005,"Palliser/Palliser"," 21","Moose Jaw",82,5,95,4,0,186,290
47005,"Palliser/Palliser"," 22","Moose Jaw",103,6,88,7,0,204,366
47005,"Palliser/Palliser"," 23","Moose Jaw",67,6,61,5,1,140,274
47005,"Palliser/Palliser"," 24","Moose Jaw",123,6,114,11,0,254,409
47005,"Palliser/Palliser"," 25","Moose Jaw",127,2,119,10,2,260,451
47005,"Palliser/Palliser"," 26","Moose Jaw",Void/Supprimé,,,,,,
47005,"Palliser/Palliser"," 27","Moose Jaw",78,2,77,2,0,159,353
47005,"Palliser/Palliser"," 28","Moose Jaw",57,3,94,6,0,160,285
47005,"Palliser/Palliser"," 29","Moose Jaw",125,7,96,8,0,236,436
47005,"Palliser/Palliser"," 30","Moose Jaw",75,4,83,3,1,166,305
47005,"Palliser/Palliser"," 31","Moose Jaw",66,2,91,6,0,165,313
47005,"Palliser/Palliser"," 32","Moose Jaw",91,5,89,6,1,192,344
47005,"Palliser/Palliser"," 33","Moose Jaw",90,5,112,11,1,219,417
47005,"Palliser/Palliser"," 34","Moose Jaw",108,10,99,7,0,224,385
47005,"Palliser/Palliser"," 35","Moose Jaw",75,5,73,4,0,157,333
47005,"Palliser/Palliser"," 36","Moose Jaw",70,5,81,5,0,161,253
47005,"Palliser/Palliser"," 37","Moose Jaw",79,3,77,6,0,165,298
47005,"Palliser/Palliser"," 38","Moose Jaw",45,2,87,3,1,138,301
47005,"Palliser/Palliser"," 39","Moose Jaw",75,4,77,10,0,166,329
47005,"Palliser/Palliser"," 40","Moose Jaw",87,4,64,8,1,164,366
47005,"Palliser/Palliser"," 41","Moose Jaw",72,1,64,5,0,142,312
47005,"Palliser/Palliser"," 42","Moose Jaw",39,4,48,8,1,100,280
47005,"Palliser/Palliser"," 43","Moose Jaw",70,7,69,3,1,150,248
47005,"Palliser/Palliser"," 44","Moose Jaw",103,10,91,5,1,210,364
47005,"Palliser/Palliser"," 45","Moose Jaw",113,11,102,7,4,237,353
47005,"Palliser/Palliser"," 46","Moose Jaw",68,2,58,5,0,133,306
47005,"Palliser/Palliser"," 47","Moose Jaw",90,7,69,4,0,170,274
47005,"Palliser/Palliser"," 48","Moose Jaw",40,2,75,11,0,128,307
47005,"Palliser/Palliser"," 49","Moose Jaw",51,0,78,1,1,131,302
47005,"Palliser/Palliser"," 50","Moose Jaw",75,7,80,1,1,164,336
47005,"Palliser/Palliser"," 51","Moose Jaw",105,2,97,3,0,207,370
47005,"Palliser/Palliser"," 52","Moose Jaw",98,5,72,1,0,176,351
47005,"Palliser/Palliser"," 53","Moose Jaw",70,1,58,8,1,138,249
47005,"Palliser/Palliser"," 54","Moose Jaw",52,2,69,5,0,128,298
47005,"Palliser/Palliser"," 55","Moose Jaw",164,5,135,10,0,314,562
47005,"Palliser/Palliser"," 56","Moose Jaw",93,4,75,6,0,178,316
47005,"Palliser/Palliser"," 57","Moose Jaw",95,6,109,4,1,215,378
47005,"Palliser/Palliser"," 58","Moose Jaw",104,6,102,7,2,221,394
47005,"Palliser/Palliser"," 59","Moose Jaw",66,6,60,6,0,138,285
47005,"Palliser/Palliser"," 60","Moose Jaw",79,3,82,6,0,170,321
47005,"Palliser/Palliser"," 61","Moose Jaw",54,5,48,3,0,110,305
47005,"Palliser/Palliser"," 62","Moose Jaw",74,1,78,6,1,160,323
47005,"Palliser/Palliser"," 63","Moose Jaw",94,3,99,11,0,207,335
