Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicole Charbonneau Barron,Germain Denoncourt,Carole Lavallée,Michel Picard,Djaouida Sellah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 1","Saint-Bruno-de-Montarville",24,7,53,49,139,0,272,405
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 1-1","Saint-Bruno-de-Montarville",18,6,45,26,97,0,192,288
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 2","Saint-Bruno-de-Montarville",19,5,52,30,92,2,200,312
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 2-1","Saint-Bruno-de-Montarville",28,3,42,45,80,1,199,302
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 3","Saint-Bruno-de-Montarville",16,5,42,17,79,0,159,263
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 4","Saint-Bruno-de-Montarville",32,9,33,32,76,2,184,271
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 4-1","Saint-Bruno-de-Montarville",14,4,38,27,100,0,183,291
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 5","Saint-Bruno-de-Montarville",25,6,26,29,74,0,160,271
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 5-1","Saint-Bruno-de-Montarville",20,9,24,33,96,2,184,283
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 6","Saint-Bruno-de-Montarville",11,6,56,17,103,2,195,340
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 7","Saint-Bruno-de-Montarville",34,6,53,38,99,1,231,374
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 8","Saint-Bruno-de-Montarville",22,8,47,41,91,1,210,408
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 9","Saint-Bruno-de-Montarville",18,0,49,28,78,7,180,288
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 10","Saint-Bruno-de-Montarville",19,5,38,16,60,4,142,239
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 10-1","Saint-Bruno-de-Montarville",16,23,56,50,92,1,238,363
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 10-2","Saint-Bruno-de-Montarville",Merged with No. 400/Fusionné avec le nº 400,,,,,,,81
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 11","Saint-Bruno-de-Montarville",18,9,77,29,117,6,256,349
