Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kassandra Bidarian,Lois Brown,Vanessa Long,Yvonne Mackie,Kyle Peterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1","Newmarket",13,42,98,0,1,76,2,232,481
35053,"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",3,26,65,5,0,32,1,132,228
35053,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",10,44,98,5,0,54,1,212,382
35053,"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",1,42,74,3,0,31,0,151,291
35053,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",5,51,115,11,0,38,1,221,436
35053,"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",1,28,51,4,0,38,1,123,320
35053,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",2,45,78,3,0,33,0,161,322
35053,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",6,41,85,2,0,30,1,165,418
35053,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",2,30,92,4,2,37,1,168,312
35053,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",6,43,94,6,0,42,0,191,430
35053,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",10,57,159,3,1,80,1,311,563
35053,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",2,47,121,8,1,58,0,237,469
35053,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",3,28,151,10,1,63,2,258,450
35053,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",0,35,149,10,1,71,0,266,473
35053,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",4,35,161,7,0,53,1,261,526
35053,"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",5,31,148,3,0,61,0,248,438
35053,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",8,45,122,9,2,40,1,227,459
35053,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",10,49,121,9,0,58,0,247,452
35053,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",1,43,149,15,3,69,3,283,492
35053,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",1,48,143,10,0,68,0,270,451
35053,"Newmarket--Aurora/Newmarket--Aurora"," 21","Newmarket",5,49,160,4,2,80,2,302,454
35053,"Newmarket--Aurora/Newmarket--Aurora"," 22","Newmarket",6,35,160,7,1,66,1,276,426
35053,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",3,42,160,7,1,60,1,274,476
35053,"Newmarket--Aurora/Newmarket--Aurora"," 24","Newmarket",7,52,152,18,0,58,0,287,453
35053,"Newmarket--Aurora/Newmarket--Aurora"," 25","Newmarket",5,16,83,11,2,32,1,150,277
35053,"Newmarket--Aurora/Newmarket--Aurora"," 26","Newmarket",2,47,106,8,0,48,0,211,349
35053,"Newmarket--Aurora/Newmarket--Aurora"," 27","Newmarket",5,49,110,13,1,39,1,218,423
35053,"Newmarket--Aurora/Newmarket--Aurora"," 28","Newmarket",3,41,154,16,2,59,3,278,417
