Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Carrier,Rosane Doré Lefebvre,Angelo G. Iacono,Pierre Lefebvre,Régent Millette,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Alfred-Pellan/Alfred-Pellan"," 1","Laval",83,148,45,43,2,8,10,339,608
24003,"Alfred-Pellan/Alfred-Pellan"," 2","Laval",39,70,15,23,0,2,0,149,255
24003,"Alfred-Pellan/Alfred-Pellan"," 3","Laval",53,70,14,10,2,0,4,153,286
24003,"Alfred-Pellan/Alfred-Pellan"," 4","Laval",34,65,28,15,1,3,3,149,281
24003,"Alfred-Pellan/Alfred-Pellan"," 5","Laval",85,118,26,17,2,3,3,254,406
24003,"Alfred-Pellan/Alfred-Pellan"," 6","Laval",42,77,4,13,1,1,4,142,257
24003,"Alfred-Pellan/Alfred-Pellan"," 7","Laval",66,147,19,18,2,2,3,257,415
24003,"Alfred-Pellan/Alfred-Pellan"," 8","Laval",74,131,17,12,0,3,3,240,365
24003,"Alfred-Pellan/Alfred-Pellan"," 9","Laval",57,96,21,12,0,1,5,192,350
24003,"Alfred-Pellan/Alfred-Pellan"," 10","Laval",127,220,35,34,1,2,2,421,705
24003,"Alfred-Pellan/Alfred-Pellan"," 11","Laval",64,99,22,13,2,7,2,209,313
24003,"Alfred-Pellan/Alfred-Pellan"," 12","Laval",36,68,7,8,1,3,2,125,295
24003,"Alfred-Pellan/Alfred-Pellan"," 13","Laval",24,64,19,19,0,3,2,131,245
24003,"Alfred-Pellan/Alfred-Pellan"," 13-1","Laval",40,68,14,6,0,5,1,134,360
24003,"Alfred-Pellan/Alfred-Pellan"," 14","Laval",52,97,22,10,1,5,2,189,339
24003,"Alfred-Pellan/Alfred-Pellan"," 15","Laval",68,118,26,8,0,2,5,227,375
24003,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",33,72,18,12,0,2,4,141,223
24003,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",38,79,20,11,0,2,7,157,298
24003,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",48,91,37,27,2,1,1,207,254
24003,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",54,84,21,25,1,7,0,192,303
24003,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",78,166,49,35,8,2,2,340,487
24003,"Alfred-Pellan/Alfred-Pellan"," 21","Laval",47,75,21,10,2,6,0,161,304
24003,"Alfred-Pellan/Alfred-Pellan"," 22","Laval",52,82,11,25,1,4,1,176,282
24003,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",72,118,18,24,0,5,2,239,447
24003,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",56,119,38,24,0,3,0,240,396
24003,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",46,94,65,21,2,2,0,230,357
24003,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",55,88,38,18,2,5,2,208,408
24003,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",26,50,13,14,0,0,0,103,248
24003,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",76,134,21,22,2,6,8,269,451
24003,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",57,104,15,17,0,5,8,206,409
24003,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",91,161,42,29,2,4,6,335,580
24003,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",73,125,44,24,2,3,4,275,508
24003,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",49,65,24,12,2,2,2,156,282
24003,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",37,82,23,19,0,2,5,168,341
24003,"Alfred-Pellan/Alfred-Pellan"," 34","Laval",51,107,47,22,3,5,4,239,503
24003,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",69,119,60,25,2,2,8,285,556
24003,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",55,106,63,24,1,5,5,259,503
24003,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",54,112,41,14,0,1,3,225,416
24003,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",70,116,41,18,2,9,4,260,511
24003,"Alfred-Pellan/Alfred-Pellan"," 39","Laval",37,85,38,18,1,2,4,185,369
24003,"Alfred-Pellan/Alfred-Pellan"," 39-1","Laval",27,90,27,15,2,5,3,169,365
24003,"Alfred-Pellan/Alfred-Pellan"," 40","Laval",23,106,68,24,1,4,7,233,449
24003,"Alfred-Pellan/Alfred-Pellan"," 40-1","Laval",38,110,31,17,1,2,5,204,316
24003,"Alfred-Pellan/Alfred-Pellan"," 40-2","Laval",20,55,42,13,0,5,0,135,270
24003,"Alfred-Pellan/Alfred-Pellan"," 40-3","Laval",44,106,58,8,0,5,2,223,488
24003,"Alfred-Pellan/Alfred-Pellan"," 41","Laval",79,116,68,33,1,7,8,312,510
24003,"Alfred-Pellan/Alfred-Pellan"," 42","Laval",36,150,114,54,1,1,5,361,656
24003,"Alfred-Pellan/Alfred-Pellan"," 42-1","Laval",25,85,30,26,0,3,4,173,336
24003,"Alfred-Pellan/Alfred-Pellan"," 43","Laval",28,119,34,16,0,6,1,204,346
24003,"Alfred-Pellan/Alfred-Pellan"," 44","Laval",70,101,37,21,0,4,9,242,449
24003,"Alfred-Pellan/Alfred-Pellan"," 45","Laval",48,93,26,7,2,4,4,184,363
24003,"Alfred-Pellan/Alfred-Pellan"," 46","Laval",67,120,25,11,3,4,4,234,463
24003,"Alfred-Pellan/Alfred-Pellan"," 47","Laval",30,95,19,9,1,2,1,157,293
24003,"Alfred-Pellan/Alfred-Pellan"," 48","Laval",34,68,25,17,0,2,2,148,299
24003,"Alfred-Pellan/Alfred-Pellan"," 49","Laval",70,99,45,11,6,1,8,240,495
24003,"Alfred-Pellan/Alfred-Pellan"," 50","Laval",77,87,20,10,1,1,4,200,392
24003,"Alfred-Pellan/Alfred-Pellan"," 51","Laval",53,98,43,29,4,4,5,236,445
24003,"Alfred-Pellan/Alfred-Pellan"," 52","Laval",55,111,28,19,2,5,6,226,437
24003,"Alfred-Pellan/Alfred-Pellan"," 53","Laval",58,99,31,20,1,4,3,216,377
24003,"Alfred-Pellan/Alfred-Pellan"," 54","Laval",80,110,32,18,4,1,4,249,415
24003,"Alfred-Pellan/Alfred-Pellan"," 55","Laval",48,115,36,15,1,3,3,221,440
24003,"Alfred-Pellan/Alfred-Pellan"," 56","Laval",49,108,37,15,1,0,3,213,346
24003,"Alfred-Pellan/Alfred-Pellan"," 57","Laval",80,124,47,32,2,5,2,292,430
24003,"Alfred-Pellan/Alfred-Pellan"," 58","Laval",65,145,60,31,1,5,2,309,488
24003,"Alfred-Pellan/Alfred-Pellan"," 59","Laval",21,104,121,68,3,2,2,321,581
24003,"Alfred-Pellan/Alfred-Pellan"," 59-1","Laval",53,129,81,20,0,5,0,288,477
24003,"Alfred-Pellan/Alfred-Pellan"," 60","Laval",16,76,104,47,0,1,0,244,352
24003,"Alfred-Pellan/Alfred-Pellan"," 60-1","Laval",40,67,91,37,0,2,1,238,446
24003,"Alfred-Pellan/Alfred-Pellan"," 61","Laval",11,77,127,31,0,4,0,250,402
24003,"Alfred-Pellan/Alfred-Pellan"," 62","Laval",39,110,123,40,0,7,2,321,518
24003,"Alfred-Pellan/Alfred-Pellan"," 63","Laval",32,109,112,28,2,2,3,288,487
24003,"Alfred-Pellan/Alfred-Pellan"," 64","Laval",44,138,24,29,0,2,9,246,444
24003,"Alfred-Pellan/Alfred-Pellan"," 64-1","Laval",43,85,23,15,0,0,1,167,326
24003,"Alfred-Pellan/Alfred-Pellan"," 65","Laval",56,90,33,29,1,6,3,218,401
24003,"Alfred-Pellan/Alfred-Pellan"," 66","Laval",64,95,19,21,1,3,1,204,394
24003,"Alfred-Pellan/Alfred-Pellan"," 67A","Laval",45,100,43,24,0,3,2,217,403
24003,"Alfred-Pellan/Alfred-Pellan"," 67B","Laval",35,91,40,26,0,3,4,199,369
24003,"Alfred-Pellan/Alfred-Pellan"," 68","Laval",22,78,61,30,3,1,3,198,364
24003,"Alfred-Pellan/Alfred-Pellan"," 69","Laval",60,107,34,18,1,6,8,234,424
24003,"Alfred-Pellan/Alfred-Pellan"," 70","Laval",76,133,43,17,0,3,8,280,428
24003,"Alfred-Pellan/Alfred-Pellan"," 71","Laval",34,109,21,28,0,0,7,199,429
24003,"Alfred-Pellan/Alfred-Pellan"," 72","Laval",43,106,55,25,0,6,3,238,463
24003,"Alfred-Pellan/Alfred-Pellan"," 73","Laval",47,95,57,35,0,5,0,239,411
24003,"Alfred-Pellan/Alfred-Pellan"," 74","Laval",27,99,61,26,0,3,4,220,407
24003,"Alfred-Pellan/Alfred-Pellan"," 75","Laval",71,91,56,22,0,2,2,244,397
24003,"Alfred-Pellan/Alfred-Pellan"," 76","Laval",39,91,20,20,0,1,5,176,297
24003,"Alfred-Pellan/Alfred-Pellan"," 77","Laval",37,89,31,18,0,1,5,181,424
24003,"Alfred-Pellan/Alfred-Pellan"," 78","Laval",20,65,56,25,0,2,0,168,321
24003,"Alfred-Pellan/Alfred-Pellan"," 78-1","Laval",66,114,40,31,1,2,4,258,394
24003,"Alfred-Pellan/Alfred-Pellan"," 79","Laval",66,118,38,21,1,6,6,256,532
