Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorne Cudmore,Mike Currie,Lawrence MacAulay,Leslie Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",23,57,108,2,0,190,291
11001,"Cardigan/Cardigan"," 2","Red Point",10,86,123,3,6,228,313
11001,"Cardigan/Cardigan"," 3","Chepstow",16,77,114,1,1,209,356
11001,"Cardigan/Cardigan"," 4","Souris East",14,51,101,1,0,167,339
11001,"Cardigan/Cardigan"," 5","Souris",11,59,85,0,0,155,286
11001,"Cardigan/Cardigan"," 6","Souris River",16,52,108,1,0,177,302
11001,"Cardigan/Cardigan"," 7","New Zealand",16,60,96,3,1,176,304
11001,"Cardigan/Cardigan"," 8","Souris West",17,66,119,2,1,205,322
11001,"Cardigan/Cardigan"," 9","St. Charles",17,54,138,5,0,214,319
11001,"Cardigan/Cardigan"," 10","Cable Head",16,91,170,3,2,282,388
11001,"Cardigan/Cardigan"," 11","Five Houses",12,110,123,3,0,248,352
11001,"Cardigan/Cardigan"," 12","Fortune",11,94,132,5,2,244,352
11001,"Cardigan/Cardigan"," 13","Dundas",20,92,130,1,0,243,352
11001,"Cardigan/Cardigan"," 14","Milburn",14,96,112,1,0,223,369
11001,"Cardigan/Cardigan"," 15","Morell",19,106,128,2,0,255,353
11001,"Cardigan/Cardigan"," 16","Green Meadows",17,81,81,1,3,183,329
11001,"Cardigan/Cardigan"," 17","Glenfanning",14,89,94,1,1,199,342
11001,"Cardigan/Cardigan"," 18","Launching",20,126,105,1,0,252,373
11001,"Cardigan/Cardigan"," 19","Georgetown South",10,201,81,4,2,298,415
11001,"Cardigan/Cardigan"," 20","Georgetown North",13,158,75,3,0,249,399
11001,"Cardigan/Cardigan"," 21","Head of Cardigan",20,127,134,4,1,286,400
11001,"Cardigan/Cardigan"," 22","Brudenell",15,88,105,2,1,211,342
11001,"Cardigan/Cardigan"," 23","Victoria Cross",12,87,102,4,1,206,387
11001,"Cardigan/Cardigan"," 24","North Montague",21,67,101,3,0,192,427
