Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Colford,Ronald Mazerolle,Tilly O'Neill Gordon,Keith Vickers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi/Miramichi"," 1","Belledune",76,7,67,58,3,211,341
13006,"Miramichi/Miramichi"," 2","Belledune",40,2,22,27,1,92,256
13006,"Miramichi/Miramichi"," 3","Lorne",65,2,39,30,4,140,335
13006,"Miramichi/Miramichi"," 4","Jacquet River",46,14,58,24,3,145,305
13006,"Miramichi/Miramichi"," 5","Belledune",49,2,33,30,7,121,288
13006,"Miramichi/Miramichi"," 6","Nash Creek",100,11,59,28,2,200,310
13006,"Miramichi/Miramichi"," 7","Lorne",58,7,40,30,8,143,277
13006,"Miramichi/Miramichi"," 8","Lorne",82,5,42,25,10,164,285
13006,"Miramichi/Miramichi"," 9","Benjamin River",68,5,67,33,3,176,274
13006,"Miramichi/Miramichi"," 10","Curventon",39,6,45,12,3,105,149
13006,"Miramichi/Miramichi"," 11","Exmoor",40,3,80,23,1,147,282
13006,"Miramichi/Miramichi"," 12","Trout Brook",31,7,100,28,2,168,307
13006,"Miramichi/Miramichi"," 13","Maple Glen",70,4,175,37,2,288,501
13006,"Miramichi/Miramichi"," 14","Sunny Corner",24,1,89,13,0,127,221
13006,"Miramichi/Miramichi"," 15","Boom Road",23,3,110,20,1,157,251
13006,"Miramichi/Miramichi"," 16","Whitney",29,2,116,22,0,169,285
13006,"Miramichi/Miramichi"," 17","Strathadam",30,3,75,31,1,140,257
13006,"Miramichi/Miramichi"," 18","Eel Ground",64,5,40,80,1,190,371
13006,"Miramichi/Miramichi"," 19","Bellefond--Beaver Brook",84,3,134,52,3,276,438
13006,"Miramichi/Miramichi"," 20","Lower Newcastle",29,2,83,21,1,136,276
13006,"Miramichi/Miramichi"," 21","Lavillette",65,1,39,34,1,140,227
13006,"Miramichi/Miramichi"," 21-1","Alnwick",66,3,53,48,5,175,316
13006,"Miramichi/Miramichi"," 22","Bartibog Bridge",31,3,128,38,2,202,389
13006,"Miramichi/Miramichi"," 23","New Jersey",33,4,62,28,0,127,231
13006,"Miramichi/Miramichi"," 24","Lagacéville",89,5,90,78,2,264,423
13006,"Miramichi/Miramichi"," 25","Saint-Wilfred",44,2,101,50,6,203,303
13006,"Miramichi/Miramichi"," 26","Fairisle",97,6,78,67,2,250,463
13006,"Miramichi/Miramichi"," 26-1","Alnwick",45,2,36,23,0,106,183
13006,"Miramichi/Miramichi"," 27","Tabusintac 9",59,2,186,41,2,290,424
13006,"Miramichi/Miramichi"," 28","Covedell",99,4,75,51,1,230,404
13006,"Miramichi/Miramichi"," 29","Brantville",101,8,51,58,7,225,377
13006,"Miramichi/Miramichi"," 30","Brantville",112,5,40,86,5,248,359
13006,"Miramichi/Miramichi"," 31","Pontgravé",73,3,26,41,0,143,250
13006,"Miramichi/Miramichi"," 32","Brantville",73,7,38,71,0,189,294
13006,"Miramichi/Miramichi"," 33","Rivière-du-Portage",129,5,60,45,3,242,396
13006,"Miramichi/Miramichi"," 33-1","Alnwick",86,1,33,27,6,153,254
13006,"Miramichi/Miramichi"," 34","Burnt Church 14",63,3,63,35,0,164,403
13006,"Miramichi/Miramichi"," 34-1","Alnwick",31,3,63,19,2,118,320
13006,"Miramichi/Miramichi"," 35","Neguac",35,6,49,64,0,154,249
13006,"Miramichi/Miramichi"," 36","Neguac",43,2,65,56,3,169,311
13006,"Miramichi/Miramichi"," 37A","Neguac",87,7,65,75,2,236,409
