Province,Conservative Party of Canada Male / Parti conservateur du Canada Hommes,Conservative Party of Canada Female / Parti conservateur du Canada Femmes,New Democratic Party Male / Nouveau Parti démocratique Hommes,New Democratic Party Female / Nouveau Parti démocratique Femmes,Liberal Party of Canada Male / Parti libéral du Canada Hommes,Liberal Party of Canada Female / Parti libéral du Canada Femmes,Bloc Québécois Male / Bloc Québécois Hommes,Bloc Québécois Female / Bloc Québécois Femmes,Green Party of Canada Male / Le Parti Vert du Canada Hommes,Green Party of Canada Female / Le Parti Vert du Canada Femmes,Others_Male/Autres_Hommes,Others_Female/Autres_Femme,Total_Male/Total_Hommes,Total_Female/Total_Femmes
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",1,0,2,0,3,1,0,0,0,0,0,0,6,1
"Prince Edward Island/Île-du-Prince-Édouard",0,1,0,0,3,0,0,0,0,0,0,0,3,1
"Nova Scotia/Nouvelle-Écosse",4,0,2,1,4,0,0,0,0,0,0,0,10,1
"New Brunswick/Nouveau-Brunswick",7,1,1,0,1,0,0,0,0,0,0,0,9,1
"Quebec/Québec",5,0,32,27,7,0,3,1,0,0,0,0,47,28
"Ontario",62,11,16,6,8,3,0,0,0,0,0,0,86,20
"Manitoba",7,4,1,1,1,0,0,0,0,0,0,0,9,5
"Saskatchewan",11,2,0,0,1,0,0,0,0,0,0,0,12,2
"Alberta",24,3,0,1,0,0,0,0,0,0,0,0,24,4
"British Columbia/Colombie-Britannique",16,5,8,4,0,2,0,0,0,1,0,0,24,12
"Yukon",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Northwest Territories/Territoires du Nord-Ouest",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Nunavut",0,1,0,0,0,0,0,0,0,0,0,0,0,1
