Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernadette Clement,Darcy Neal Donnelly,Guy Lauzon,Mario Leclerc,Wyatt Joseph Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Old Carriage",16,0,139,35,7,0,197,423
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1-1","Reids Mills",21,0,146,31,4,0,202,370
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Hallville",23,0,105,42,9,0,179,334
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","Mountain",28,2,159,47,17,2,255,407
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Mulloys",14,0,117,20,4,0,155,298
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Nelson",27,1,163,27,6,2,226,347
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","South Mountain",27,0,164,46,8,0,245,398
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","Inkerman",16,0,150,27,4,1,198,332
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","Pleasant Valley",18,0,139,16,5,2,180,321
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","Brinston",12,1,202,23,4,1,243,413
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","Dundela",7,0,150,26,7,1,191,352
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Hanesville",11,0,151,22,10,0,194,371
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","Rowena",11,0,112,13,5,0,141,332
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Broken Second",24,2,142,35,3,1,207,417
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Iroquois",15,0,106,27,2,0,150,327
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","Iroquois",15,0,98,21,6,0,140,331
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Iroquois",11,1,134,34,3,0,183,364
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Flagg Creek",24,1,107,18,3,0,153,315
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Ormond",39,1,151,43,10,1,245,476
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Morewood",18,0,136,47,5,0,206,312
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 20","Morewood",17,0,161,37,5,0,220,333
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 21","Annable Settlement",23,1,146,23,10,0,203,386
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 22","Winchester",25,1,106,23,4,0,159,296
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 23","Winchester",15,0,147,37,2,0,201,432
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 24","Winchester",20,1,111,21,7,1,161,388
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 25","Winchester",22,0,99,38,9,0,168,362
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 26","Winchester",16,0,100,23,6,0,145,307
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 27","The Ninth",25,2,128,22,3,0,180,411
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 28","Winchester Springs",18,2,169,30,12,0,231,411
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 29","Limerick",10,1,120,16,4,0,151,302
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 30","Chesterville",9,1,102,21,7,1,141,297
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 31","Chesterville",12,0,181,29,5,1,228,433
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 32","Chesterville",27,1,130,30,3,2,193,392
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 33","Elma",20,0,150,24,7,0,201,347
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 34","Dunbar",17,1,155,40,8,0,221,399
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 35","Cahore",20,0,127,27,2,0,176,305
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 36","Crysler",44,1,138,44,6,2,235,398
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 37","Crysler",38,3,155,56,9,1,262,394
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 38","Berwick",20,0,124,24,3,0,171,314
