Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Collin Anderson,Tony Hajj,Margaret McLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 120","Calgary",129,29,13,37,1,209,416
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 121","Calgary",125,18,19,26,1,189,379
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 122","Calgary",85,16,12,17,0,130,274
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 123","Calgary",188,37,14,23,1,263,517
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 124","Calgary",186,30,8,36,0,260,474
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 125","Calgary",143,31,7,30,2,213,410
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 126","Calgary",170,26,14,34,1,245,420
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 127","Calgary",154,17,11,34,2,218,358
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 128","Calgary",46,19,7,15,0,87,234
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 129","Calgary",135,26,12,29,0,202,450
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 130","Calgary",186,42,24,42,0,294,547
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 131","Calgary",159,23,9,27,2,220,439
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 132","Calgary",157,14,8,13,1,193,417
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 133","Calgary",109,18,8,17,0,152,306
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 134","Calgary",77,28,4,16,1,126,325
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 135","Calgary",179,29,21,32,0,261,474
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 136","Calgary",160,35,14,23,1,233,562
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 137","Calgary",106,17,5,19,0,147,332
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 138","Calgary",84,23,4,21,1,133,281
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 139","Calgary",159,30,4,26,0,219,556
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 140","Calgary",165,28,13,29,2,237,557
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 141","Calgary",132,27,13,35,1,208,448
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 142","Calgary",121,21,8,17,0,167,362
