Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Baldasaro,Jim Byron,David Christopherson,Lisa Nussey,Anne Tennier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Hamilton Centre/Hamilton-Centre"," 1","Hamilton ",3,25,59,0,5,0,92,324
35031,"Hamilton Centre/Hamilton-Centre"," 2","Hamilton ",0,33,71,0,9,2,115,306
35031,"Hamilton Centre/Hamilton-Centre"," 3","Hamilton ",2,43,94,3,18,0,160,381
35031,"Hamilton Centre/Hamilton-Centre"," 4","Hamilton ",2,34,57,1,13,0,107,309
35031,"Hamilton Centre/Hamilton-Centre"," 5","Hamilton ",4,54,99,0,12,0,169,385
35031,"Hamilton Centre/Hamilton-Centre"," 6","Hamilton ",4,93,142,0,19,1,259,447
35031,"Hamilton Centre/Hamilton-Centre"," 7","Hamilton ",5,66,89,4,14,1,179,356
35031,"Hamilton Centre/Hamilton-Centre"," 8","Hamilton ",6,40,130,5,20,2,203,410
35031,"Hamilton Centre/Hamilton-Centre"," 9","Hamilton ",3,44,83,0,17,0,147,337
35031,"Hamilton Centre/Hamilton-Centre"," 10","Hamilton ",2,68,114,1,31,2,218,358
35031,"Hamilton Centre/Hamilton-Centre"," 11","Hamilton ",6,60,117,1,31,0,215,371
35031,"Hamilton Centre/Hamilton-Centre"," 12","Hamilton ",6,66,124,0,40,2,238,398
35031,"Hamilton Centre/Hamilton-Centre"," 13","Hamilton ",8,37,84,1,13,1,144,333
35031,"Hamilton Centre/Hamilton-Centre"," 14","Hamilton ",3,45,135,4,7,0,194,416
35031,"Hamilton Centre/Hamilton-Centre"," 15","Hamilton ",2,31,87,2,8,2,132,306
35031,"Hamilton Centre/Hamilton-Centre"," 16","Hamilton ",2,35,94,2,11,0,144,285
35031,"Hamilton Centre/Hamilton-Centre"," 17","Hamilton ",1,33,98,2,10,1,145,408
35031,"Hamilton Centre/Hamilton-Centre"," 18","Hamilton ",3,24,85,0,21,3,136,369
35031,"Hamilton Centre/Hamilton-Centre"," 19","Hamilton ",0,23,90,2,15,1,131,268
35031,"Hamilton Centre/Hamilton-Centre"," 20","Hamilton ",6,41,131,0,28,3,209,424
35031,"Hamilton Centre/Hamilton-Centre"," 21","Hamilton ",0,29,85,1,24,3,142,346
35031,"Hamilton Centre/Hamilton-Centre"," 22","Hamilton ",7,47,107,1,9,0,171,383
35031,"Hamilton Centre/Hamilton-Centre"," 23","Hamilton ",6,60,118,0,20,3,207,356
35031,"Hamilton Centre/Hamilton-Centre"," 24","Hamilton ",1,28,88,0,8,1,126,351
35031,"Hamilton Centre/Hamilton-Centre"," 25","Hamilton ",6,58,118,3,20,0,205,390
35031,"Hamilton Centre/Hamilton-Centre"," 26","Hamilton ",7,39,101,0,11,0,158,299
35031,"Hamilton Centre/Hamilton-Centre"," 27","Hamilton ",3,55,118,2,20,0,198,379
35031,"Hamilton Centre/Hamilton-Centre"," 28","Hamilton ",4,39,110,1,19,0,173,374
35031,"Hamilton Centre/Hamilton-Centre"," 29","Hamilton ",9,40,110,0,15,1,175,432
35031,"Hamilton Centre/Hamilton-Centre"," 30","Hamilton ",0,23,78,1,18,3,123,375
35031,"Hamilton Centre/Hamilton-Centre"," 31","Hamilton ",3,32,72,2,27,1,137,332
35031,"Hamilton Centre/Hamilton-Centre"," 32","Hamilton ",2,32,78,1,13,0,126,303
35031,"Hamilton Centre/Hamilton-Centre"," 33","Hamilton ",2,34,99,1,23,2,161,344
35031,"Hamilton Centre/Hamilton-Centre"," 34","Hamilton ",5,37,85,1,19,1,148,361
35031,"Hamilton Centre/Hamilton-Centre"," 35","Hamilton ",3,27,73,0,3,0,106,312
35031,"Hamilton Centre/Hamilton-Centre"," 36","Hamilton ",1,26,90,1,32,1,151,421
35031,"Hamilton Centre/Hamilton-Centre"," 37","Hamilton ",7,29,56,0,10,1,103,319
35031,"Hamilton Centre/Hamilton-Centre"," 38","Hamilton ",3,49,90,1,14,2,159,370
35031,"Hamilton Centre/Hamilton-Centre"," 39","Hamilton ",1,24,84,0,16,0,125,399
35031,"Hamilton Centre/Hamilton-Centre"," 40","Hamilton ",4,28,69,0,13,1,115,327
35031,"Hamilton Centre/Hamilton-Centre"," 41","Hamilton ",2,27,109,1,6,1,146,334
35031,"Hamilton Centre/Hamilton-Centre"," 42","Hamilton ",2,24,87,0,8,0,121,321
35031,"Hamilton Centre/Hamilton-Centre"," 43","Hamilton ",3,28,80,0,11,1,123,356
35031,"Hamilton Centre/Hamilton-Centre"," 44","Hamilton ",1,36,75,1,13,0,126,378
35031,"Hamilton Centre/Hamilton-Centre"," 45","Hamilton ",6,32,53,1,10,1,103,339
35031,"Hamilton Centre/Hamilton-Centre"," 46","Hamilton ",2,31,76,2,22,0,133,345
35031,"Hamilton Centre/Hamilton-Centre"," 47","Hamilton ",3,32,91,1,21,2,150,417
35031,"Hamilton Centre/Hamilton-Centre"," 48","Hamilton ",3,25,73,2,11,1,115,389
35031,"Hamilton Centre/Hamilton-Centre"," 49","Hamilton ",4,23,49,0,14,2,92,312
35031,"Hamilton Centre/Hamilton-Centre"," 50","Hamilton ",2,41,76,0,12,0,131,359
35031,"Hamilton Centre/Hamilton-Centre"," 51","Hamilton ",7,25,89,2,12,2,137,345
35031,"Hamilton Centre/Hamilton-Centre"," 52","Hamilton ",2,38,118,2,14,1,175,375
35031,"Hamilton Centre/Hamilton-Centre"," 53","Hamilton ",6,42,90,1,29,2,170,365
35031,"Hamilton Centre/Hamilton-Centre"," 54","Hamilton ",6,54,104,1,26,2,193,313
35031,"Hamilton Centre/Hamilton-Centre"," 55","Hamilton ",7,43,111,0,24,6,191,373
35031,"Hamilton Centre/Hamilton-Centre"," 56","Hamilton ",2,49,103,2,23,1,180,347
35031,"Hamilton Centre/Hamilton-Centre"," 57","Hamilton ",2,48,98,2,25,1,176,382
35031,"Hamilton Centre/Hamilton-Centre"," 58","Hamilton ",3,56,130,0,18,1,208,459
35031,"Hamilton Centre/Hamilton-Centre"," 59","Hamilton ",3,25,58,0,9,0,95,280
35031,"Hamilton Centre/Hamilton-Centre"," 60","Hamilton ",4,16,54,1,9,2,86,300
35031,"Hamilton Centre/Hamilton-Centre"," 61","Hamilton ",1,26,60,0,14,3,104,287
35031,"Hamilton Centre/Hamilton-Centre"," 62","Hamilton ",5,36,100,2,30,0,173,405
35031,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton ",2,16,167,2,15,2,204,324
35031,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton ",6,43,106,1,11,1,168,395
35031,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton ",2,39,84,0,9,2,136,375
35031,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton ",7,28,89,4,10,1,139,379
35031,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton ",2,15,107,1,10,1,136,350
35031,"Hamilton Centre/Hamilton-Centre"," 68","Hamilton ",5,41,157,0,13,2,218,467
35031,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton ",6,45,135,0,11,0,197,463
35031,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton ",3,34,144,1,14,1,197,370
35031,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton ",8,44,152,0,28,0,232,483
35031,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton ",6,20,92,1,28,4,151,333
35031,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton ",1,43,120,0,20,3,187,569
35031,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton ",4,28,131,1,19,4,187,410
35031,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton ",1,14,49,1,7,1,73,242
35031,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton ",3,10,33,0,11,1,58,217
35031,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton ",5,21,82,1,26,0,135,505
35031,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton ",2,8,62,1,5,0,78,366
35031,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton ",0,17,74,1,9,0,101,364
35031,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton ",2,19,102,0,37,2,162,346
35031,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton ",2,31,130,3,29,1,196,466
35031,"Hamilton Centre/Hamilton-Centre"," 82","Hamilton ",14,33,138,2,25,7,219,503
35031,"Hamilton Centre/Hamilton-Centre"," 83","Hamilton ",4,33,88,3,10,0,138,303
35031,"Hamilton Centre/Hamilton-Centre"," 84","Hamilton ",0,34,119,2,8,0,163,328
35031,"Hamilton Centre/Hamilton-Centre"," 85","Hamilton ",4,54,110,2,26,5,201,444
35031,"Hamilton Centre/Hamilton-Centre"," 86","Hamilton ",5,48,154,3,34,0,244,473
35031,"Hamilton Centre/Hamilton-Centre"," 87","Hamilton ",4,32,111,4,25,2,178,338
35031,"Hamilton Centre/Hamilton-Centre"," 88","Hamilton ",1,60,168,1,23,4,257,366
35031,"Hamilton Centre/Hamilton-Centre"," 89","Hamilton ",6,61,165,1,34,1,268,418
35031,"Hamilton Centre/Hamilton-Centre"," 90","Hamilton ",5,62,160,2,29,1,259,457
35031,"Hamilton Centre/Hamilton-Centre"," 91","Hamilton ",5,60,96,0,22,0,183,293
35031,"Hamilton Centre/Hamilton-Centre"," 92","Hamilton ",4,49,134,1,16,1,205,380
35031,"Hamilton Centre/Hamilton-Centre"," 93","Hamilton ",2,34,137,0,39,2,214,353
35031,"Hamilton Centre/Hamilton-Centre"," 94","Hamilton ",4,48,113,0,34,0,199,367
35031,"Hamilton Centre/Hamilton-Centre"," 95","Hamilton ",3,9,43,0,10,0,65,243
35031,"Hamilton Centre/Hamilton-Centre"," 96","Hamilton ",3,43,89,1,40,2,178,420
35031,"Hamilton Centre/Hamilton-Centre"," 97","Hamilton ",5,23,93,0,32,1,154,367
35031,"Hamilton Centre/Hamilton-Centre"," 98","Hamilton ",3,22,89,2,30,0,146,380
35031,"Hamilton Centre/Hamilton-Centre"," 99A","Hamilton ",2,29,82,1,21,2,137,442
35031,"Hamilton Centre/Hamilton-Centre"," 99B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,1
35031,"Hamilton Centre/Hamilton-Centre"," 100","Hamilton ",1,35,98,0,17,0,151,456
35031,"Hamilton Centre/Hamilton-Centre"," 101","Hamilton ",3,53,105,0,29,0,190,349
35031,"Hamilton Centre/Hamilton-Centre"," 102","Hamilton ",1,31,79,0,29,0,140,300
35031,"Hamilton Centre/Hamilton-Centre"," 103","Hamilton ",2,38,100,1,16,3,160,341
35031,"Hamilton Centre/Hamilton-Centre"," 104","Hamilton ",7,31,147,2,23,1,211,501
35031,"Hamilton Centre/Hamilton-Centre"," 105","Hamilton ",0,20,62,0,14,0,96,227
35031,"Hamilton Centre/Hamilton-Centre"," 106","Hamilton ",4,33,102,0,20,0,159,378
35031,"Hamilton Centre/Hamilton-Centre"," 107","Hamilton ",3,54,107,3,19,0,186,402
35031,"Hamilton Centre/Hamilton-Centre"," 108","Hamilton ",1,20,68,2,19,0,110,303
35031,"Hamilton Centre/Hamilton-Centre"," 109","Hamilton ",3,62,120,1,20,2,208,489
35031,"Hamilton Centre/Hamilton-Centre"," 110","Hamilton ",3,41,93,0,24,0,161,396
35031,"Hamilton Centre/Hamilton-Centre"," 111","Hamilton ",2,25,116,1,14,0,158,348
35031,"Hamilton Centre/Hamilton-Centre"," 112","Hamilton ",7,26,105,0,16,0,154,394
35031,"Hamilton Centre/Hamilton-Centre"," 113","Hamilton ",1,36,76,0,11,2,126,350
35031,"Hamilton Centre/Hamilton-Centre"," 114","Hamilton ",3,34,93,1,15,0,146,347
35031,"Hamilton Centre/Hamilton-Centre"," 115","Hamilton ",5,22,81,1,6,1,116,299
35031,"Hamilton Centre/Hamilton-Centre"," 116","Hamilton ",1,12,97,1,12,1,124,306
35031,"Hamilton Centre/Hamilton-Centre"," 117","Hamilton ",1,45,79,1,20,0,146,357
35031,"Hamilton Centre/Hamilton-Centre"," 118","Hamilton ",4,35,80,2,23,0,144,338
