Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maurice Brossard,Normand Chouinard,Marcel Lussier,Hoang Mai,Alexandra Mendès,Kevin Murphy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Brossard--La Prairie/Brossard--La Prairie"," 1","Brossard",27,0,40,79,36,1,1,184,397
24011,"Brossard--La Prairie/Brossard--La Prairie"," 1-1","Brossard",15,0,14,60,52,3,0,144,244
24011,"Brossard--La Prairie/Brossard--La Prairie"," 2","Brossard",18,0,23,72,59,4,0,176,317
24011,"Brossard--La Prairie/Brossard--La Prairie"," 3","Brossard",28,4,26,86,54,5,0,203,423
24011,"Brossard--La Prairie/Brossard--La Prairie"," 4","Brossard",19,0,19,58,48,2,2,148,335
24011,"Brossard--La Prairie/Brossard--La Prairie"," 5","Brossard",37,0,19,56,43,3,3,161,353
24011,"Brossard--La Prairie/Brossard--La Prairie"," 6","Brossard",29,2,30,91,63,2,1,218,425
24011,"Brossard--La Prairie/Brossard--La Prairie"," 7","Brossard",24,1,12,67,25,2,1,132,340
24011,"Brossard--La Prairie/Brossard--La Prairie"," 8","Brossard",13,0,22,68,24,5,1,133,359
24011,"Brossard--La Prairie/Brossard--La Prairie"," 9","Brossard",25,1,25,80,34,3,2,170,357
24011,"Brossard--La Prairie/Brossard--La Prairie"," 10","Brossard",31,1,26,55,61,4,1,179,387
24011,"Brossard--La Prairie/Brossard--La Prairie"," 11","Brossard",6,0,22,90,47,3,4,172,345
24011,"Brossard--La Prairie/Brossard--La Prairie"," 11-1","Brossard",27,1,19,75,41,6,0,169,396
24011,"Brossard--La Prairie/Brossard--La Prairie"," 12","Brossard",17,0,26,66,57,4,1,171,375
24011,"Brossard--La Prairie/Brossard--La Prairie"," 13","Brossard",24,0,19,57,52,3,1,156,365
24011,"Brossard--La Prairie/Brossard--La Prairie"," 14","Brossard",28,1,17,77,46,1,0,170,317
24011,"Brossard--La Prairie/Brossard--La Prairie"," 15","Brossard",26,0,23,77,47,4,4,181,337
24011,"Brossard--La Prairie/Brossard--La Prairie"," 16","Brossard",16,0,23,53,41,4,0,137,274
24011,"Brossard--La Prairie/Brossard--La Prairie"," 17","Brossard",27,1,20,86,54,4,4,196,435
24011,"Brossard--La Prairie/Brossard--La Prairie"," 18","Brossard",35,0,11,63,90,6,0,205,404
24011,"Brossard--La Prairie/Brossard--La Prairie"," 19","Brossard",22,1,17,85,52,2,0,179,410
