Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ujjal Dosanjh,Jean de Dieu Hakizimana,Meena Wong,Wai Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver South/Vancouver-Sud"," 1","Vancouver",1,115,5,10,137,0,268,551
59034,"Vancouver South/Vancouver-Sud"," 2","Vancouver",0,77,1,9,114,2,203,513
59034,"Vancouver South/Vancouver-Sud"," 3","Vancouver",1,93,4,19,129,3,249,570
59034,"Vancouver South/Vancouver-Sud"," 4A","Vancouver",0,31,0,12,61,2,106,278
59034,"Vancouver South/Vancouver-Sud"," 4B","Vancouver",2,47,4,21,80,0,154,365
59034,"Vancouver South/Vancouver-Sud"," 5A","Vancouver",0,48,6,21,73,0,148,353
59034,"Vancouver South/Vancouver-Sud"," 5B","Vancouver",0,39,3,19,53,0,114,245
59034,"Vancouver South/Vancouver-Sud"," 6","Vancouver",1,71,5,14,107,0,198,414
59034,"Vancouver South/Vancouver-Sud"," 7","Vancouver",0,71,4,29,110,4,218,540
59034,"Vancouver South/Vancouver-Sud"," 8","Vancouver",0,73,1,17,113,2,206,410
59034,"Vancouver South/Vancouver-Sud"," 9","Vancouver",1,59,3,20,115,0,198,481
59034,"Vancouver South/Vancouver-Sud"," 10","Vancouver",2,63,2,11,100,0,178,454
59034,"Vancouver South/Vancouver-Sud"," 11","Vancouver",0,78,7,15,125,1,226,523
59034,"Vancouver South/Vancouver-Sud"," 12","Vancouver",0,63,8,39,101,1,212,513
59034,"Vancouver South/Vancouver-Sud"," 13","Vancouver",0,63,10,16,106,3,198,399
59034,"Vancouver South/Vancouver-Sud"," 14A","Vancouver",1,42,5,19,62,1,130,272
59034,"Vancouver South/Vancouver-Sud"," 14B","Vancouver",0,47,4,19,41,1,112,310
59034,"Vancouver South/Vancouver-Sud"," 15","Vancouver",1,91,6,18,107,3,226,520
59034,"Vancouver South/Vancouver-Sud"," 16","Vancouver",1,92,3,18,117,0,231,512
59034,"Vancouver South/Vancouver-Sud"," 16-1","Vancouver",0,43,4,24,77,1,149,382
59034,"Vancouver South/Vancouver-Sud"," 17","Vancouver",0,85,6,39,125,1,256,560
59034,"Vancouver South/Vancouver-Sud"," 18","Vancouver",0,88,6,49,124,1,268,550
59034,"Vancouver South/Vancouver-Sud"," 19","Vancouver",2,55,9,47,101,0,214,514
59034,"Vancouver South/Vancouver-Sud"," 20","Vancouver",0,67,11,45,92,1,216,427
59034,"Vancouver South/Vancouver-Sud"," 21","Vancouver",2,75,7,47,86,0,217,458
59034,"Vancouver South/Vancouver-Sud"," 22","Vancouver",0,79,5,30,127,2,243,518
59034,"Vancouver South/Vancouver-Sud"," 23A","Vancouver",0,57,6,5,86,1,155,367
59034,"Vancouver South/Vancouver-Sud"," 23B","Vancouver",0,43,3,9,55,0,110,218
59034,"Vancouver South/Vancouver-Sud"," 24","Vancouver",3,94,4,26,117,0,244,493
59034,"Vancouver South/Vancouver-Sud"," 25","Vancouver",1,46,4,17,65,0,133,327
59034,"Vancouver South/Vancouver-Sud"," 26","Vancouver",0,51,13,41,59,0,164,500
59034,"Vancouver South/Vancouver-Sud"," 27","Vancouver",0,41,2,23,48,0,114,306
59034,"Vancouver South/Vancouver-Sud"," 28","Vancouver",0,50,14,52,63,1,180,485
59034,"Vancouver South/Vancouver-Sud"," 29","Vancouver",0,49,10,37,47,0,143,360
59034,"Vancouver South/Vancouver-Sud"," 30","Vancouver",1,34,10,28,33,0,106,295
59034,"Vancouver South/Vancouver-Sud"," 31","Vancouver",2,64,16,58,40,0,180,376
59034,"Vancouver South/Vancouver-Sud"," 32","Vancouver",1,89,15,48,55,0,208,443
59034,"Vancouver South/Vancouver-Sud"," 33","Vancouver",3,67,9,58,55,0,192,422
59034,"Vancouver South/Vancouver-Sud"," 34","Vancouver",0,44,6,38,39,0,127,369
59034,"Vancouver South/Vancouver-Sud"," 35","Vancouver",1,57,10,41,29,1,139,352
59034,"Vancouver South/Vancouver-Sud"," 36","Vancouver",1,54,12,48,60,0,175,401
59034,"Vancouver South/Vancouver-Sud"," 37","Vancouver",1,55,16,56,69,1,198,434
59034,"Vancouver South/Vancouver-Sud"," 38","Vancouver",2,44,21,63,44,0,174,469
59034,"Vancouver South/Vancouver-Sud"," 39","Vancouver",3,63,23,57,61,1,208,352
59034,"Vancouver South/Vancouver-Sud"," 40","Vancouver",0,71,3,29,110,1,214,539
59034,"Vancouver South/Vancouver-Sud"," 41","Vancouver",0,70,7,30,124,2,233,507
59034,"Vancouver South/Vancouver-Sud"," 42","Vancouver",2,110,9,61,113,2,297,513
59034,"Vancouver South/Vancouver-Sud"," 43","Vancouver",0,86,7,45,98,1,237,475
59034,"Vancouver South/Vancouver-Sud"," 44","Vancouver",0,64,5,18,92,0,179,529
59034,"Vancouver South/Vancouver-Sud"," 45A","Vancouver",1,39,1,14,56,1,112,287
59034,"Vancouver South/Vancouver-Sud"," 45B","Vancouver",0,35,3,14,62,0,114,301
59034,"Vancouver South/Vancouver-Sud"," 46","Vancouver",0,70,10,48,81,0,209,575
59034,"Vancouver South/Vancouver-Sud"," 47","Vancouver",0,101,1,54,60,2,218,542
59034,"Vancouver South/Vancouver-Sud"," 48","Vancouver",0,96,5,49,52,1,203,407
59034,"Vancouver South/Vancouver-Sud"," 49","Vancouver",1,77,13,56,66,0,213,334
59034,"Vancouver South/Vancouver-Sud"," 50","Vancouver",1,112,8,72,78,0,271,496
59034,"Vancouver South/Vancouver-Sud"," 51","Vancouver",0,117,9,54,102,1,283,523
59034,"Vancouver South/Vancouver-Sud"," 52","Vancouver",2,108,11,65,83,2,271,515
59034,"Vancouver South/Vancouver-Sud"," 53","Vancouver",1,101,2,47,60,1,212,495
59034,"Vancouver South/Vancouver-Sud"," 54","Vancouver",0,63,4,36,67,0,170,362
59034,"Vancouver South/Vancouver-Sud"," 54-1","Vancouver",1,68,6,27,60,1,163,343
59034,"Vancouver South/Vancouver-Sud"," 55A","Vancouver",0,67,3,29,46,0,145,303
59034,"Vancouver South/Vancouver-Sud"," 55B","Vancouver",0,46,3,26,40,0,115,296
59034,"Vancouver South/Vancouver-Sud"," 56","Vancouver",0,72,6,38,64,1,181,453
59034,"Vancouver South/Vancouver-Sud"," 57","Vancouver",0,74,6,32,88,1,201,533
59034,"Vancouver South/Vancouver-Sud"," 58A","Vancouver",1,68,3,27,64,2,165,319
59034,"Vancouver South/Vancouver-Sud"," 58B","Vancouver",2,59,2,31,46,0,140,290
59034,"Vancouver South/Vancouver-Sud"," 59","Vancouver",1,75,3,48,131,3,261,488
59034,"Vancouver South/Vancouver-Sud"," 60","Vancouver",0,94,4,22,101,2,223,473
59034,"Vancouver South/Vancouver-Sud"," 60-1","Vancouver",0,45,2,26,99,0,172,380
59034,"Vancouver South/Vancouver-Sud"," 61","Vancouver",0,83,7,25,89,0,204,446
59034,"Vancouver South/Vancouver-Sud"," 62","Vancouver",1,49,9,42,74,1,176,435
59034,"Vancouver South/Vancouver-Sud"," 63","Vancouver",2,73,5,47,106,4,237,565
59034,"Vancouver South/Vancouver-Sud"," 64","Vancouver",2,68,10,56,68,0,204,483
59034,"Vancouver South/Vancouver-Sud"," 65","Vancouver",2,46,3,44,85,2,182,463
59034,"Vancouver South/Vancouver-Sud"," 66","Vancouver",1,68,5,35,95,0,204,468
59034,"Vancouver South/Vancouver-Sud"," 67","Vancouver",1,88,6,63,88,0,246,502
59034,"Vancouver South/Vancouver-Sud"," 68","Vancouver",2,73,8,48,83,0,214,433
59034,"Vancouver South/Vancouver-Sud"," 69","Vancouver",2,73,9,57,81,2,224,435
59034,"Vancouver South/Vancouver-Sud"," 69-1","Vancouver",0,55,1,45,60,3,164,365
59034,"Vancouver South/Vancouver-Sud"," 70","Vancouver",1,83,2,41,101,1,229,549
59034,"Vancouver South/Vancouver-Sud"," 71A","Vancouver",1,58,4,35,50,0,148,286
59034,"Vancouver South/Vancouver-Sud"," 71B","Vancouver",0,53,5,36,56,0,150,312
59034,"Vancouver South/Vancouver-Sud"," 72","Vancouver",1,116,6,63,95,3,284,533
