Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Duncan Geisler,Sean Palsson,Don Winstone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake/Selkirk--Interlake"," 1","St. Martin",101,5,32,1,1,140,460
46010,"Selkirk--Interlake/Selkirk--Interlake"," 1-1","Denbeigh Point",Void/Supprimé,,,,,,
46010,"Selkirk--Interlake/Selkirk--Interlake"," 2","Dauphin River",4,6,13,0,0,23,61
46010,"Selkirk--Interlake/Selkirk--Interlake"," 3","Grahamdale",158,8,20,1,3,190,289
46010,"Selkirk--Interlake/Selkirk--Interlake"," 4","Lake St. Martin",5,16,41,1,1,64,253
46010,"Selkirk--Interlake/Selkirk--Interlake"," 5","Little Saskatchewan",19,11,38,0,0,68,123
46010,"Selkirk--Interlake/Selkirk--Interlake"," 6","Fairford",21,33,54,1,0,109,305
46010,"Selkirk--Interlake/Selkirk--Interlake"," 6-1","Fairford",52,24,14,1,0,91,148
46010,"Selkirk--Interlake/Selkirk--Interlake"," 7","Dallas",8,0,8,0,0,16,42
46010,"Selkirk--Interlake/Selkirk--Interlake"," 8","Jackhead Harbour",11,2,30,0,0,43,138
46010,"Selkirk--Interlake/Selkirk--Interlake"," 9","Matheson Island",19,0,23,2,0,44,77
46010,"Selkirk--Interlake/Selkirk--Interlake"," 10A","Fisher River",23,11,56,1,0,91,273
46010,"Selkirk--Interlake/Selkirk--Interlake"," 10B","Fisher River",24,6,90,5,0,125,353
46010,"Selkirk--Interlake/Selkirk--Interlake"," 11","Little Bullhead",13,2,20,2,0,37,51
46010,"Selkirk--Interlake/Selkirk--Interlake"," 12A","Peguis",8,2,57,1,0,68,242
46010,"Selkirk--Interlake/Selkirk--Interlake"," 12B","Mobile poll/Bureau itinérant",4,1,40,0,0,45,45
46010,"Selkirk--Interlake/Selkirk--Interlake"," 12C","Mobile poll/Bureau itinérant",5,1,17,2,0,25,47
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13A","Peguis",18,4,61,2,0,85,223
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13B","Mobile poll/Bureau itinérant",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,90
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13C","Mobile poll/Bureau itinérant",Merged with No. 12C/Fusionné avec le nº 12C,,,,,,88
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13D","Peguis",11,6,59,1,0,77,259
46010,"Selkirk--Interlake/Selkirk--Interlake"," 14A","Peguis",18,4,35,0,0,57,204
46010,"Selkirk--Interlake/Selkirk--Interlake"," 14B","Mobile poll/Bureau itinérant",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,25
46010,"Selkirk--Interlake/Selkirk--Interlake"," 14C","Mobile poll/Bureau itinérant",Merged with No. 12C/Fusionné avec le nº 12C,,,,,,25
46010,"Selkirk--Interlake/Selkirk--Interlake"," 15","Hodgson",104,8,33,5,1,151,429
46010,"Selkirk--Interlake/Selkirk--Interlake"," 16","Fisherton",78,4,33,1,1,117,182
