Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryan Hayes,Luke Macmichael,Tony Martin,Christian Provenzano,Randy Riauka,Mike Taffarel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",33,0,72,18,0,1,0,124,206
35079,"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",63,3,71,29,0,2,0,168,267
35079,"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland",103,4,88,31,0,0,0,226,375
35079,"Sault Ste. Marie/Sault Ste. Marie"," 4","Goulais Bay 15A",67,2,66,14,0,2,0,151,309
35079,"Sault Ste. Marie/Sault Ste. Marie"," 5","Goulais River",63,2,47,4,0,0,0,116,296
35079,"Sault Ste. Marie/Sault Ste. Marie"," 6","Karalash Corners",42,3,50,9,0,0,0,104,197
35079,"Sault Ste. Marie/Sault Ste. Marie"," 7","Kirby's Corner",132,3,72,14,0,1,1,223,478
35079,"Sault Ste. Marie/Sault Ste. Marie"," 8","Heyden--Island Lake",103,5,115,15,0,0,0,238,359
35079,"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden",77,6,63,22,1,0,0,169,302
35079,"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden",77,3,109,15,1,0,0,205,356
35079,"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden",Void/Supprimé,,,,,,,,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 12","Goulais River",87,3,83,3,0,0,0,176,345
35079,"Sault Ste. Marie/Sault Ste. Marie"," 13","Prince",106,1,68,32,2,0,0,209,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 14","Prince",156,8,95,59,0,0,1,319,523
35079,"Sault Ste. Marie/Sault Ste. Marie"," 15","Sault Ste. Marie",163,6,85,67,1,1,4,327,546
35079,"Sault Ste. Marie/Sault Ste. Marie"," 16","Sault Ste. Marie",151,15,85,65,4,0,0,320,507
35079,"Sault Ste. Marie/Sault Ste. Marie"," 17","Sault Ste. Marie",90,3,77,28,0,0,1,199,364
35079,"Sault Ste. Marie/Sault Ste. Marie"," 18","Sault Ste. Marie",135,10,95,47,0,0,3,290,479
35079,"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",160,3,73,82,1,0,3,322,544
35079,"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",67,0,104,26,0,0,0,197,366
35079,"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",78,6,102,35,2,0,5,228,412
35079,"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",45,6,57,24,2,0,2,136,263
35079,"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",81,3,63,35,0,0,1,183,301
35079,"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",76,2,111,32,1,0,0,222,483
35079,"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",81,4,83,66,1,0,3,238,390
35079,"Sault Ste. Marie/Sault Ste. Marie"," 26","Sault Ste. Marie",101,3,79,75,1,0,3,262,363
35079,"Sault Ste. Marie/Sault Ste. Marie"," 27","Sault Ste. Marie",60,1,57,32,1,0,4,155,259
35079,"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",44,5,55,15,0,0,1,120,278
35079,"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",41,4,74,13,0,0,1,133,313
35079,"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",39,1,59,56,0,0,1,156,332
35079,"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",44,7,57,40,0,0,0,148,351
35079,"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",48,1,61,16,0,0,1,127,252
35079,"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",63,1,85,34,3,0,3,189,323
35079,"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",84,5,80,37,0,1,1,208,320
35079,"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",108,7,129,42,1,0,0,287,459
35079,"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",137,5,96,36,0,0,7,281,449
35079,"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",53,11,97,19,1,0,1,182,380
35079,"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",35,3,93,20,0,0,2,153,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",55,3,99,28,0,0,2,187,387
35079,"Sault Ste. Marie/Sault Ste. Marie"," 40","Sault Ste. Marie",146,11,80,31,1,0,0,269,447
35079,"Sault Ste. Marie/Sault Ste. Marie"," 41","Sault Ste. Marie",84,1,47,42,0,1,0,175,263
35079,"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",96,4,89,23,0,0,0,212,350
35079,"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",154,2,111,64,0,0,2,333,527
35079,"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",66,2,89,40,0,0,0,197,335
35079,"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",55,2,67,36,0,0,1,161,275
35079,"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",83,2,86,102,0,0,0,273,421
35079,"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",83,1,54,27,2,0,2,169,289
35079,"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",67,6,59,26,2,0,0,160,342
35079,"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",139,1,59,93,0,1,0,293,424
35079,"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",96,2,46,55,1,0,2,202,314
35079,"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",50,3,71,25,1,0,1,151,317
35079,"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",68,4,70,53,0,0,6,201,364
35079,"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",65,7,61,62,0,0,4,199,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",56,2,68,45,2,0,0,173,330
35079,"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",41,2,74,33,0,0,1,151,306
35079,"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",44,2,73,36,0,1,0,156,310
35079,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",38,4,75,54,1,0,1,173,328
