Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Craig Leonard Batley,Myk Brazier,Randy Hoback,Valerie Mushinski,Ron Wassill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 1","Shellbrook",0,9,265,56,6,0,336,719
47006,"Prince Albert/Prince Albert"," 2","Holbein",2,10,123,77,4,0,216,376
47006,"Prince Albert/Prince Albert"," 3","Shellbrook",0,1,85,24,4,0,114,191
47006,"Prince Albert/Prince Albert"," 4","Shellbrook",1,5,125,43,11,0,185,283
47006,"Prince Albert/Prince Albert"," 5","Shellbrook",0,5,70,31,3,1,110,178
47006,"Prince Albert/Prince Albert"," 6","Shellbrook",1,3,91,42,0,0,137,222
47006,"Prince Albert/Prince Albert"," 7","Paddockwood",1,7,161,35,1,1,206,361
47006,"Prince Albert/Prince Albert"," 8","Meath Park",1,10,212,81,6,3,313,493
47006,"Prince Albert/Prince Albert"," 9","Albertville",1,2,100,39,5,0,147,220
47006,"Prince Albert/Prince Albert"," 10","Kalyna",0,3,120,34,1,0,158,304
47006,"Prince Albert/Prince Albert"," 11","Spruce Home",1,5,109,57,5,0,177,370
47006,"Prince Albert/Prince Albert"," 12","Henribourg",1,5,60,18,3,0,87,177
47006,"Prince Albert/Prince Albert"," 13","Wahpeton 94A",0,3,32,73,8,0,116,248
47006,"Prince Albert/Prince Albert"," 14","White Star",0,5,144,62,7,2,220,399
47006,"Prince Albert/Prince Albert"," 15","Red Wing",0,17,227,109,11,1,365,508
47006,"Prince Albert/Prince Albert"," 16","Buckland",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 17","Buckland",1,11,229,101,9,1,352,492
47006,"Prince Albert/Prince Albert"," 18","Prince Albert",1,4,171,105,7,0,288,518
47006,"Prince Albert/Prince Albert"," 19","Prince Albert",0,2,77,67,5,0,151,286
47006,"Prince Albert/Prince Albert"," 20","Prince Albert",2,3,71,104,2,0,182,423
47006,"Prince Albert/Prince Albert"," 21","Prince Albert",0,2,64,100,7,0,173,478
47006,"Prince Albert/Prince Albert"," 22","Prince Albert",0,4,54,66,5,0,129,411
47006,"Prince Albert/Prince Albert"," 23","Prince Albert",1,2,55,85,8,0,151,471
47006,"Prince Albert/Prince Albert"," 24","Prince Albert",2,4,62,46,16,1,131,306
47006,"Prince Albert/Prince Albert"," 25","Prince Albert",1,2,43,48,6,0,100,379
47006,"Prince Albert/Prince Albert"," 26","Prince Albert",0,3,43,48,4,2,100,296
47006,"Prince Albert/Prince Albert"," 27","Prince Albert",0,3,108,96,14,1,222,402
47006,"Prince Albert/Prince Albert"," 28","Prince Albert",0,2,100,93,5,0,200,442
47006,"Prince Albert/Prince Albert"," 29","Prince Albert",0,6,75,63,1,0,145,451
47006,"Prince Albert/Prince Albert"," 29-1","Prince Albert",0,1,107,60,7,1,176,330
47006,"Prince Albert/Prince Albert"," 30","Prince Albert",0,6,141,90,8,0,245,396
47006,"Prince Albert/Prince Albert"," 31","Prince Albert",0,9,111,82,6,1,209,386
47006,"Prince Albert/Prince Albert"," 32","Prince Albert",0,6,91,86,6,0,189,390
47006,"Prince Albert/Prince Albert"," 33","Prince Albert",0,6,106,71,7,0,190,291
47006,"Prince Albert/Prince Albert"," 34","Prince Albert",1,5,129,94,9,2,240,389
47006,"Prince Albert/Prince Albert"," 35","Prince Albert",1,6,148,95,13,0,263,433
47006,"Prince Albert/Prince Albert"," 36","Prince Albert",1,1,107,48,6,0,163,304
47006,"Prince Albert/Prince Albert"," 37","Prince Albert",2,1,106,73,8,2,192,298
47006,"Prince Albert/Prince Albert"," 38","Prince Albert",3,6,122,109,9,1,250,432
47006,"Prince Albert/Prince Albert"," 39","Prince Albert",0,8,61,63,6,1,139,324
47006,"Prince Albert/Prince Albert"," 40","Prince Albert",2,7,97,93,12,0,211,415
47006,"Prince Albert/Prince Albert"," 41","Prince Albert",2,6,74,96,5,0,183,478
47006,"Prince Albert/Prince Albert"," 42","Prince Albert",2,2,62,67,4,0,137,345
47006,"Prince Albert/Prince Albert"," 43","Prince Albert",1,2,84,73,8,0,168,356
47006,"Prince Albert/Prince Albert"," 44","Prince Albert",1,2,40,50,3,0,96,302
47006,"Prince Albert/Prince Albert"," 45","Prince Albert",3,9,61,76,7,0,156,360
47006,"Prince Albert/Prince Albert"," 46","Prince Albert",0,2,104,112,7,0,225,400
47006,"Prince Albert/Prince Albert"," 47","Prince Albert",0,7,120,84,4,0,215,413
47006,"Prince Albert/Prince Albert"," 48","Prince Albert",1,8,123,95,13,0,240,516
47006,"Prince Albert/Prince Albert"," 49","Prince Albert",0,3,93,69,5,0,170,401
47006,"Prince Albert/Prince Albert"," 50","Prince Albert",1,7,62,68,2,0,140,305
47006,"Prince Albert/Prince Albert"," 51","Prince Albert",0,3,82,56,6,0,147,400
47006,"Prince Albert/Prince Albert"," 52","Prince Albert",1,4,52,54,3,1,115,279
47006,"Prince Albert/Prince Albert"," 53","Prince Albert",0,6,161,93,9,2,271,521
47006,"Prince Albert/Prince Albert"," 54","Prince Albert",0,2,71,61,12,1,147,313
47006,"Prince Albert/Prince Albert"," 55","Prince Albert",0,2,104,67,8,0,181,363
47006,"Prince Albert/Prince Albert"," 56","Prince Albert",2,4,131,120,6,0,263,464
47006,"Prince Albert/Prince Albert"," 56-1","Prince Albert",1,1,65,54,2,0,123,341
47006,"Prince Albert/Prince Albert"," 57","Prince Albert",0,7,81,77,13,0,178,364
47006,"Prince Albert/Prince Albert"," 58","Prince Albert",2,6,99,69,6,3,185,419
47006,"Prince Albert/Prince Albert"," 59","Prince Albert",1,6,49,62,3,0,121,324
47006,"Prince Albert/Prince Albert"," 60","Prince Albert",1,3,77,70,3,0,154,348
47006,"Prince Albert/Prince Albert"," 61","Prince Albert",1,3,47,45,4,0,100,296
47006,"Prince Albert/Prince Albert"," 62","Prince Albert",0,3,59,57,4,1,124,265
47006,"Prince Albert/Prince Albert"," 63","Prince Albert",0,6,135,88,9,0,238,379
47006,"Prince Albert/Prince Albert"," 64","Prince Albert",0,7,97,73,2,0,179,333
