Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Heroux,Connie Laurin-Bowie,Lisa Raitt,Judi Remigio,Tony Rodrigues,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Halton/Halton"," 1","Milton",23,41,132,13,2,0,211,354
35030,"Halton/Halton"," 2","Milton",27,52,106,12,0,1,198,362
35030,"Halton/Halton"," 3","Milton",32,46,147,5,0,2,232,444
35030,"Halton/Halton"," 4","Milton",22,49,140,15,1,0,227,399
35030,"Halton/Halton"," 5","Milton",29,41,118,9,3,0,200,329
35030,"Halton/Halton"," 6","Milton",23,45,112,11,1,1,193,344
35030,"Halton/Halton"," 6-1","Milton",17,31,114,15,1,1,179,352
35030,"Halton/Halton"," 7","Milton",24,62,119,15,2,0,222,375
35030,"Halton/Halton"," 8","Milton",30,33,103,14,2,1,183,348
35030,"Halton/Halton"," 9","Milton",40,49,162,16,0,0,267,463
35030,"Halton/Halton"," 10","Milton",19,37,108,9,0,0,173,297
35030,"Halton/Halton"," 11","Milton",25,48,130,9,1,0,213,393
35030,"Halton/Halton"," 12","Milton",19,46,123,11,0,0,199,378
35030,"Halton/Halton"," 13","Milton",31,20,72,9,1,0,133,214
35030,"Halton/Halton"," 14","Milton",33,37,133,6,0,0,209,395
35030,"Halton/Halton"," 15","Milton",49,58,130,15,1,1,254,443
35030,"Halton/Halton"," 16","Milton",44,39,150,14,0,0,247,390
35030,"Halton/Halton"," 17","Milton",25,30,75,6,0,2,138,205
35030,"Halton/Halton"," 18","Milton",Merged with No. 17/Fusionné avec le nº 17,,,,,,,45
35030,"Halton/Halton"," 19","Milton",21,27,74,8,0,0,130,242
35030,"Halton/Halton"," 20","Milton",43,37,117,14,1,2,214,365
35030,"Halton/Halton"," 21","Milton",34,50,89,4,0,0,177,341
35030,"Halton/Halton"," 22","Milton",33,22,115,17,0,3,190,346
35030,"Halton/Halton"," 23","Milton",32,30,77,12,0,0,151,322
35030,"Halton/Halton"," 24","Milton",36,31,101,4,0,2,174,399
35030,"Halton/Halton"," 25","Milton",23,39,99,7,0,0,168,345
35030,"Halton/Halton"," 26","Milton",44,22,116,13,1,1,197,480
35030,"Halton/Halton"," 27","Milton",40,85,177,16,0,2,320,503
35030,"Halton/Halton"," 28","Milton",28,35,136,8,1,2,210,372
35030,"Halton/Halton"," 29","Milton",33,21,108,9,2,1,174,355
35030,"Halton/Halton"," 30","Milton",46,51,108,9,1,1,216,461
35030,"Halton/Halton"," 31","Milton",46,53,127,3,0,1,230,371
35030,"Halton/Halton"," 32A","Milton",61,89,162,13,2,1,328,580
35030,"Halton/Halton"," 32B","Milton",58,90,157,11,2,2,320,616
35030,"Halton/Halton"," 32C","Milton",55,90,165,15,1,0,326,610
35030,"Halton/Halton"," 32-1","Milton",75,115,229,6,2,0,427,825
35030,"Halton/Halton"," 32-2A","Milton",49,77,126,6,0,0,258,517
35030,"Halton/Halton"," 32-2B","Milton",73,62,141,4,0,1,281,553
35030,"Halton/Halton"," 32-3","Milton",26,20,66,8,4,0,124,431
35030,"Halton/Halton"," 33A","Milton",38,66,101,5,1,0,211,463
35030,"Halton/Halton"," 33B","Milton",52,55,100,8,1,0,216,479
35030,"Halton/Halton"," 34","Milton",53,57,153,11,1,0,275,508
35030,"Halton/Halton"," 35","Milton",30,57,113,6,0,0,206,410
35030,"Halton/Halton"," 36","Milton",36,30,69,6,2,1,144,296
35030,"Halton/Halton"," 37","Milton",27,54,117,9,1,0,208,383
35030,"Halton/Halton"," 38","Milton",46,61,118,4,0,1,230,453
35030,"Halton/Halton"," 39","Milton",30,35,101,5,2,1,174,329
35030,"Halton/Halton"," 40","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 41","Milton",48,51,125,13,0,0,237,412
35030,"Halton/Halton"," 42","Milton",40,43,165,10,1,2,261,451
35030,"Halton/Halton"," 43","Milton",50,22,118,17,0,2,209,437
35030,"Halton/Halton"," 44","Milton",20,27,83,10,0,1,141,315
35030,"Halton/Halton"," 45","Milton",44,34,102,15,5,0,200,379
35030,"Halton/Halton"," 46","Milton",53,75,141,16,0,0,285,496
35030,"Halton/Halton"," 47","Milton",41,61,136,7,0,0,245,428
35030,"Halton/Halton"," 48","Milton",36,29,153,10,0,2,230,430
35030,"Halton/Halton"," 49","Milton",33,41,135,13,0,0,222,388
35030,"Halton/Halton"," 50","Milton",26,37,76,8,3,1,151,324
35030,"Halton/Halton"," 51","Milton",38,32,109,11,0,0,190,375
35030,"Halton/Halton"," 52","Milton",33,27,72,11,3,0,146,326
35030,"Halton/Halton"," 53","Milton",39,69,124,7,0,1,240,417
35030,"Halton/Halton"," 54","Milton",44,58,169,10,3,2,286,499
35030,"Halton/Halton"," 55","Milton",63,38,139,4,1,3,248,445
35030,"Halton/Halton"," 56","Milton",50,65,172,15,2,0,304,491
35030,"Halton/Halton"," 57","Milton",58,52,154,20,1,0,285,460
35030,"Halton/Halton"," 57-1A","Milton",55,50,118,9,1,0,233,566
35030,"Halton/Halton"," 57-1B","Milton",66,50,101,18,1,0,236,592
35030,"Halton/Halton"," 57-2","Milton",35,65,83,4,2,0,189,510
35030,"Halton/Halton"," 57-3","Milton",51,81,131,8,0,2,273,550
35030,"Halton/Halton"," 57-4","Milton",54,95,147,7,0,5,308,612
35030,"Halton/Halton"," 57-5A","Milton",17,55,85,6,2,1,166,408
35030,"Halton/Halton"," 57-5B","Milton",41,47,96,4,0,2,190,421
35030,"Halton/Halton"," 58","Milton",21,62,140,0,3,0,226,409
35030,"Halton/Halton"," 58-1","Milton",29,42,94,6,0,0,171,323
35030,"Halton/Halton"," 59","Milton",57,64,126,17,1,1,266,481
35030,"Halton/Halton"," 60","Milton",33,44,126,6,1,0,210,467
35030,"Halton/Halton"," 61","Milton",35,38,96,4,0,1,174,333
35030,"Halton/Halton"," 62","Milton",51,56,145,5,0,0,257,505
35030,"Halton/Halton"," 63","Milton",71,68,186,10,0,1,336,789
35030,"Halton/Halton"," 63-1","Milton",42,66,97,6,1,1,213,465
35030,"Halton/Halton"," 63-2","Milton",41,77,157,9,5,2,291,558
35030,"Halton/Halton"," 63-3","Milton",43,58,152,8,1,1,263,544
35030,"Halton/Halton"," 63-4","Milton",53,46,96,4,0,3,202,453
35030,"Halton/Halton"," 63-5","Milton",69,87,141,5,0,3,305,646
35030,"Halton/Halton"," 63-6","Milton",40,61,105,3,1,0,210,444
35030,"Halton/Halton"," 64","Milton",31,34,79,6,0,0,150,316
35030,"Halton/Halton"," 65","Milton",49,68,157,10,0,3,287,519
35030,"Halton/Halton"," 66","Milton",50,41,124,6,0,0,221,466
35030,"Halton/Halton"," 67","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 68","Milton",87,79,207,13,0,1,387,721
35030,"Halton/Halton"," 68-1","Milton",45,44,64,4,4,1,162,359
35030,"Halton/Halton"," 69","Milton",24,27,80,9,0,0,140,294
35030,"Halton/Halton"," 70","Milton",37,45,120,6,0,4,212,437
35030,"Halton/Halton"," 71","Milton",29,36,100,13,3,1,182,411
35030,"Halton/Halton"," 72","Milton",36,49,93,13,0,1,192,386
35030,"Halton/Halton"," 73","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 74","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 75","Milton",21,43,112,9,1,0,186,353
35030,"Halton/Halton"," 76","Milton",27,49,117,4,2,0,199,381
35030,"Halton/Halton"," 77","Milton",23,57,122,3,1,0,206,421
35030,"Halton/Halton"," 78","Milton",25,47,103,7,0,3,185,367
35030,"Halton/Halton"," 78-1","Milton",32,36,100,6,1,0,175,389
35030,"Halton/Halton"," 79","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 80","Milton",35,43,90,9,0,0,177,354
35030,"Halton/Halton"," 81","Milton",23,29,82,6,0,2,142,344
35030,"Halton/Halton"," 82","Milton",28,44,115,8,0,2,197,384
35030,"Halton/Halton"," 83","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 84","Milton",27,14,63,7,0,0,111,300
35030,"Halton/Halton"," 85","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 86A","Milton",43,48,83,3,0,0,177,388
35030,"Halton/Halton"," 86B","Milton",29,40,92,7,0,1,169,414
35030,"Halton/Halton"," 86-1","Milton",43,55,120,6,2,1,227,503
35030,"Halton/Halton"," 86-2","Milton",39,58,140,7,1,1,246,465
35030,"Halton/Halton"," 86-3","Milton",27,42,150,3,0,0,222,470
35030,"Halton/Halton"," 86-4","Milton",33,52,106,8,1,3,203,391
35030,"Halton/Halton"," 86-5","Milton",24,46,86,6,3,0,165,310
