Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Draper,John Duncan,Mike Holland,Ronna-Rae Leonard,Frank Martin,Sue Moen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Vancouver Island North/Île de Vancouver-Nord"," 1","Dawsons Landing",0,5,0,2,0,0,0,7,11
59031,"Vancouver Island North/Île de Vancouver-Nord"," 2","Oweekeno",0,2,0,12,0,4,0,18,39
59031,"Vancouver Island North/Île de Vancouver-Nord"," 3","Quatsino",0,17,1,6,0,2,0,26,35
59031,"Vancouver Island North/Île de Vancouver-Nord"," 4","Holberg",0,19,3,9,0,4,4,39,61
59031,"Vancouver Island North/Île de Vancouver-Nord"," 5","Coal Harbour",1,42,4,58,0,9,1,115,236
59031,"Vancouver Island North/Île de Vancouver-Nord"," 6","Port Hardy",0,58,2,46,1,4,0,111,224
59031,"Vancouver Island North/Île de Vancouver-Nord"," 7","Port Hardy",0,7,1,31,0,0,0,39,223
59031,"Vancouver Island North/Île de Vancouver-Nord"," 8","Port Hardy",0,86,2,76,0,10,0,174,359
59031,"Vancouver Island North/Île de Vancouver-Nord"," 9","Port Hardy",1,47,10,46,0,4,0,108,233
59031,"Vancouver Island North/Île de Vancouver-Nord"," 10","Port Hardy",0,46,2,30,0,3,0,81,175
59031,"Vancouver Island North/Île de Vancouver-Nord"," 11","Port Hardy",0,45,5,39,1,3,0,93,224
59031,"Vancouver Island North/Île de Vancouver-Nord"," 12","Port Hardy",1,48,5,55,1,6,0,116,394
59031,"Vancouver Island North/Île de Vancouver-Nord"," 13","Port Hardy",0,29,6,35,0,1,0,71,147
59031,"Vancouver Island North/Île de Vancouver-Nord"," 14","Port Hardy",0,33,4,43,0,6,0,86,220
59031,"Vancouver Island North/Île de Vancouver-Nord"," 15","Port Hardy",1,51,5,48,0,3,1,109,229
59031,"Vancouver Island North/Île de Vancouver-Nord"," 16","Port Hardy",0,77,5,55,0,8,0,145,280
59031,"Vancouver Island North/Île de Vancouver-Nord"," 17A","Port Hardy",1,34,4,56,0,7,0,102,296
59031,"Vancouver Island North/Île de Vancouver-Nord"," 17B","Port Hardy",1,45,9,57,0,5,0,117,308
