Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodrigo Alfaro,Sana Hassainia,Thomas Lapierre,Luc Malo,Pier-Luc Therrien-Péloquin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,1,Contrecoeur,30,117,7,170,37,1,362,541
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,2,Contrecoeur,11,56,7,75,20,2,171,310
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,3,Contrecoeur,22,91,0,94,9,2,218,367
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 3-1,Contrecoeur,16,49,2,71,10,1,149,302
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,4,Contrecoeur,26,95,6,149,11,1,288,527
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,5,Contrecoeur,21,69,3,122,9,0,224,422
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,6,Contrecoeur,15,66,7,94,11,3,196,405
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,7,Contrecoeur,6,59,6,96,5,3,175,353
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,8,Contrecoeur,9,56,3,75,6,0,149,347
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,9,Contrecoeur,17,87,4,131,9,4,252,450
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,10,Contrecoeur,14,79,2,114,10,5,224,450
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,11,Contrecoeur,22,119,5,154,12,6,318,517
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,12,Verchères,14,80,5,56,14,3,172,300
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,13,Verchères,31,99,10,146,12,6,304,509
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,14,Verchères,18,109,6,109,11,3,256,449
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,15,Verchères,11,71,5,90,12,6,195,404
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,16,Verchères,18,143,11,142,19,7,340,560
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,17,Verchères,18,102,8,129,15,6,278,446
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,18,Verchères,20,108,10,121,13,3,275,430
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 18-1,Verchères,13,139,8,145,13,9,327,550
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,19,Verchères,16,115,7,117,18,8,281,456
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,20,Verchères,19,68,1,55,18,4,165,264
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,21,Calixa-Lavallée,17,107,11,130,20,10,295,405
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,22,Saint-Antoine-sur-Richelieu,22,85,7,123,19,0,256,366
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,23,Saint-Antoine-sur-Richelieu,8,29,0,34,8,0,79,111
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,24,Saint-Denis-sur-Richelieu,15,165,8,113,18,7,326,529
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,25,Saint-Denis-sur-Richelieu,20,138,3,97,11,5,274,397
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,26,Saint-Denis-sur-Richelieu,9,75,14,96,4,3,201,290
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,27,Saint-Antoine-sur-Richelieu,26,135,7,134,10,8,320,463
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,28,Saint-Antoine-sur-Richelieu,17,108,9,109,26,2,271,392
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,29,Saint-Denis-sur-Richelieu,37,156,11,139,18,8,369,597
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,30,Saint-Marc-sur-Richelieu,17,106,4,96,8,6,237,401
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,31,Saint-Marc-sur-Richelieu,28,130,7,104,27,5,301,455
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,32,Saint-Marc-sur-Richelieu,24,118,10,97,16,6,271,439
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,33,Saint-Marc-sur-Richelieu,22,122,9,84,25,5,267,395
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,34,Saint-Charles-sur-Richelieu,33,120,5,115,22,2,297,508
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,35,Saint-Charles-sur-Richelieu,17,87,8,86,16,3,217,347
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,36,Saint-Charles-sur-Richelieu,10,96,7,82,13,2,210,430
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,37,Saint-Charles-sur-Richelieu,8,46,1,28,5,3,91,170
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,38,Varennes,27,141,7,107,16,4,302,495
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,39,Varennes,18,50,0,30,23,0,121,190
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,40,Varennes,14,100,4,91,18,2,229,431
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,41,Varennes,24,92,6,80,15,0,217,372
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,42,Varennes,16,76,2,67,16,5,182,354
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,43,Varennes,9,66,6,71,9,3,164,386
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,44,Varennes,8,43,3,52,15,1,122,289
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,45,Varennes,5,72,6,77,10,2,172,355
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,46,Varennes,16,136,7,104,29,4,296,529
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 46-1,Varennes,19,55,4,33,10,6,127,273
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,47,Varennes,21,60,1,66,5,5,158,370
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,48,Varennes,18,93,3,82,8,0,204,395
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,49,Varennes,20,80,5,76,16,3,200,349
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,50,Varennes,22,100,6,96,14,6,244,402
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,51,Varennes,15,103,7,102,11,5,243,413
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,52,Varennes,7,127,8,127,18,5,292,490
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,53,Varennes,9,93,6,97,16,0,221,359
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,54,Varennes,17,133,9,91,14,5,269,473
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,55,Varennes,8,102,3,48,9,4,174,289
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,56,Varennes,9,133,9,80,22,4,257,403
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,57,Varennes,20,140,6,103,33,5,307,476
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,58,Varennes,17,185,4,134,26,3,369,588
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,59,Varennes,13,93,5,101,23,5,240,442
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,60,Varennes,29,143,2,134,23,3,334,533
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,61,Varennes,22,124,6,116,23,4,295,474
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,62,Varennes,16,117,10,99,28,7,277,444
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,63,Varennes,17,149,6,94,23,0,289,535
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,64,Varennes,12,128,7,126,19,4,296,508
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,65,Varennes,18,108,6,111,20,4,267,426
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,66,Varennes,17,105,7,114,15,9,267,461
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,67,Varennes,12,87,4,105,11,2,221,470
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 68A,Varennes,14,68,4,71,9,1,167,313
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 68B,Varennes,7,90,6,65,13,1,182,290
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,69,Varennes,22,71,6,61,17,3,180,357
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,70,Varennes,10,57,2,62,7,1,139,240
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,71,Varennes,13,97,3,74,20,3,210,383
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 71-1A,Varennes,8,71,3,44,8,0,134,295
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 71-1B,Varennes,12,95,5,45,12,4,173,310
24074,Verchères--Les Patriotes/Verchères--Les Patriotes, 71-2,Varennes,18,95,4,58,16,5,196,365
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,72,Varennes,8,67,3,61,11,3,153,299
