Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandra Finley,Darren Hill,Denise Kouri,Jim Pankiw,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 1","St. Louis",8,4,109,4,87,0,212,374
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 2","St-Laurent-Grandin",2,8,59,0,98,0,167,301
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 3","St-Isidore-de-Bellevue",7,3,59,1,75,0,145,214
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 4","Batoche",Void/Supprimé,,,,,,,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 5","Domremy",1,5,48,6,110,1,171,254
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 6","One Arrow 95",1,4,20,0,11,0,36,94
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 7","Sokal",3,1,21,12,45,0,82,123
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 8","Bonne Madone",2,4,39,6,86,1,138,198
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 9","Wakaw",1,5,23,2,36,1,68,142
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 10","Wakaw",1,10,57,9,112,1,190,311
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 11","Wakaw",6,5,51,7,141,0,210,461
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 12","Cudworth",0,5,12,2,92,0,111,164
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 13","Cudworth",0,3,33,2,105,0,143,212
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 14","Cudworth",5,8,65,14,151,0,243,390
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 15","Waitville",0,2,26,2,65,0,95,140
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 16","Crystal Springs",0,6,26,4,68,0,104,163
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 17","Tarnopol",0,3,20,5,48,0,76,116
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 18","St. Brieux",1,1,13,2,81,0,98,171
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 19","St. Brieux",3,4,26,5,229,0,267,395
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 20","St. Brieux",1,4,16,1,75,1,98,153
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 21","Pleasantdale",4,3,25,4,78,0,114,208
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 22","Kinistin 91",3,10,58,3,27,1,102,143
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 23","Naicam",2,6,31,2,155,0,196,249
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 24","Naicam",4,6,44,4,126,0,184,362
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 25","Naicam",2,2,27,3,80,0,114,214
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 26","Spalding",3,1,23,6,86,0,119,200
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 27","Spalding",2,0,27,3,79,0,111,146
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 28","Smuts",3,7,39,3,67,0,119,224
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 29","Aberdeen",2,3,41,3,125,0,174,306
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 30","Aberdeen",11,14,65,9,154,0,253,455
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 31","Bergheim",6,17,74,6,197,0,300,432
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 32","Vonda",18,11,48,8,168,0,253,433
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 33","Prud'homme",3,4,48,3,98,2,158,242
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 34","Dana",0,2,10,1,34,0,47,113
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 35","Peterson",2,5,35,4,62,1,109,144
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 36","St. Benedict",2,8,15,5,103,0,133,203
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 37","Middle Lake",0,8,36,3,113,1,161,280
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 38","Middle Lake",3,3,19,6,93,1,125,226
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 39","Fulda",3,5,13,2,81,0,104,168
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 40","Lake Lenore",1,6,19,8,174,0,208,312
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 41","Bruno",3,7,12,7,66,1,96,145
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 42","Bruno",3,7,58,3,136,0,207,330
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 43","Bruno",0,2,32,3,72,1,110,158
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 44","Dixon",4,13,32,8,182,1,240,340
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 45","Humboldt",0,13,45,7,117,0,182,251
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 46","Humboldt",5,11,45,3,203,0,267,430
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 47","Humboldt",4,17,52,6,145,1,225,378
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 48","Humboldt",5,12,32,2,126,0,177,289
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 49","Humboldt",3,22,86,6,190,0,307,532
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50A","Humboldt",5,8,38,5,92,0,148,329
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50B","Humboldt",8,3,38,2,91,2,144,334
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50C","Humboldt",3,9,40,3,81,0,136,313
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50D","Humboldt",5,12,52,5,98,0,172,377
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 51","Humboldt",3,5,38,7,72,0,125,232
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 52","Humboldt",2,11,35,3,88,1,140,247
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 53","Humboldt",3,10,43,7,103,0,166,296
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 54","Humboldt",4,11,42,5,128,0,190,303
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 55","Annaheim",5,3,34,2,158,0,202,282
