Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karen Gventer,Emma Hogbin,Kimberley Love,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",48,36,45,120,0,249,434
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",53,34,38,120,0,245,430
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","Miller Lake West",54,43,36,183,6,322,509
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Stokes Bay",49,34,27,151,1,262,514
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Lion's Head",39,25,19,120,0,203,403
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Lion's Head",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Pike Bay",37,15,22,128,0,202,445
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",27,25,36,143,1,232,459
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","South Bruce Peninsula",48,18,45,155,0,266,441
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","South Bruce Peninsula",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","South Bruce Peninsula",15,8,30,109,0,162,344
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","South Bruce Peninsula",42,13,22,140,0,217,371
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","South Bruce Peninsula",131,19,39,21,0,210,382
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14","South Bruce Peninsula",48,27,27,137,0,239,468
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14-1","South Bruce Peninsula",27,14,31,94,0,166,287
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",38,24,15,96,0,173,413
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 16","South Bruce Peninsula",32,21,29,104,1,187,364
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17","South Bruce Peninsula",21,13,16,56,0,106,301
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 18","South Bruce Peninsula",41,23,13,116,0,193,414
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19","South Bruce Peninsula",27,12,9,67,0,115,271
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20","South Bruce Peninsula",21,5,15,98,0,139,292
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 21","Oxenden",26,30,35,163,3,257,495
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 22","Zion",50,22,28,120,2,222,450
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 23","Big Bay",23,21,43,84,0,171,254
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 24","South Bruce Peninsula",37,11,27,85,1,161,304
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 25","South Bruce Peninsula",48,20,20,122,1,211,391
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 26","South Bruce Peninsula",26,15,31,113,0,185,361
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 27","South Bruce Peninsula",42,25,28,205,1,301,500
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 28","South Bruce Peninsula",36,18,6,131,0,191,353
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 29","Cruickshank",30,34,32,237,2,335,505
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 30","Shallow Lake",35,13,15,138,1,202,383
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 31","Keppel",43,30,22,196,2,293,527
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 32","Keppel",32,25,34,193,0,284,512
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 33","Lindenwood",57,41,23,144,0,265,459
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 34","Hogg",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 35","East Linton",45,18,40,131,3,237,430
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 36","Balmy Beach",32,28,59,136,3,258,458
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 37","Sarawak",14,21,35,74,2,146,267
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 38","Sarawak",44,17,35,166,0,262,444
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 39","Sarawak",40,18,20,80,3,161,299
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 40","Sarawak",58,32,30,129,2,251,449
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Derby",14,20,11,121,1,167,263
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Derby",45,19,31,110,0,205,357
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Derby",41,29,47,144,0,261,426
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Derby",48,17,25,134,0,224,412
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 45","Sydenham",64,18,24,130,2,238,471
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 46","Sydenham",25,21,32,95,0,173,338
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 47","Sydenham",30,24,25,88,1,168,288
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 48","Sydenham",63,40,76,168,1,348,632
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 49","Owen Sound",51,14,14,70,2,151,439
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 50","Owen Sound",41,30,32,117,1,221,418
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 51","Owen Sound",54,29,59,141,2,285,480
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 52","Owen Sound",47,28,30,111,2,218,392
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 53","Owen Sound",Void/Supprimé,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 54","Owen Sound",15,29,24,67,0,135,289
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55","Owen Sound",26,17,21,64,0,128,277
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 56","Owen Sound",55,10,35,74,1,175,321
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 57","Owen Sound",34,29,21,86,1,171,427
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 58","Owen Sound",43,27,30,64,2,166,347
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 59","Owen Sound",32,27,26,71,0,156,349
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 60","Owen Sound",23,31,37,53,2,146,331
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 61","Owen Sound",38,28,26,95,0,187,454
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 62","Owen Sound",43,33,34,78,1,189,373
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 63","Owen Sound",46,38,42,109,0,235,454
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 64","Owen Sound",24,35,18,44,1,122,375
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 65","Owen Sound",26,25,60,70,0,181,308
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 66","Owen Sound",35,32,67,145,3,282,443
