Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Bédard,Michel-Eric Castonguay,Robert Gauthier,Michel Guimond,Jonathan Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 1","Colombier",4,9,2,37,31,0,83,143
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 2","Colombier",Void/Supprimé,,,,,,,
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 3","Colombier",0,24,4,87,63,3,181,359
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 4","Saint-Marc-de-Latour",7,7,7,39,29,0,89,131
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 5","Forestville",1,23,3,92,55,2,176,507
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 6","Forestville",4,14,10,58,72,5,163,342
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 7","Forestville",4,11,9,67,56,3,150,348
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 8","Forestville",2,21,5,49,38,3,118,392
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 9","Forestville",2,17,3,63,76,0,161,400
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 10","Forestville",3,17,5,63,54,4,146,407
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 11","Forestville",2,4,4,35,61,3,109,359
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 12","Sainte-Anne-de-Portneuf",1,15,3,45,39,1,104,209
