Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hartman,Will Morin,J. David Popescu,Fred Slade,Glenn Thibeault,Fred Twilley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Sudbury/Sudbury"," 1","Walden",9,1,0,48,50,4,0,112,265
35088,"Sudbury/Sudbury"," 2","Walden",13,1,0,106,147,9,0,276,436
35088,"Sudbury/Sudbury"," 3","Walden",25,0,0,94,125,10,1,255,437
35088,"Sudbury/Sudbury"," 4","Walden",10,0,1,87,95,2,1,196,360
35088,"Sudbury/Sudbury"," 5","Walden",19,1,0,61,111,9,0,201,352
35088,"Sudbury/Sudbury"," 6","Walden",8,0,1,60,89,6,0,164,255
35088,"Sudbury/Sudbury"," 7","Walden",22,0,1,106,146,14,0,289,471
35088,"Sudbury/Sudbury"," 8","Walden",8,2,0,23,76,1,0,110,225
35088,"Sudbury/Sudbury"," 9","Lively",24,0,0,88,110,7,0,229,487
35088,"Sudbury/Sudbury"," 10","Lively",11,4,0,43,85,6,0,149,322
35088,"Sudbury/Sudbury"," 11","Lively",14,1,0,45,95,7,0,162,335
35088,"Sudbury/Sudbury"," 12","Lively",18,0,0,61,64,3,0,146,292
35088,"Sudbury/Sudbury"," 13","Lively",44,1,0,89,161,3,1,299,480
35088,"Sudbury/Sudbury"," 14","Lively",15,1,0,37,69,4,0,126,221
35088,"Sudbury/Sudbury"," 15","Walden",25,3,0,104,146,11,0,289,523
35088,"Sudbury/Sudbury"," 16","Walden",26,0,0,82,82,5,1,196,314
35088,"Sudbury/Sudbury"," 16-1","Walden",17,0,0,52,66,6,0,141,254
35088,"Sudbury/Sudbury"," 17","Walden",25,1,1,89,118,7,1,242,417
35088,"Sudbury/Sudbury"," 18","Walden",41,0,1,116,103,8,1,270,464
35088,"Sudbury/Sudbury"," 19","Walden",52,0,0,149,152,10,0,363,593
35088,"Sudbury/Sudbury"," 20","Walden",12,0,0,77,47,6,0,142,282
35088,"Sudbury/Sudbury"," 20-1","Walden",31,0,0,86,79,8,0,204,339
35088,"Sudbury/Sudbury"," 21","Sudbury",20,1,0,35,84,3,0,143,316
35088,"Sudbury/Sudbury"," 22","Sudbury",14,0,0,38,93,6,0,151,301
35088,"Sudbury/Sudbury"," 23","Sudbury",29,2,0,55,100,7,2,195,314
35088,"Sudbury/Sudbury"," 24","Sudbury",10,1,0,45,135,6,0,197,316
