Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Duchaine,Nicolas Dufour,Jean-François Larose,Chantal Perreault,Christophe Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Repentigny/Repentigny"," 1","Saint-Gérard-Majella",3,83,152,13,22,7,280,510
24053,"Repentigny/Repentigny"," 2A","Saint-Gérard-Majella",4,51,116,20,7,4,202,366
24053,"Repentigny/Repentigny"," 2B","Saint-Gérard-Majella",2,55,111,7,16,5,196,351
24053,"Repentigny/Repentigny"," 2-1A","Saint-Gérard-Majella",9,47,105,4,11,6,182,315
24053,"Repentigny/Repentigny"," 2-1B","Saint-Gérard-Majella",6,47,97,9,11,2,172,342
24053,"Repentigny/Repentigny"," 3","Saint-Gérard-Majella",1,40,78,11,12,2,144,259
24053,"Repentigny/Repentigny"," 3-1","Saint-Gérard-Majella",4,66,164,20,16,6,276,491
24053,"Repentigny/Repentigny"," 4","Saint-Gérard-Majella",3,87,157,8,16,3,274,462
24053,"Repentigny/Repentigny"," 5","Saint-Gérard-Majella",2,63,93,9,17,3,187,342
24053,"Repentigny/Repentigny"," 6","Saint-Gérard-Majella",4,66,155,11,22,5,263,463
24053,"Repentigny/Repentigny"," 7","Saint-Gérard-Majella",8,87,166,12,13,14,300,547
24053,"Repentigny/Repentigny"," 8","L'Assomption",24,47,121,5,15,3,215,401
24053,"Repentigny/Repentigny"," 9","L'Assomption",8,93,177,23,20,3,324,475
24053,"Repentigny/Repentigny"," 10A","L'Assomption",3,45,97,6,9,4,164,273
24053,"Repentigny/Repentigny"," 10B","L'Assomption",3,44,83,9,14,4,157,296
24053,"Repentigny/Repentigny"," 11","L'Assomption",4,46,83,10,14,1,158,312
24053,"Repentigny/Repentigny"," 12A","L'Assomption",0,63,91,17,9,3,183,317
24053,"Repentigny/Repentigny"," 12B","L'Assomption",2,50,101,1,16,1,171,318
24053,"Repentigny/Repentigny"," 13","L'Assomption",11,56,80,17,16,1,181,275
24053,"Repentigny/Repentigny"," 14","L'Assomption",4,83,113,10,24,4,238,436
24053,"Repentigny/Repentigny"," 15","L'Assomption",7,76,106,14,29,7,239,513
24053,"Repentigny/Repentigny"," 16","L'Assomption",6,73,112,15,11,1,218,411
24053,"Repentigny/Repentigny"," 17","L'Assomption",7,56,103,15,13,2,196,367
24053,"Repentigny/Repentigny"," 18","L'Assomption",8,49,88,14,11,4,174,375
24053,"Repentigny/Repentigny"," 19","L'Assomption",4,19,63,9,3,1,99,240
24053,"Repentigny/Repentigny"," 20","L'Assomption",5,41,62,7,8,1,124,356
24053,"Repentigny/Repentigny"," 21","L'Assomption",8,63,91,13,4,0,179,366
24053,"Repentigny/Repentigny"," 22","L'Assomption",7,44,95,15,10,3,174,359
24053,"Repentigny/Repentigny"," 23","L'Assomption",2,36,72,11,14,1,136,244
24053,"Repentigny/Repentigny"," 24","L'Assomption",7,80,148,18,9,2,264,462
24053,"Repentigny/Repentigny"," 25","L'Assomption",6,60,73,10,8,5,162,419
24053,"Repentigny/Repentigny"," 26","L'Assomption",6,47,95,13,5,5,171,406
24053,"Repentigny/Repentigny"," 27","L'Assomption",9,86,170,17,21,1,304,545
24053,"Repentigny/Repentigny"," 27-1","L'Assomption",0,47,104,12,11,4,178,305
24053,"Repentigny/Repentigny"," 27-2A","L'Assomption",0,65,135,15,9,3,227,401
24053,"Repentigny/Repentigny"," 27-2B","L'Assomption",5,62,124,11,9,4,215,409
24053,"Repentigny/Repentigny"," 27-3A","L'Assomption",6,65,141,27,13,2,254,481
