Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzie Grenon,Steven Hébert,Marc Lemay,Christine Moore,Patrick Rochon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Val-Paradis",8,5,47,58,3,1,122,225
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Beaucanton",1,9,40,46,1,1,98,183
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Villebois",6,9,43,61,3,1,123,191
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Saint-Lambert",3,10,19,55,0,0,87,174
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Normétal",3,19,50,60,0,0,132,323
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",9,18,69,72,1,4,173,359
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Saint-Vital-de-Clermont",6,26,43,111,3,2,191,380
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8","Val-Saint-Gilles",7,5,25,42,0,1,80,170
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","La Reine",14,13,30,103,1,3,164,259
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Dupuy",10,12,34,86,2,4,148,279
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Dupuy",10,28,81,146,1,5,271,448
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Sarre",4,24,64,145,1,6,244,506
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","La Sarre",6,19,45,92,0,3,165,347
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","La Sarre",5,15,57,100,4,0,181,364
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Chazel",5,13,21,61,0,0,100,224
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Sarre",Void/Supprimé,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","La Sarre",Void/Supprimé,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","La Sarre",16,19,105,175,3,9,327,577
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18-1","La Sarre",7,16,56,95,2,2,178,373
