Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Clement,Denali Enns,Steven Fletcher,Tom Paulley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 1","Winnipeg",33,16,222,47,2,320,519
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 1-1","Winnipeg",25,5,128,21,1,180,304
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 2","Winnipeg",39,6,128,66,1,240,427
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 3","Winnipeg",40,5,161,64,0,270,424
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 4","Winnipeg",19,3,101,45,0,168,373
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 5","Winnipeg",13,4,87,45,1,150,300
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 6","Winnipeg",20,7,82,47,0,156,315
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 7","Winnipeg",23,10,96,49,1,179,352
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 8","Winnipeg",26,5,106,63,1,201,372
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 9","Winnipeg",14,7,69,34,0,124,307
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 10","Winnipeg",21,6,121,63,1,212,368
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 11","Winnipeg",27,10,146,66,3,252,419
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 12","Winnipeg",27,5,99,38,0,169,287
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 13","Winnipeg",35,13,87,68,0,203,416
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 14","Winnipeg",28,8,116,53,0,205,383
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 15","Winnipeg",28,3,122,53,0,206,339
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 16","Winnipeg",26,8,89,62,3,188,374
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 17","Winnipeg",36,7,131,55,2,231,381
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 18","Winnipeg",25,10,108,56,0,199,370
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 19","Winnipeg",20,3,114,58,0,195,334
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 20","Winnipeg",11,1,76,30,0,118,264
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 21","Winnipeg",9,4,51,31,0,95,302
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 22","Winnipeg",11,3,58,32,0,104,226
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 23","Winnipeg",26,6,124,41,1,198,399
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 24","Winnipeg",19,11,111,33,0,174,336
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 25","Winnipeg",30,7,115,49,0,201,385
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 26","Headingley",32,17,224,41,1,315,491
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27","Headingley",52,12,240,36,0,340,569
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27-1","Headingley",26,8,143,36,1,214,315
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 28","Winnipeg",58,8,173,36,0,275,438
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 29","Winnipeg",34,14,113,37,1,199,391
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 30","Winnipeg",45,8,154,30,0,237,379
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 31","Winnipeg",60,9,170,30,1,270,447
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 32","Winnipeg",42,8,114,27,0,191,325
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 33","Winnipeg",15,7,54,58,1,135,266
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 34","Winnipeg",47,3,117,26,0,193,330
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 35","Winnipeg",17,6,68,37,0,128,293
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 36","Winnipeg",13,6,62,22,0,103,282
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 37","Winnipeg",14,11,64,25,2,116,262
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 38","Winnipeg",44,5,116,44,0,209,391
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 39","Winnipeg",44,17,146,61,2,270,456
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 40","Winnipeg",73,10,152,58,2,295,518
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 41","Winnipeg",30,16,106,34,0,186,343
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 42","Winnipeg",45,11,107,34,1,198,389
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 43","Winnipeg",36,8,127,40,1,212,342
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 44","Winnipeg",17,10,105,30,0,162,347
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 45","Winnipeg",53,9,124,30,2,218,398
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 46","Winnipeg",34,7,131,33,1,206,364
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 47","Winnipeg",38,8,107,44,1,198,365
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 48","Winnipeg",33,7,134,37,0,211,381
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 49","Winnipeg",30,12,127,38,1,208,377
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 50","Winnipeg",37,13,122,42,0,214,392
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 51","Winnipeg",24,7,89,55,1,176,310
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 52","Winnipeg",45,3,179,61,0,288,462
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 53","Winnipeg",20,9,115,38,1,183,363
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 54","Winnipeg",20,4,108,53,1,186,458
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 55","Winnipeg",44,9,135,29,1,218,338
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 56","Winnipeg",25,5,145,43,0,218,373
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 57","Winnipeg",29,2,105,66,1,203,435
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 58","Winnipeg",35,6,115,64,1,221,355
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 59","Winnipeg",19,8,124,44,2,197,323
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 60","Winnipeg",21,9,95,23,0,148,265
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 61","Winnipeg",45,5,107,33,0,190,296
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 62","Winnipeg",22,5,76,55,1,159,342
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 63","Winnipeg",28,5,108,39,0,180,331
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 64","Winnipeg",19,5,136,64,1,225,405
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 65","Winnipeg",37,11,114,25,4,191,324
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 66","Winnipeg",31,7,101,55,0,194,463
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 67","Winnipeg",17,5,115,42,0,179,303
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 68","Winnipeg",42,7,110,42,1,202,310
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 69","Winnipeg",32,9,62,47,0,150,451
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 70","Winnipeg",Void/Supprimé,,,,,,
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 71","Winnipeg",45,12,102,31,2,192,284
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 72","Winnipeg",21,14,103,57,0,195,415
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 73","Winnipeg",27,7,91,30,2,157,397
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 74","Winnipeg",27,2,98,38,1,166,322
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 75","Winnipeg",29,3,99,53,1,185,371
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 76","Winnipeg",25,7,84,60,1,177,407
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 77","Winnipeg",17,10,94,52,0,173,353
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 78","Winnipeg",41,7,126,42,0,216,341
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 79","Winnipeg",52,6,86,43,0,187,309
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 80","Winnipeg",41,11,106,55,0,213,341
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 81","Winnipeg",37,7,181,57,2,284,408
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 82","Winnipeg",24,7,101,25,0,157,296
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 83","Winnipeg",30,5,102,67,0,204,326
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 84","Winnipeg",13,7,84,36,0,140,259
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 85","Winnipeg",51,15,126,46,0,238,379
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 86","Winnipeg",56,12,113,51,0,232,426
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 87","Winnipeg",29,12,117,48,2,208,374
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 88","Winnipeg",34,9,114,61,3,221,349
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 89","Winnipeg",64,4,137,62,0,267,382
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 90","Winnipeg",20,10,86,44,0,160,319
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 91","Winnipeg",46,4,88,65,1,204,410
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 92","Winnipeg",38,12,116,50,1,217,382
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 93","Winnipeg",54,10,133,62,0,259,479
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 94","Winnipeg",42,5,74,33,0,154,321
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 95","Winnipeg",39,7,84,51,0,181,368
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 96","Winnipeg",33,3,81,28,1,146,339
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 97","Winnipeg",35,15,149,53,1,253,457
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 98","Winnipeg",25,11,144,48,0,228,433
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 99","Winnipeg",38,4,128,40,1,211,365
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 100","Winnipeg",29,12,113,51,0,205,361
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 101","Winnipeg",32,8,92,47,1,180,352
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 102","Winnipeg",57,7,116,48,1,229,389
