Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Cadieux,Guy Caron,Bertin Denis,Claude Guimond,Clément Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 1","Pointe-au-Père",14,117,23,84,7,4,249,463
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 2","Pointe-au-Père",19,108,16,70,3,3,219,337
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 2-1","Rimouski",11,98,25,57,3,1,195,314
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 3A","Saint-Anaclet-de-Lessard",8,89,22,71,4,2,196,325
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 3B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,30
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4A","Pointe-au-Père",5,81,11,41,2,0,140,208
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4B","Pointe-au-Père",3,65,10,56,2,1,137,214
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 5","Pointe-au-Père",26,146,16,95,11,0,294,466
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 6","Pointe-au-Père",16,147,20,101,3,1,288,467
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 7","Pointe-au-Père",19,117,26,78,8,0,248,413
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 8","Pointe-au-Père",16,80,10,72,4,2,184,337
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 9","Rimouski-Est",8,96,24,73,7,1,209,355
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 10","Rimouski-Est",25,106,27,74,2,4,238,347
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 11","Rimouski-Est",19,73,14,60,1,0,167,298
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 12","Rimouski-Est",5,31,14,37,0,0,87,170
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 13","Rimouski-Est",11,68,11,42,3,2,137,261
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 14","Saint-Anaclet-de-Lessard",27,150,14,120,13,3,327,506
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 15","Saint-Anaclet-de-Lessard",15,114,20,139,7,1,296,527
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 16","Saint-Anaclet-de-Lessard",22,137,31,130,5,5,330,506
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 17","Saint-Anaclet-de-Lessard",12,111,18,85,7,3,236,397
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 18","Rimouski",37,134,12,128,6,5,322,500
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 19","Rimouski",33,84,31,54,5,2,209,442
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 20","Rimouski",13,62,17,35,4,1,132,288
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 21","Rimouski",16,56,18,48,9,1,148,308
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 22","Rimouski",8,42,8,28,6,1,93,208
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 23","Rimouski",17,72,11,51,8,0,159,368
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 24","Rimouski",11,63,8,53,1,1,137,286
24056,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 25A","Rimouski",19,75,18,44,7,1,164,296
