Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Chase,Rob Moir,Sharon Murphy-Flatt,Arthur Jr. Watson,Rodney Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John/Saint John"," 1A","Quispamsis",34,65,6,2,113,0,220,484
13009,"Saint John/Saint John"," 1B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,83
13009,"Saint John/Saint John"," 2","Quispamsis",27,74,9,1,91,0,202,385
13009,"Saint John/Saint John"," 3","Quispamsis",32,41,1,0,97,0,171,315
13009,"Saint John/Saint John"," 3-1","Quispamsis",33,48,4,1,86,0,172,330
13009,"Saint John/Saint John"," 4","Quispamsis",34,68,3,1,100,1,207,401
13009,"Saint John/Saint John"," 5","Rothesay",60,95,10,4,164,2,335,567
13009,"Saint John/Saint John"," 6","Rothesay",21,92,7,1,175,0,296,504
13009,"Saint John/Saint John"," 7","Rothesay",43,77,4,0,136,2,262,529
13009,"Saint John/Saint John"," 8","Rothesay",21,64,5,1,63,0,154,340
13009,"Saint John/Saint John"," 9","Rothesay",39,66,15,2,130,1,253,477
13009,"Saint John/Saint John"," 10","Rothesay",30,64,6,1,115,1,217,450
13009,"Saint John/Saint John"," 11","Rothesay",16,51,0,1,74,1,143,272
13009,"Saint John/Saint John"," 12","Rothesay",23,46,6,0,70,0,145,267
13009,"Saint John/Saint John"," 13","Rothesay",37,71,4,0,138,2,252,466
13009,"Saint John/Saint John"," 14","Rothesay",28,88,14,2,129,1,262,545
13009,"Saint John/Saint John"," 15","Rothesay",31,81,6,3,182,2,305,554
13009,"Saint John/Saint John"," 16","Rothesay",15,61,6,2,95,1,180,360
13009,"Saint John/Saint John"," 17","Rothesay",45,57,3,3,85,0,193,367
13009,"Saint John/Saint John"," 18","Rothesay",74,58,12,1,162,0,307,554
13009,"Saint John/Saint John"," 19","Rothesay",6,52,1,0,60,0,119,248
13009,"Saint John/Saint John"," 20","Rothesay",72,32,10,2,112,0,228,399
13009,"Saint John/Saint John"," 21","Rothesay",51,53,7,0,115,0,226,412
13009,"Saint John/Saint John"," 22","Rothesay",57,62,3,0,90,1,213,366
13009,"Saint John/Saint John"," 23","Rothesay",94,40,1,1,107,0,243,415
13009,"Saint John/Saint John"," 24","Rothesay",47,46,16,1,114,2,226,402
13009,"Saint John/Saint John"," 25","Rothesay",58,65,10,0,101,1,235,392
13009,"Saint John/Saint John"," 26","Saint John",13,45,3,3,104,0,168,428
13009,"Saint John/Saint John"," 27","Saint John",9,58,4,1,88,0,160,338
13009,"Saint John/Saint John"," 28","Saint John",11,57,5,0,100,1,174,432
13009,"Saint John/Saint John"," 29","Saint John",35,87,4,2,124,0,252,537
13009,"Saint John/Saint John"," 30","Saint John",12,65,0,0,104,0,181,389
13009,"Saint John/Saint John"," 31","Saint John",26,80,3,0,158,4,271,571
13009,"Saint John/Saint John"," 32","Saint John",4,42,6,1,55,0,108,261
13009,"Saint John/Saint John"," 33","Saint John",26,68,7,1,129,3,234,534
13009,"Saint John/Saint John"," 34","Saint John",27,47,2,1,88,1,166,331
13009,"Saint John/Saint John"," 35","Saint John",19,63,2,1,158,0,243,529
13009,"Saint John/Saint John"," 36","Saint John",5,40,1,0,60,0,106,371
13009,"Saint John/Saint John"," 37","Saint John",19,70,4,3,131,0,227,539
13009,"Saint John/Saint John"," 38","Saint John",17,44,5,1,77,1,145,283
13009,"Saint John/Saint John"," 39","Saint John",26,69,5,1,88,0,189,410
13009,"Saint John/Saint John"," 40","Saint John",23,44,5,0,75,0,147,346
13009,"Saint John/Saint John"," 41","Saint John",6,45,2,2,52,0,107,324
13009,"Saint John/Saint John"," 42","Saint John",3,30,0,1,34,1,69,240
13009,"Saint John/Saint John"," 43","Saint John",43,81,4,1,119,0,248,453
13009,"Saint John/Saint John"," 44","Saint John",6,48,8,1,43,0,106,296
13009,"Saint John/Saint John"," 45","Saint John",11,51,2,2,59,2,127,266
13009,"Saint John/Saint John"," 46","Saint John",11,42,3,1,52,0,109,252
13009,"Saint John/Saint John"," 47","Saint John",24,51,3,2,71,0,151,333
13009,"Saint John/Saint John"," 48","Saint John",16,57,4,2,98,0,177,497
