Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Peter Goldring,Ray Martin,Shafik Ruda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Edmonton East/Edmonton-Est"," 1","Edmonton",4,127,62,15,0,208,497
48013,"Edmonton East/Edmonton-Est"," 1-1","Edmonton",Merged with No. 1-2/Fusionné avec le nº 1-2,,,,,,114
48013,"Edmonton East/Edmonton-Est"," 1-2","Edmonton",5,65,37,7,0,114,221
48013,"Edmonton East/Edmonton-Est"," 2","Edmonton",1,77,41,11,1,131,368
48013,"Edmonton East/Edmonton-Est"," 2-1","Edmonton",4,94,39,16,1,154,389
48013,"Edmonton East/Edmonton-Est"," 2-2","Edmonton",0,43,29,8,0,80,188
48013,"Edmonton East/Edmonton-Est"," 3","Edmonton",5,108,43,28,1,185,433
48013,"Edmonton East/Edmonton-Est"," 3-1A","Edmonton",3,67,30,8,0,108,289
48013,"Edmonton East/Edmonton-Est"," 3-1B","Edmonton",1,92,43,17,2,155,339
48013,"Edmonton East/Edmonton-Est"," 3-2","Edmonton",2,44,23,3,0,72,186
48013,"Edmonton East/Edmonton-Est"," 3-3","Edmonton",2,74,45,29,0,150,403
48013,"Edmonton East/Edmonton-Est"," 3-4","Edmonton",0,36,21,16,1,74,165
48013,"Edmonton East/Edmonton-Est"," 4","Edmonton",5,113,73,22,0,213,514
48013,"Edmonton East/Edmonton-Est"," 5","Edmonton",7,103,82,21,1,214,490
48013,"Edmonton East/Edmonton-Est"," 6","Edmonton",7,120,45,11,0,183,369
48013,"Edmonton East/Edmonton-Est"," 7","Edmonton",3,91,54,6,0,154,276
48013,"Edmonton East/Edmonton-Est"," 8","Edmonton",3,94,64,10,0,171,388
48013,"Edmonton East/Edmonton-Est"," 9","Edmonton",4,84,50,14,2,154,312
