Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Akpata,Romeo Bellai,Scott Bradley,Paul Dewar,Jen Hunter,Damian Konstantinakos,Stuart Ryan,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Ottawa Centre/Ottawa-Centre"," 1","Ottawa",0,0,16,78,5,36,0,0,0,135,265
35062,"Ottawa Centre/Ottawa-Centre"," 2","Ottawa",0,1,30,90,8,51,0,0,0,180,353
35062,"Ottawa Centre/Ottawa-Centre"," 3","Ottawa",0,0,49,142,15,75,0,0,1,282,459
35062,"Ottawa Centre/Ottawa-Centre"," 4","Ottawa",1,1,33,141,9,41,0,0,1,227,427
35062,"Ottawa Centre/Ottawa-Centre"," 5","Ottawa",1,2,72,150,18,102,0,0,2,347,589
35062,"Ottawa Centre/Ottawa-Centre"," 6","Ottawa",3,3,80,167,9,105,0,0,1,368,532
35062,"Ottawa Centre/Ottawa-Centre"," 7","Ottawa",0,2,45,109,11,59,0,1,0,227,350
35062,"Ottawa Centre/Ottawa-Centre"," 8","Ottawa",1,0,68,187,27,70,0,0,0,353,529
35062,"Ottawa Centre/Ottawa-Centre"," 9","Ottawa",1,0,39,141,19,62,2,0,1,265,419
35062,"Ottawa Centre/Ottawa-Centre"," 10","Ottawa",0,1,31,131,14,77,0,0,0,254,457
35062,"Ottawa Centre/Ottawa-Centre"," 11","Ottawa",0,1,54,96,10,76,0,0,1,238,413
35062,"Ottawa Centre/Ottawa-Centre"," 12","Ottawa",1,5,52,163,14,61,0,0,0,296,486
35062,"Ottawa Centre/Ottawa-Centre"," 13","Ottawa",2,0,44,129,10,38,0,0,1,224,368
35062,"Ottawa Centre/Ottawa-Centre"," 14","Ottawa",1,0,41,120,25,71,0,0,1,259,406
35062,"Ottawa Centre/Ottawa-Centre"," 15","Ottawa",4,0,57,133,6,68,0,0,0,268,407
35062,"Ottawa Centre/Ottawa-Centre"," 16","Ottawa",0,1,55,122,12,42,0,0,0,232,382
35062,"Ottawa Centre/Ottawa-Centre"," 17","Ottawa",0,0,66,100,7,69,1,0,2,245,391
35062,"Ottawa Centre/Ottawa-Centre"," 18","Ottawa",1,4,61,113,14,77,0,0,0,270,424
35062,"Ottawa Centre/Ottawa-Centre"," 19","Ottawa",1,3,56,110,5,53,0,0,1,229,360
35062,"Ottawa Centre/Ottawa-Centre"," 20","Ottawa",0,2,53,111,15,58,0,0,0,239,395
35062,"Ottawa Centre/Ottawa-Centre"," 21","Ottawa",1,1,54,108,8,44,0,0,0,216,350
35062,"Ottawa Centre/Ottawa-Centre"," 22","Ottawa",4,1,61,110,9,75,0,0,2,262,442
35062,"Ottawa Centre/Ottawa-Centre"," 23","Ottawa",2,1,44,76,5,45,0,0,0,173,315
35062,"Ottawa Centre/Ottawa-Centre"," 24","Ottawa",2,0,28,85,9,70,0,0,0,194,334
35062,"Ottawa Centre/Ottawa-Centre"," 25","Ottawa",0,0,52,128,16,50,0,0,1,247,334
35062,"Ottawa Centre/Ottawa-Centre"," 26","Ottawa",0,1,69,179,18,53,1,0,0,321,455
35062,"Ottawa Centre/Ottawa-Centre"," 27","Ottawa",1,0,30,71,4,32,0,0,2,140,273
35062,"Ottawa Centre/Ottawa-Centre"," 28","Ottawa",1,1,23,86,9,28,1,0,0,149,303
35062,"Ottawa Centre/Ottawa-Centre"," 29","Ottawa",1,0,26,100,11,27,2,0,1,168,352
35062,"Ottawa Centre/Ottawa-Centre"," 30","Ottawa",1,0,42,92,14,44,0,0,0,193,397
35062,"Ottawa Centre/Ottawa-Centre"," 31","Ottawa",0,3,30,93,9,54,0,0,0,189,340
35062,"Ottawa Centre/Ottawa-Centre"," 32","Ottawa",5,0,23,114,10,26,0,0,1,179,317
35062,"Ottawa Centre/Ottawa-Centre"," 33","Ottawa",1,1,16,93,10,35,1,0,1,158,304
35062,"Ottawa Centre/Ottawa-Centre"," 34","Ottawa",2,1,28,140,10,37,2,0,1,221,461
35062,"Ottawa Centre/Ottawa-Centre"," 35","Ottawa",0,0,21,99,9,33,0,0,0,162,304
35062,"Ottawa Centre/Ottawa-Centre"," 36","Ottawa",2,3,23,108,8,54,0,0,0,198,393
35062,"Ottawa Centre/Ottawa-Centre"," 37","Ottawa",3,2,50,154,9,72,0,0,0,290,502
35062,"Ottawa Centre/Ottawa-Centre"," 38","Ottawa",1,1,42,97,11,33,0,0,0,185,347
35062,"Ottawa Centre/Ottawa-Centre"," 39","Ottawa",2,0,54,149,19,38,0,0,0,262,441
35062,"Ottawa Centre/Ottawa-Centre"," 40","Ottawa",2,0,48,128,10,36,0,0,1,225,388
35062,"Ottawa Centre/Ottawa-Centre"," 41","Ottawa",1,1,40,152,21,65,0,0,0,280,446
35062,"Ottawa Centre/Ottawa-Centre"," 42","Ottawa",1,4,84,164,13,54,0,0,3,323,479
35062,"Ottawa Centre/Ottawa-Centre"," 43","Ottawa",1,1,43,160,10,46,0,0,0,261,410
35062,"Ottawa Centre/Ottawa-Centre"," 44","Ottawa",3,1,46,139,12,34,0,0,0,235,389
35062,"Ottawa Centre/Ottawa-Centre"," 45","Ottawa",0,0,41,130,10,44,1,0,2,228,371
35062,"Ottawa Centre/Ottawa-Centre"," 46","Ottawa",3,1,61,112,8,47,0,0,0,232,370
35062,"Ottawa Centre/Ottawa-Centre"," 47","Ottawa",3,0,59,96,13,41,0,0,1,213,388
35062,"Ottawa Centre/Ottawa-Centre"," 48","Ottawa",1,1,24,105,4,35,1,1,0,172,341
35062,"Ottawa Centre/Ottawa-Centre"," 49","Ottawa",2,3,18,139,20,17,0,0,4,203,385
35062,"Ottawa Centre/Ottawa-Centre"," 50","Ottawa",3,0,62,213,14,46,0,0,1,339,618
35062,"Ottawa Centre/Ottawa-Centre"," 51","Ottawa",2,0,27,91,8,37,0,1,2,168,364
35062,"Ottawa Centre/Ottawa-Centre"," 52","Ottawa",2,1,12,65,11,28,1,0,0,120,241
35062,"Ottawa Centre/Ottawa-Centre"," 53","Ottawa",5,0,31,142,5,23,0,0,0,206,448
35062,"Ottawa Centre/Ottawa-Centre"," 54","Ottawa",1,1,31,93,9,38,0,1,3,177,475
35062,"Ottawa Centre/Ottawa-Centre"," 55","Ottawa",3,1,26,86,12,38,0,1,1,168,379
35062,"Ottawa Centre/Ottawa-Centre"," 56","Ottawa",1,1,22,148,9,18,1,0,0,200,362
35062,"Ottawa Centre/Ottawa-Centre"," 57","Ottawa",0,2,25,113,7,30,0,1,5,183,315
35062,"Ottawa Centre/Ottawa-Centre"," 58","Ottawa",1,1,34,135,15,31,0,2,0,219,445
35062,"Ottawa Centre/Ottawa-Centre"," 59","Ottawa",0,8,45,92,5,62,1,5,11,229,361
35062,"Ottawa Centre/Ottawa-Centre"," 60","Ottawa",0,1,35,84,11,35,0,0,1,167,333
35062,"Ottawa Centre/Ottawa-Centre"," 61","Ottawa",0,1,15,87,6,31,0,0,1,141,299
35062,"Ottawa Centre/Ottawa-Centre"," 62","Ottawa",0,1,25,128,8,41,0,1,1,205,472
35062,"Ottawa Centre/Ottawa-Centre"," 63","Ottawa",1,0,40,67,8,26,0,0,0,142,231
35062,"Ottawa Centre/Ottawa-Centre"," 64","Ottawa",0,0,73,140,12,56,1,0,0,282,472
35062,"Ottawa Centre/Ottawa-Centre"," 65","Ottawa",3,0,35,107,8,22,0,0,2,177,425
35062,"Ottawa Centre/Ottawa-Centre"," 66","Ottawa",2,1,35,111,12,34,0,0,2,197,360
35062,"Ottawa Centre/Ottawa-Centre"," 67","Ottawa",4,0,41,109,10,44,0,0,1,209,405
35062,"Ottawa Centre/Ottawa-Centre"," 68","Ottawa",2,1,53,97,4,42,1,1,3,204,393
35062,"Ottawa Centre/Ottawa-Centre"," 69","Ottawa",1,1,44,92,5,36,2,0,1,182,342
35062,"Ottawa Centre/Ottawa-Centre"," 70","Ottawa",1,0,43,79,4,28,0,0,1,156,304
35062,"Ottawa Centre/Ottawa-Centre"," 71","Ottawa",2,0,61,129,10,71,0,0,0,273,477
35062,"Ottawa Centre/Ottawa-Centre"," 72","Ottawa",0,0,60,127,18,52,0,1,1,259,491
35062,"Ottawa Centre/Ottawa-Centre"," 73","Ottawa",2,2,112,160,18,107,0,0,3,404,533
35062,"Ottawa Centre/Ottawa-Centre"," 74","Ottawa",1,1,48,154,9,55,1,0,2,271,386
35062,"Ottawa Centre/Ottawa-Centre"," 75","Ottawa",1,1,34,137,11,43,1,0,1,229,361
35062,"Ottawa Centre/Ottawa-Centre"," 76","Ottawa",2,0,29,99,9,15,0,0,1,155,264
35062,"Ottawa Centre/Ottawa-Centre"," 77","Ottawa",4,1,42,151,11,28,0,0,1,238,395
35062,"Ottawa Centre/Ottawa-Centre"," 78","Ottawa",0,1,89,193,11,58,2,0,1,355,623
35062,"Ottawa Centre/Ottawa-Centre"," 79","Ottawa",1,0,30,153,19,38,0,0,2,243,472
35062,"Ottawa Centre/Ottawa-Centre"," 80","Ottawa",0,1,49,138,7,28,0,1,1,225,347
35062,"Ottawa Centre/Ottawa-Centre"," 81","Ottawa",1,0,36,100,13,25,0,0,1,176,345
35062,"Ottawa Centre/Ottawa-Centre"," 82","Ottawa",1,0,37,120,19,19,0,0,3,199,340
35062,"Ottawa Centre/Ottawa-Centre"," 83","Ottawa",7,0,28,132,11,20,1,0,0,199,346
