Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Beaupré,Denis Blanchette,Marie-Claude Bouffard,Michelle Fontaine,Pascal-Pierre Paillé,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Louis-Hébert/Louis-Hébert"," 1","Sainte-Foy",19,82,0,6,28,66,1,202,369
24037,"Louis-Hébert/Louis-Hébert"," 1-1","Sainte-Foy",5,85,1,2,16,73,3,185,384
24037,"Louis-Hébert/Louis-Hébert"," 2","Sainte-Foy",6,68,0,2,28,56,5,165,369
24037,"Louis-Hébert/Louis-Hébert"," 3","Sainte-Foy",11,105,1,2,34,76,6,235,396
24037,"Louis-Hébert/Louis-Hébert"," 4","Sainte-Foy",27,102,1,3,48,73,5,259,409
24037,"Louis-Hébert/Louis-Hébert"," 5","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 6","Sainte-Foy",14,149,2,6,35,92,5,303,474
24037,"Louis-Hébert/Louis-Hébert"," 7","Sainte-Foy",13,93,0,4,44,71,6,231,355
24037,"Louis-Hébert/Louis-Hébert"," 8","Sainte-Foy",15,98,0,3,28,62,2,208,293
24037,"Louis-Hébert/Louis-Hébert"," 9","Sainte-Foy",19,106,0,4,30,75,9,243,391
24037,"Louis-Hébert/Louis-Hébert"," 10","Sainte-Foy",21,115,1,6,43,124,4,314,588
24037,"Louis-Hébert/Louis-Hébert"," 11","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 12","Sainte-Foy",15,133,0,5,67,94,2,316,532
24037,"Louis-Hébert/Louis-Hébert"," 13","Sainte-Foy",17,91,0,3,28,81,2,222,336
24037,"Louis-Hébert/Louis-Hébert"," 14","Sainte-Foy",26,156,1,5,74,96,7,365,546
24037,"Louis-Hébert/Louis-Hébert"," 14-1","Sainte-Foy",35,174,0,5,51,110,8,383,606
24037,"Louis-Hébert/Louis-Hébert"," 15","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 16","Sainte-Foy",15,126,0,7,56,76,6,286,480
24037,"Louis-Hébert/Louis-Hébert"," 17","Sainte-Foy",17,124,0,7,52,89,7,296,485
24037,"Louis-Hébert/Louis-Hébert"," 18","Sainte-Foy",18,105,1,5,56,83,4,272,457
24037,"Louis-Hébert/Louis-Hébert"," 19","Sainte-Foy",17,87,1,4,43,77,3,232,347
24037,"Louis-Hébert/Louis-Hébert"," 20","Sainte-Foy",21,137,0,8,49,62,5,282,493
24037,"Louis-Hébert/Louis-Hébert"," 21","Sainte-Foy",18,135,1,3,45,84,5,291,502
24037,"Louis-Hébert/Louis-Hébert"," 22","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 23","Sainte-Foy",11,108,0,3,55,67,7,251,393
24037,"Louis-Hébert/Louis-Hébert"," 24","Sainte-Foy",17,108,1,5,39,78,4,252,438
24037,"Louis-Hébert/Louis-Hébert"," 25","Sainte-Foy",1,76,1,4,22,71,1,176,343
24037,"Louis-Hébert/Louis-Hébert"," 26","Sainte-Foy",8,60,0,4,18,44,2,136,291
24037,"Louis-Hébert/Louis-Hébert"," 27","Sainte-Foy",16,119,1,5,43,34,1,219,502
24037,"Louis-Hébert/Louis-Hébert"," 28","Sainte-Foy",15,67,0,3,40,30,3,158,341
24037,"Louis-Hébert/Louis-Hébert"," 29","Sainte-Foy",18,85,1,9,41,22,3,179,387
24037,"Louis-Hébert/Louis-Hébert"," 30","Sainte-Foy",17,109,0,2,43,37,0,208,460
24037,"Louis-Hébert/Louis-Hébert"," 31","Sainte-Foy",12,98,0,3,49,38,4,204,368
24037,"Louis-Hébert/Louis-Hébert"," 32","Sainte-Foy",21,77,0,6,40,33,2,179,327
24037,"Louis-Hébert/Louis-Hébert"," 33","Sainte-Foy",19,66,0,5,40,49,1,180,305
24037,"Louis-Hébert/Louis-Hébert"," 34","Sainte-Foy",14,89,1,7,50,34,1,196,365
24037,"Louis-Hébert/Louis-Hébert"," 35","Sainte-Foy",14,108,0,7,43,61,5,238,350
24037,"Louis-Hébert/Louis-Hébert"," 36","Sainte-Foy",28,86,0,3,46,36,2,201,277
24037,"Louis-Hébert/Louis-Hébert"," 37","Sainte-Foy",26,120,0,6,81,65,5,303,522
24037,"Louis-Hébert/Louis-Hébert"," 38","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 39","Sainte-Foy",35,122,1,6,51,64,4,283,509
24037,"Louis-Hébert/Louis-Hébert"," 40","Sainte-Foy",9,71,1,2,34,26,0,143,335
24037,"Louis-Hébert/Louis-Hébert"," 41","Sainte-Foy",24,65,1,2,38,38,0,168,330
24037,"Louis-Hébert/Louis-Hébert"," 42","Sainte-Foy",29,123,1,4,95,75,5,332,519
24037,"Louis-Hébert/Louis-Hébert"," 43","Sainte-Foy",19,76,0,2,44,33,0,174,296
24037,"Louis-Hébert/Louis-Hébert"," 44","Sainte-Foy",33,121,0,9,62,54,4,283,553
24037,"Louis-Hébert/Louis-Hébert"," 45","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 46","Sainte-Foy",26,94,0,5,31,35,2,193,382
24037,"Louis-Hébert/Louis-Hébert"," 47","Sainte-Foy",10,76,0,1,26,18,0,131,334
24037,"Louis-Hébert/Louis-Hébert"," 48","Sainte-Foy",41,114,0,8,97,53,3,316,586
24037,"Louis-Hébert/Louis-Hébert"," 49","Sainte-Foy",13,154,1,9,69,40,2,288,558
24037,"Louis-Hébert/Louis-Hébert"," 49-1","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 50","Sainte-Foy",19,74,0,5,39,27,1,165,378
24037,"Louis-Hébert/Louis-Hébert"," 51","Sainte-Foy",14,108,3,8,59,33,6,231,443
24037,"Louis-Hébert/Louis-Hébert"," 52","Sainte-Foy",14,86,1,8,45,22,2,178,270
24037,"Louis-Hébert/Louis-Hébert"," 53","Sainte-Foy",17,75,2,5,39,19,3,160,309
24037,"Louis-Hébert/Louis-Hébert"," 54","Sainte-Foy",20,122,0,6,50,17,2,217,442
24037,"Louis-Hébert/Louis-Hébert"," 55","Sainte-Foy",18,90,0,2,55,32,1,198,354
24037,"Louis-Hébert/Louis-Hébert"," 56","Sainte-Foy",14,84,0,4,34,33,3,172,316
24037,"Louis-Hébert/Louis-Hébert"," 57","Sainte-Foy",16,94,0,2,46,25,3,186,391
24037,"Louis-Hébert/Louis-Hébert"," 58","Sainte-Foy",18,96,1,5,28,17,2,167,381
24037,"Louis-Hébert/Louis-Hébert"," 59","Sainte-Foy",10,93,1,2,41,18,3,168,385
24037,"Louis-Hébert/Louis-Hébert"," 60","Sillery",91,122,1,11,103,57,1,386,618
24037,"Louis-Hébert/Louis-Hébert"," 61","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 62","Sillery",59,81,1,8,59,42,1,251,420
24037,"Louis-Hébert/Louis-Hébert"," 63","Sillery",22,89,1,5,83,14,1,215,347
24037,"Louis-Hébert/Louis-Hébert"," 64","Sillery",29,64,1,1,61,20,0,176,317
24037,"Louis-Hébert/Louis-Hébert"," 65","Sillery",35,98,5,5,95,40,5,283,543
24037,"Louis-Hébert/Louis-Hébert"," 66","Sillery",31,152,3,16,92,48,3,345,638
24037,"Louis-Hébert/Louis-Hébert"," 67","Sillery",35,66,1,2,36,28,0,168,405
24037,"Louis-Hébert/Louis-Hébert"," 67-1","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 68","Sillery",16,40,1,2,24,19,3,105,277
24037,"Louis-Hébert/Louis-Hébert"," 69","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 70","Sillery",21,69,2,4,66,18,1,181,360
24037,"Louis-Hébert/Louis-Hébert"," 71","Sillery",42,98,0,4,86,32,0,262,441
24037,"Louis-Hébert/Louis-Hébert"," 72","Sillery",43,101,0,4,64,37,2,251,409
24037,"Louis-Hébert/Louis-Hébert"," 73","Sillery",38,94,0,1,81,64,0,278,444
24037,"Louis-Hébert/Louis-Hébert"," 74","Sillery",11,83,0,2,50,24,0,170,260
24037,"Louis-Hébert/Louis-Hébert"," 75","Sillery",43,75,0,2,43,57,2,222,386
24037,"Louis-Hébert/Louis-Hébert"," 76","Sillery",70,93,2,5,75,40,2,287,482
24037,"Louis-Hébert/Louis-Hébert"," 77","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 78","Sillery",47,76,0,1,28,37,0,189,329
24037,"Louis-Hébert/Louis-Hébert"," 79","Sillery",68,97,0,3,38,40,0,246,374
24037,"Louis-Hébert/Louis-Hébert"," 80","Sillery",13,54,0,2,27,5,2,103,212
24037,"Louis-Hébert/Louis-Hébert"," 81","Sillery",41,81,0,1,54,42,0,219,351
24037,"Louis-Hébert/Louis-Hébert"," 82","Sillery",60,78,0,4,91,61,0,294,434
24037,"Louis-Hébert/Louis-Hébert"," 83","Sillery",35,113,0,3,63,30,1,245,435
24037,"Louis-Hébert/Louis-Hébert"," 84","Sillery",56,118,1,4,87,67,3,336,577
24037,"Louis-Hébert/Louis-Hébert"," 85","Sillery",37,123,0,7,71,41,2,281,472
24037,"Louis-Hébert/Louis-Hébert"," 86","Sainte-Foy",44,73,0,1,49,55,1,223,394
24037,"Louis-Hébert/Louis-Hébert"," 87","Sainte-Foy",33,92,0,2,55,27,2,211,366
24037,"Louis-Hébert/Louis-Hébert"," 88","Sainte-Foy",34,85,0,12,67,55,2,255,470
24037,"Louis-Hébert/Louis-Hébert"," 89","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 90","Sainte-Foy",29,103,0,3,55,62,1,253,371
24037,"Louis-Hébert/Louis-Hébert"," 90-1","Sainte-Foy",27,76,0,1,49,39,3,195,360
24037,"Louis-Hébert/Louis-Hébert"," 91","Sainte-Foy",58,118,0,3,71,57,3,310,477
24037,"Louis-Hébert/Louis-Hébert"," 92","Sainte-Foy",29,82,0,3,57,34,2,207,369
24037,"Louis-Hébert/Louis-Hébert"," 93","Sainte-Foy",43,51,1,4,43,43,4,189,342
24037,"Louis-Hébert/Louis-Hébert"," 94","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 95","Sainte-Foy",54,100,1,4,55,59,3,276,402
24037,"Louis-Hébert/Louis-Hébert"," 96","Sainte-Foy",38,111,0,3,87,51,1,291,480
24037,"Louis-Hébert/Louis-Hébert"," 97","Sainte-Foy",20,100,1,7,49,25,5,207,474
24037,"Louis-Hébert/Louis-Hébert"," 98","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 99","Sainte-Foy",40,107,2,4,76,57,2,288,463
24037,"Louis-Hébert/Louis-Hébert"," 100","Sainte-Foy",30,147,2,3,81,50,4,317,572
24037,"Louis-Hébert/Louis-Hébert"," 101","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 102","Sainte-Foy",11,61,0,6,24,21,2,125,275
24037,"Louis-Hébert/Louis-Hébert"," 103","Sainte-Foy",16,74,0,2,47,34,1,174,318
24037,"Louis-Hébert/Louis-Hébert"," 104","Sainte-Foy",10,66,0,5,40,32,1,154,277
24037,"Louis-Hébert/Louis-Hébert"," 105","Sainte-Foy",43,113,0,5,53,66,2,282,512
24037,"Louis-Hébert/Louis-Hébert"," 106","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 107","Sainte-Foy",31,108,1,6,55,55,4,260,407
24037,"Louis-Hébert/Louis-Hébert"," 108","Sainte-Foy",30,130,0,3,48,57,4,272,529
24037,"Louis-Hébert/Louis-Hébert"," 109","Sainte-Foy",14,23,1,1,14,17,2,72,111
24037,"Louis-Hébert/Louis-Hébert"," 110","Sainte-Foy",53,125,0,7,63,56,1,305,461
24037,"Louis-Hébert/Louis-Hébert"," 111","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 112","Sainte-Foy",41,97,0,3,67,36,1,245,425
24037,"Louis-Hébert/Louis-Hébert"," 113","Sainte-Foy",74,72,0,4,53,83,5,291,458
24037,"Louis-Hébert/Louis-Hébert"," 114","Sainte-Foy",24,89,0,3,67,39,6,228,352
24037,"Louis-Hébert/Louis-Hébert"," 115","Sainte-Foy",22,81,0,4,68,30,3,208,331
24037,"Louis-Hébert/Louis-Hébert"," 116","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 117","Sainte-Foy",28,91,1,3,45,41,2,211,339
24037,"Louis-Hébert/Louis-Hébert"," 118","Sainte-Foy",27,77,0,1,50,29,0,184,305
24037,"Louis-Hébert/Louis-Hébert"," 119","Sainte-Foy",53,93,1,3,78,47,0,275,413
24037,"Louis-Hébert/Louis-Hébert"," 120","Sainte-Foy",23,104,0,1,67,41,27,263,396
24037,"Louis-Hébert/Louis-Hébert"," 121","Sainte-Foy",41,112,1,6,74,68,2,304,495
24037,"Louis-Hébert/Louis-Hébert"," 122","Sainte-Foy",41,112,0,4,70,38,0,265,439
24037,"Louis-Hébert/Louis-Hébert"," 123","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 124","Sainte-Foy",29,106,2,5,55,41,1,239,374
24037,"Louis-Hébert/Louis-Hébert"," 125","Sainte-Foy",35,93,3,2,61,76,4,274,464
24037,"Louis-Hébert/Louis-Hébert"," 126","Sainte-Foy",26,70,0,1,31,41,4,173,287
24037,"Louis-Hébert/Louis-Hébert"," 126-1","Sainte-Foy",14,73,0,6,33,38,3,167,286
24037,"Louis-Hébert/Louis-Hébert"," 127","Sainte-Foy",17,86,1,3,28,33,1,169,348
24037,"Louis-Hébert/Louis-Hébert"," 128","Sainte-Foy",54,105,1,3,53,52,2,270,396
24037,"Louis-Hébert/Louis-Hébert"," 129","Sainte-Foy",12,71,0,3,41,37,4,168,305
24037,"Louis-Hébert/Louis-Hébert"," 129-1","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 130","Sainte-Foy",40,120,1,9,63,47,1,281,470
24037,"Louis-Hébert/Louis-Hébert"," 130-1","Sainte-Foy",11,45,0,1,18,17,1,93,209
24037,"Louis-Hébert/Louis-Hébert"," 131","Sainte-Foy",13,36,0,4,23,15,4,95,249
24037,"Louis-Hébert/Louis-Hébert"," 132","Sainte-Foy",57,155,2,8,88,70,4,384,595
24037,"Louis-Hébert/Louis-Hébert"," 132-1","Sainte-Foy",22,81,0,3,36,44,4,190,324
24037,"Louis-Hébert/Louis-Hébert"," 132-2","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 133","Sainte-Foy",18,110,0,2,44,38,4,216,429
24037,"Louis-Hébert/Louis-Hébert"," 134","Sainte-Foy",19,101,3,3,48,26,3,203,393
24037,"Louis-Hébert/Louis-Hébert"," 135","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 136","Sainte-Foy",11,95,0,0,30,29,0,165,301
24037,"Louis-Hébert/Louis-Hébert"," 137","Sainte-Foy",17,96,0,5,51,41,2,212,390
24037,"Louis-Hébert/Louis-Hébert"," 138","Sainte-Foy",37,108,0,4,64,34,0,247,328
24037,"Louis-Hébert/Louis-Hébert"," 139","Sainte-Foy",24,61,0,1,51,33,0,170,268
24037,"Louis-Hébert/Louis-Hébert"," 140","Sainte-Foy",26,88,1,2,53,54,7,231,452
24037,"Louis-Hébert/Louis-Hébert"," 141","Sainte-Foy",23,84,1,4,41,44,2,199,315
24037,"Louis-Hébert/Louis-Hébert"," 142","Sainte-Foy",19,74,0,1,36,22,1,153,289
24037,"Louis-Hébert/Louis-Hébert"," 143A","Sainte-Foy",36,87,0,2,53,30,0,208,353
24037,"Louis-Hébert/Louis-Hébert"," 143B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,69
24037,"Louis-Hébert/Louis-Hébert"," 144","Sainte-Foy",30,145,1,6,58,52,2,294,525
24037,"Louis-Hébert/Louis-Hébert"," 145","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 146","Sainte-Foy",16,40,0,1,28,27,1,113,261
24037,"Louis-Hébert/Louis-Hébert"," 147","Sainte-Foy",31,94,1,8,55,70,3,262,532
24037,"Louis-Hébert/Louis-Hébert"," 148","Sainte-Foy",43,148,0,5,68,125,5,394,656
24037,"Louis-Hébert/Louis-Hébert"," 148-1","Sainte-Foy",41,90,0,6,53,62,4,256,386
24037,"Louis-Hébert/Louis-Hébert"," 149","Sainte-Foy",25,74,0,3,59,49,3,213,360
24037,"Louis-Hébert/Louis-Hébert"," 150","Sainte-Foy",20,106,1,3,75,82,2,289,500
24037,"Louis-Hébert/Louis-Hébert"," 150-1","Sainte-Foy",42,72,0,1,44,130,4,293,490
24037,"Louis-Hébert/Louis-Hébert"," 151","Sainte-Foy",42,149,0,5,68,101,2,367,565
24037,"Louis-Hébert/Louis-Hébert"," 151-1","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 152","Sainte-Foy",47,105,0,4,89,73,4,322,462
24037,"Louis-Hébert/Louis-Hébert"," 153","Sainte-Foy",9,67,0,1,39,15,2,133,281
24037,"Louis-Hébert/Louis-Hébert"," 154","Sainte-Foy",42,117,0,6,78,56,2,301,454
24037,"Louis-Hébert/Louis-Hébert"," 155","Sainte-Foy",30,76,0,3,50,41,3,203,322
24037,"Louis-Hébert/Louis-Hébert"," 156","Sainte-Foy",38,114,3,7,47,56,1,266,461
24037,"Louis-Hébert/Louis-Hébert"," 157","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 158","Sainte-Foy",40,122,0,5,85,36,4,292,443
24037,"Louis-Hébert/Louis-Hébert"," 159","Sainte-Foy",26,103,4,2,39,58,2,234,433
24037,"Louis-Hébert/Louis-Hébert"," 160","Sainte-Foy",17,79,0,1,37,40,2,176,278
24037,"Louis-Hébert/Louis-Hébert"," 161","Sainte-Foy",12,57,1,1,39,34,0,144,253
24037,"Louis-Hébert/Louis-Hébert"," 162","Sainte-Foy",32,109,0,4,72,40,5,262,447
24037,"Louis-Hébert/Louis-Hébert"," 163","Sainte-Foy",74,141,1,1,40,101,10,368,554
24037,"Louis-Hébert/Louis-Hébert"," 164","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 165","Sainte-Foy",27,101,0,2,42,53,5,230,449
24037,"Louis-Hébert/Louis-Hébert"," 166","Sainte-Foy",14,85,0,1,64,38,0,202,346
24037,"Louis-Hébert/Louis-Hébert"," 167","Sainte-Foy",11,107,0,2,43,33,1,197,426
24037,"Louis-Hébert/Louis-Hébert"," 168","Sainte-Foy",22,72,0,4,48,48,0,194,442
24037,"Louis-Hébert/Louis-Hébert"," 169","Sainte-Foy",35,99,0,3,52,62,1,252,477
24037,"Louis-Hébert/Louis-Hébert"," 170","Sainte-Foy",34,113,0,4,69,31,2,253,429
24037,"Louis-Hébert/Louis-Hébert"," 171","Sainte-Foy",14,41,1,1,22,24,1,104,347
24037,"Louis-Hébert/Louis-Hébert"," 172","Sainte-Foy",23,52,0,1,32,23,3,134,293
24037,"Louis-Hébert/Louis-Hébert"," 173","Sainte-Foy",46,75,2,1,51,62,2,239,540
24037,"Louis-Hébert/Louis-Hébert"," 173-1","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 174","Sainte-Foy",15,74,0,4,26,37,4,160,365
24037,"Louis-Hébert/Louis-Hébert"," 175","Sainte-Foy",32,107,0,2,75,49,1,266,552
24037,"Louis-Hébert/Louis-Hébert"," 176","Sainte-Foy",28,44,0,0,32,59,2,165,373
24037,"Louis-Hébert/Louis-Hébert"," 177","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 178","Sainte-Foy",65,107,0,5,77,62,0,316,520
24037,"Louis-Hébert/Louis-Hébert"," 179","Sainte-Foy",27,91,1,2,69,43,0,233,370
24037,"Louis-Hébert/Louis-Hébert"," 180","Sainte-Foy",65,115,1,2,67,76,3,329,614
24037,"Louis-Hébert/Louis-Hébert"," 181","Sainte-Foy",48,137,3,8,61,84,6,347,617
24037,"Louis-Hébert/Louis-Hébert"," 182","Sainte-Foy",49,116,1,10,73,37,4,290,467
24037,"Louis-Hébert/Louis-Hébert"," 183","Cap-Rouge",23,137,1,12,81,45,3,302,468
24037,"Louis-Hébert/Louis-Hébert"," 184","Cap-Rouge",12,57,0,2,38,23,0,132,239
24037,"Louis-Hébert/Louis-Hébert"," 185","Cap-Rouge",22,77,0,3,40,52,1,195,346
24037,"Louis-Hébert/Louis-Hébert"," 186","Cap-Rouge",24,105,0,8,52,38,0,227,393
24037,"Louis-Hébert/Louis-Hébert"," 187","Cap-Rouge",23,104,0,5,46,45,0,223,357
24037,"Louis-Hébert/Louis-Hébert"," 188","Cap-Rouge",22,92,0,9,46,34,2,205,381
24037,"Louis-Hébert/Louis-Hébert"," 189","Cap-Rouge",20,84,0,3,50,32,3,192,340
24037,"Louis-Hébert/Louis-Hébert"," 190","Cap-Rouge",14,97,0,2,44,29,5,191,344
24037,"Louis-Hébert/Louis-Hébert"," 191","Cap-Rouge",21,150,0,4,68,58,1,302,543
24037,"Louis-Hébert/Louis-Hébert"," 192","Cap-Rouge",43,127,1,5,93,49,2,320,517
24037,"Louis-Hébert/Louis-Hébert"," 193","Cap-Rouge",29,98,0,4,79,46,3,259,413
24037,"Louis-Hébert/Louis-Hébert"," 194","Cap-Rouge",19,107,0,6,56,36,2,226,376
24037,"Louis-Hébert/Louis-Hébert"," 195","Cap-Rouge",37,96,0,5,64,64,1,267,439
24037,"Louis-Hébert/Louis-Hébert"," 195-1","Cap-Rouge",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 196","Cap-Rouge",24,115,0,4,66,46,6,261,421
24037,"Louis-Hébert/Louis-Hébert"," 196-1","Cap-Rouge",26,81,0,1,47,48,0,203,311
24037,"Louis-Hébert/Louis-Hébert"," 197","Cap-Rouge",57,121,2,6,89,40,1,316,468
24037,"Louis-Hébert/Louis-Hébert"," 198","Cap-Rouge",19,133,0,9,46,66,3,276,468
24037,"Louis-Hébert/Louis-Hébert"," 199","Cap-Rouge",30,132,0,9,80,70,2,323,476
24037,"Louis-Hébert/Louis-Hébert"," 200","Cap-Rouge",52,169,0,5,106,94,3,429,645
24037,"Louis-Hébert/Louis-Hébert"," 201","Cap-Rouge",25,96,0,6,62,40,4,233,467
24037,"Louis-Hébert/Louis-Hébert"," 202","Cap-Rouge",24,78,0,9,51,38,2,202,380
24037,"Louis-Hébert/Louis-Hébert"," 203","Cap-Rouge",33,77,0,6,90,44,2,252,410
24037,"Louis-Hébert/Louis-Hébert"," 204","Cap-Rouge",13,81,0,1,48,22,1,166,261
24037,"Louis-Hébert/Louis-Hébert"," 205","Cap-Rouge",38,70,1,3,41,43,2,198,356
