Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melanie Deveau,Alishia Fox,Lisa Lumley,Brian Masse,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Windsor West/Windsor-Ouest"," 67","Windsor",10,7,34,75,0,0,126,341
35102,"Windsor West/Windsor-Ouest"," 68","Windsor",2,0,13,37,1,0,53,253
35102,"Windsor West/Windsor-Ouest"," 69","Windsor",11,1,15,72,2,3,104,238
35102,"Windsor West/Windsor-Ouest"," 70","Windsor",11,4,12,50,1,0,78,249
35102,"Windsor West/Windsor-Ouest"," 71","Windsor",7,4,13,52,2,1,79,291
35102,"Windsor West/Windsor-Ouest"," 72","Windsor",10,1,25,71,0,1,108,286
35102,"Windsor West/Windsor-Ouest"," 73","Windsor",5,1,24,80,2,1,113,377
35102,"Windsor West/Windsor-Ouest"," 74","Windsor",9,1,30,92,2,1,135,390
35102,"Windsor West/Windsor-Ouest"," 75","Windsor",14,3,25,72,2,0,116,339
35102,"Windsor West/Windsor-Ouest"," 76","Windsor",6,2,11,93,0,0,112,300
35102,"Windsor West/Windsor-Ouest"," 77","Windsor",5,3,11,50,0,0,69,224
35102,"Windsor West/Windsor-Ouest"," 78","Windsor",7,1,16,73,0,0,97,241
35102,"Windsor West/Windsor-Ouest"," 79","Windsor",14,7,35,138,2,0,196,398
35102,"Windsor West/Windsor-Ouest"," 80","Windsor",9,7,30,106,0,2,154,354
35102,"Windsor West/Windsor-Ouest"," 81","Windsor",8,2,22,65,0,2,99,268
35102,"Windsor West/Windsor-Ouest"," 82","Windsor",7,1,14,54,0,0,76,239
35102,"Windsor West/Windsor-Ouest"," 83","Windsor",24,8,42,96,0,3,173,401
35102,"Windsor West/Windsor-Ouest"," 84","Windsor",19,9,34,145,2,2,211,460
35102,"Windsor West/Windsor-Ouest"," 85","Windsor",20,4,31,84,0,1,140,348
35102,"Windsor West/Windsor-Ouest"," 86","Windsor",22,8,60,99,3,0,192,425
35102,"Windsor West/Windsor-Ouest"," 87","Windsor",11,9,31,88,0,0,139,357
35102,"Windsor West/Windsor-Ouest"," 88","Windsor",22,11,77,78,0,1,189,421
35102,"Windsor West/Windsor-Ouest"," 89","Windsor",8,5,26,64,1,1,105,307
35102,"Windsor West/Windsor-Ouest"," 90","Windsor",4,0,35,40,0,2,81,226
35102,"Windsor West/Windsor-Ouest"," 91","Windsor",15,4,45,74,1,0,139,278
35102,"Windsor West/Windsor-Ouest"," 92","Windsor",14,8,26,100,0,2,150,361
35102,"Windsor West/Windsor-Ouest"," 93","Windsor",24,7,55,91,0,2,179,330
35102,"Windsor West/Windsor-Ouest"," 94","Windsor",15,9,44,93,0,2,163,338
35102,"Windsor West/Windsor-Ouest"," 95","Windsor",30,8,68,82,1,0,189,295
35102,"Windsor West/Windsor-Ouest"," 96","Windsor",24,7,83,83,0,0,197,350
35102,"Windsor West/Windsor-Ouest"," 97","Windsor",36,5,97,85,0,3,226,380
