Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 601","Bancroft",0,240,14,56,0,61,1,372,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 602","Madoc",4,632,26,140,1,119,2,924,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 603","Stirling",1,213,6,54,0,75,1,350,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 604","Tweed",8,473,28,128,1,170,2,810,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 605","Cannifton",1,604,11,115,0,197,2,930,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 606","Shannonville",1,231,15,69,0,69,0,385,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 607","Belleville",0,422,16,143,2,208,2,793,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 608","Belleville",3,201,20,62,0,187,5,478,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 609","Belleville",3,316,6,73,3,230,5,636,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 610","Belleville",7,336,10,120,0,244,2,719,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 611","Belleville",0,370,29,92,1,206,3,701,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 612","Ameliasburgh",2,471,19,92,0,188,1,773,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 613","Picton",2,495,45,127,1,257,4,931,
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 614","Picton",2,291,23,69,0,161,1,547,
35073,"Prince Edward--Hastings/Prince Edward--Hastings",,Group 1/Groupe 1,2,128,11,21,1,59,7,229,492
35073,"Prince Edward--Hastings/Prince Edward--Hastings",,Group 2/Groupe 2,6,540,31,126,3,272,5,983,
