Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 165","Belleville",0,75,8,67,0,58,0,208,365
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 166","Belleville",0,45,1,35,0,18,1,100,197
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 167","Belleville",1,63,4,33,1,22,0,124,321
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 168","Belleville",0,74,8,36,0,51,1,170,308
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 169","Belleville",0,96,3,58,1,33,0,191,442
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 170","Belleville",3,155,3,49,1,61,4,276,547
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 170-1","Belleville",0,3,2,3,0,0,0,8,8
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 171","Belleville",2,136,7,74,2,71,1,293,472
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 172","Prince Edward",0,125,16,62,0,34,0,237,455
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 173","Prince Edward",0,168,16,43,0,76,0,303,568
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 173-1","Prince Edward",0,94,7,25,1,20,1,148,280
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 174","Prince Edward",1,157,12,69,2,88,0,329,584
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 175","Prince Edward",0,166,11,41,0,75,0,293,479
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 175-1","Prince Edward",4,151,5,97,0,57,1,315,564
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 176","Prince Edward",1,173,14,70,1,88,0,347,551
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 177","Prince Edward",1,80,2,21,1,27,0,132,230
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 177-1","Prince Edward",0,191,13,98,0,76,0,378,556
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 178","Prince Edward",3,117,11,54,1,38,1,225,436
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 179","Prince Edward",0,147,15,88,2,50,2,304,627
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 180","Prince Edward",3,164,7,63,0,63,1,301,596
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 181","Prince Edward",1,170,25,71,0,56,3,326,616
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 182","Prince Edward",0,160,6,89,1,73,0,329,608
