Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Domm,Tanya Fredette,Gaston Gourde,Jacques Gourde,Nicole Larouche,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 1","Leclercville",4,59,25,88,7,3,186,279
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 2","Leclercville",2,21,15,28,5,4,75,121
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 3","Lotbinière",4,74,54,122,9,2,265,444
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 4","Lotbinière",3,40,19,63,15,1,141,266
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 5","Saint-Édouard-de-Lotbinière",3,43,16,88,7,6,163,254
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 6","Saint-Édouard-de-Lotbinière",4,57,14,91,6,6,178,312
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 7","Saint-Édouard-de-Lotbinière",2,72,12,109,9,2,206,379
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 8","Sainte-Croix",2,60,21,59,6,5,153,298
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 9","Sainte-Croix",3,82,35,99,11,1,231,454
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 10","Sainte-Croix",1,93,28,62,7,8,199,403
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 11","Sainte-Croix",3,109,37,92,6,5,252,424
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 12","Sainte-Croix",5,67,24,58,4,3,161,301
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 13","Saint-Antoine-de-Tilly",5,93,56,81,14,3,252,373
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 14","Saint-Antoine-de-Tilly",6,145,80,109,22,2,364,522
