Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Boucher,Lorraine Chartier,Raymond Côté,Louise Courville,Anne-Marie Genest,Michel Létourneau,Claude Moreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauport--Limoilou/Beauport--Limoilou"," 1","Beauport",73,12,90,2,0,61,0,5,243,538
24007,"Beauport--Limoilou/Beauport--Limoilou"," 2","Beauport",74,10,89,3,0,31,0,6,213,403
24007,"Beauport--Limoilou/Beauport--Limoilou"," 3","Beauport",70,15,127,3,1,33,1,3,253,472
24007,"Beauport--Limoilou/Beauport--Limoilou"," 4","Beauport",74,8,112,4,3,40,0,7,248,502
24007,"Beauport--Limoilou/Beauport--Limoilou"," 5","Beauport",86,8,137,3,0,31,1,14,280,563
24007,"Beauport--Limoilou/Beauport--Limoilou"," 6","Beauport",67,5,101,10,0,36,1,5,225,428
24007,"Beauport--Limoilou/Beauport--Limoilou"," 7","Beauport",59,4,94,3,0,47,0,4,211,460
24007,"Beauport--Limoilou/Beauport--Limoilou"," 8","Beauport",54,7,94,1,0,35,0,2,193,358
24007,"Beauport--Limoilou/Beauport--Limoilou"," 9","Beauport",43,8,98,2,0,34,1,8,194,344
24007,"Beauport--Limoilou/Beauport--Limoilou"," 10","Beauport",96,5,124,7,1,35,0,6,274,490
24007,"Beauport--Limoilou/Beauport--Limoilou"," 11","Beauport",69,2,80,2,1,34,2,6,196,392
24007,"Beauport--Limoilou/Beauport--Limoilou"," 11-1","Beauport",93,13,111,4,0,33,1,7,262,481
24007,"Beauport--Limoilou/Beauport--Limoilou"," 12","Beauport",66,5,84,2,2,22,0,3,184,399
24007,"Beauport--Limoilou/Beauport--Limoilou"," 13","Beauport",100,5,166,7,0,49,0,3,330,536
24007,"Beauport--Limoilou/Beauport--Limoilou"," 14","Beauport",81,6,71,2,0,26,1,6,193,316
24007,"Beauport--Limoilou/Beauport--Limoilou"," 14-1","Beauport",74,8,98,0,1,23,0,3,207,342
24007,"Beauport--Limoilou/Beauport--Limoilou"," 15","Beauport",93,14,129,5,0,32,0,10,283,439
24007,"Beauport--Limoilou/Beauport--Limoilou"," 16","Beauport",56,7,90,2,0,58,1,3,217,411
24007,"Beauport--Limoilou/Beauport--Limoilou"," 17","Beauport",78,10,117,7,1,59,1,8,281,476
24007,"Beauport--Limoilou/Beauport--Limoilou"," 18","Beauport",64,3,123,9,1,56,0,2,258,444
24007,"Beauport--Limoilou/Beauport--Limoilou"," 19","Beauport",83,14,120,2,0,39,0,3,261,456
24007,"Beauport--Limoilou/Beauport--Limoilou"," 20","Beauport",108,23,169,8,0,51,0,3,362,566
