Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matt Daudlin,Ron Franko,Robert Hodgson,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 1","Leamington",19,40,8,119,0,186,392
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 2","Leamington",11,20,6,82,2,121,240
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 3","Leamington",15,18,7,117,1,158,343
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 4","Leamington",25,26,9,128,2,190,412
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 5","Leamington",34,32,10,122,1,199,397
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 6","Leamington",31,13,4,85,1,134,299
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 7","Leamington",24,18,4,90,0,136,260
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 8","Leamington",11,17,5,102,0,135,245
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 9","Leamington",19,31,3,115,4,172,330
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 10","Leamington",13,14,1,106,0,134,280
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 11","Leamington",32,16,4,111,1,164,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 12","Leamington",66,31,4,119,2,222,444
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 13","Leamington",55,36,6,68,3,168,388
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 14","Leamington",33,23,2,123,1,182,304
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 15","Leamington",24,31,2,48,0,105,292
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 16","Leamington",37,43,4,108,1,193,484
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 17","Leamington",23,22,21,59,1,126,328
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 18","Leamington",23,36,3,37,0,99,276
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 19","Leamington",13,23,8,44,3,91,310
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 20","Leamington",15,32,9,52,1,109,265
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 21A","Leamington",16,39,3,56,2,116,357
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 21B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,13
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 22","Leamington",16,25,7,25,0,73,246
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 23","Leamington",25,31,2,50,0,108,357
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 24","Leamington",50,39,8,92,3,192,386
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 25","Leamington",46,32,6,81,1,166,374
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 26","Leamington",41,36,4,91,4,176,439
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 27","Leamington",13,23,3,45,0,84,285
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 28","Leamington",32,32,4,83,1,152,372
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 29","Leamington",34,11,6,52,2,105,254
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 30","Leamington",20,25,6,43,1,95,312
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 31","Leamington",40,60,6,109,0,215,406
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 32","Leamington",27,32,3,79,2,143,346
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 33","Leamington",50,56,13,162,4,285,531
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 34","Leamington",41,21,3,116,1,182,341
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 35","Leamington",49,34,3,76,0,162,423
