Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Daniel,Mary Trapani Hynes,Ryan Kidd,Yasmin Ratansi,Akil Sadikali,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Don Valley East/Don Valley-Est"," 68","North York",45,28,1,86,10,1,171,319
35016,"Don Valley East/Don Valley-Est"," 69","North York",88,40,2,65,7,2,204,399
35016,"Don Valley East/Don Valley-Est"," 70","North York",58,54,0,89,9,0,210,418
35016,"Don Valley East/Don Valley-Est"," 71","North York",114,82,5,92,10,5,308,527
35016,"Don Valley East/Don Valley-Est"," 72","North York",74,56,0,67,5,0,202,383
35016,"Don Valley East/Don Valley-Est"," 73","North York",98,56,2,75,6,0,237,486
35016,"Don Valley East/Don Valley-Est"," 74","North York",45,73,1,81,4,3,207,368
35016,"Don Valley East/Don Valley-Est"," 75","North York",63,69,1,77,8,0,218,467
35016,"Don Valley East/Don Valley-Est"," 76","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 77","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 78","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 79","North York",60,63,0,88,1,0,212,397
35016,"Don Valley East/Don Valley-Est"," 80","North York",108,27,0,76,13,1,225,390
35016,"Don Valley East/Don Valley-Est"," 81","North York",76,41,0,69,6,1,193,378
35016,"Don Valley East/Don Valley-Est"," 82","North York",101,27,0,53,6,0,187,303
35016,"Don Valley East/Don Valley-Est"," 83","North York",122,41,1,77,10,2,253,384
35016,"Don Valley East/Don Valley-Est"," 84","North York",137,36,0,65,17,0,255,404
35016,"Don Valley East/Don Valley-Est"," 85","North York",114,26,0,65,8,1,214,426
35016,"Don Valley East/Don Valley-Est"," 86","North York",91,48,0,86,4,2,231,447
35016,"Don Valley East/Don Valley-Est"," 87","North York",63,54,1,43,4,0,165,348
35016,"Don Valley East/Don Valley-Est"," 88","North York",48,55,2,32,2,0,139,435
35016,"Don Valley East/Don Valley-Est"," 89","North York",52,40,1,45,4,1,143,437
35016,"Don Valley East/Don Valley-Est"," 90","North York",93,28,1,77,6,2,207,323
35016,"Don Valley East/Don Valley-Est"," 90-1","North York",40,50,0,29,6,2,127,259
35016,"Don Valley East/Don Valley-Est"," 91","North York",103,40,1,90,16,3,253,374
35016,"Don Valley East/Don Valley-Est"," 92","North York",56,43,0,61,8,2,170,387
35016,"Don Valley East/Don Valley-Est"," 93","North York",45,50,1,23,5,2,126,236
35016,"Don Valley East/Don Valley-Est"," 93-1","North York",81,41,0,80,3,0,205,453
35016,"Don Valley East/Don Valley-Est"," 93-2","North York",88,49,0,83,8,3,231,479
35016,"Don Valley East/Don Valley-Est"," 94","North York",45,44,2,64,9,1,165,331
35016,"Don Valley East/Don Valley-Est"," 95","North York",59,45,4,73,1,1,183,350
35016,"Don Valley East/Don Valley-Est"," 96","North York",88,46,2,64,5,1,206,369
35016,"Don Valley East/Don Valley-Est"," 97","North York",80,45,0,44,3,0,172,327
35016,"Don Valley East/Don Valley-Est"," 98","North York",60,38,0,58,3,0,159,288
35016,"Don Valley East/Don Valley-Est"," 99","North York",59,61,2,43,3,0,168,313
35016,"Don Valley East/Don Valley-Est"," 100","North York",52,68,1,45,7,1,174,358
35016,"Don Valley East/Don Valley-Est"," 101","North York",58,57,3,39,5,0,162,414
35016,"Don Valley East/Don Valley-Est"," 102","North York",83,43,0,78,4,1,209,380
35016,"Don Valley East/Don Valley-Est"," 103","North York",105,63,1,76,5,2,252,444
35016,"Don Valley East/Don Valley-Est"," 104","North York",59,55,3,54,6,1,178,372
35016,"Don Valley East/Don Valley-Est"," 105","North York",38,49,0,26,7,0,120,290
35016,"Don Valley East/Don Valley-Est"," 106","North York",39,61,0,30,2,0,132,437
35016,"Don Valley East/Don Valley-Est"," 107","North York",61,33,0,38,7,3,142,326
35016,"Don Valley East/Don Valley-Est"," 108","North York",43,68,0,27,3,0,141,397
35016,"Don Valley East/Don Valley-Est"," 109","North York",86,32,2,82,5,10,217,393
35016,"Don Valley East/Don Valley-Est"," 110","North York",45,67,2,49,2,0,165,413
35016,"Don Valley East/Don Valley-Est"," 110-1","North York",31,32,1,24,2,2,92,213
35016,"Don Valley East/Don Valley-Est"," 111","North York",68,39,0,61,5,0,173,369
35016,"Don Valley East/Don Valley-Est"," 112","North York",39,63,4,28,7,0,141,460
35016,"Don Valley East/Don Valley-Est"," 113","North York",50,44,0,44,4,0,142,302
35016,"Don Valley East/Don Valley-Est"," 114","North York",50,47,1,37,4,1,140,328
35016,"Don Valley East/Don Valley-Est"," 115","North York",73,63,2,69,8,0,215,409
35016,"Don Valley East/Don Valley-Est"," 116","North York",48,64,1,23,7,0,143,388
35016,"Don Valley East/Don Valley-Est"," 117","North York",65,37,0,41,2,0,145,381
35016,"Don Valley East/Don Valley-Est"," 118","North York",37,46,0,29,2,0,114,256
35016,"Don Valley East/Don Valley-Est"," 119","North York",100,24,1,95,8,1,229,388
35016,"Don Valley East/Don Valley-Est"," 120","North York",99,31,0,79,6,1,216,359
35016,"Don Valley East/Don Valley-Est"," 121","North York",124,32,0,52,6,0,214,350
35016,"Don Valley East/Don Valley-Est"," 122","North York",63,42,1,39,11,0,156,281
35016,"Don Valley East/Don Valley-Est"," 122-1","North York",47,70,4,31,7,1,160,390
35016,"Don Valley East/Don Valley-Est"," 123","North York",69,52,1,35,6,0,163,337
35016,"Don Valley East/Don Valley-Est"," 124","North York",52,76,1,52,2,0,183,434
35016,"Don Valley East/Don Valley-Est"," 125","North York",39,35,0,27,0,1,102,306
35016,"Don Valley East/Don Valley-Est"," 126","North York",50,39,0,36,2,1,128,420
35016,"Don Valley East/Don Valley-Est"," 127","North York",92,52,0,90,8,5,247,412
35016,"Don Valley East/Don Valley-Est"," 128","North York",114,27,0,60,7,1,209,346
35016,"Don Valley East/Don Valley-Est"," 129","North York",68,49,1,53,7,1,179,384
35016,"Don Valley East/Don Valley-Est"," 130","North York",72,38,1,69,3,1,184,359
35016,"Don Valley East/Don Valley-Est"," 131","North York",55,51,0,49,0,2,157,306
35016,"Don Valley East/Don Valley-Est"," 132","North York",63,36,0,43,1,0,143,308
35016,"Don Valley East/Don Valley-Est"," 133","North York",68,52,1,39,4,0,164,378
35016,"Don Valley East/Don Valley-Est"," 134","North York",127,45,4,96,9,1,282,472
35016,"Don Valley East/Don Valley-Est"," 135","North York",122,45,3,78,11,0,259,433
35016,"Don Valley East/Don Valley-Est"," 136","North York",71,49,2,75,4,2,203,430
35016,"Don Valley East/Don Valley-Est"," 137","North York",77,57,1,78,8,0,221,364
35016,"Don Valley East/Don Valley-Est"," 138","North York",73,62,1,63,4,0,203,368
35016,"Don Valley East/Don Valley-Est"," 139","North York",68,48,0,73,1,0,190,336
35016,"Don Valley East/Don Valley-Est"," 140","North York",22,37,1,31,3,0,94,260
35016,"Don Valley East/Don Valley-Est"," 141","North York",16,31,0,46,2,0,95,296
35016,"Don Valley East/Don Valley-Est"," 142","North York",82,55,2,77,12,2,230,387
35016,"Don Valley East/Don Valley-Est"," 143","North York",75,53,2,53,1,2,186,302
35016,"Don Valley East/Don Valley-Est"," 143-1","North York",19,25,0,29,4,0,77,217
35016,"Don Valley East/Don Valley-Est"," 144","North York",70,31,1,57,3,1,163,329
35016,"Don Valley East/Don Valley-Est"," 145","North York",86,29,2,46,4,1,168,303
35016,"Don Valley East/Don Valley-Est"," 146","North York",106,50,3,79,12,0,250,424
35016,"Don Valley East/Don Valley-Est"," 147","North York",74,32,0,68,6,0,180,355
35016,"Don Valley East/Don Valley-Est"," 148A","North York",33,45,2,28,5,1,114,287
35016,"Don Valley East/Don Valley-Est"," 148B","North York",43,37,0,37,3,1,121,280
35016,"Don Valley East/Don Valley-Est"," 149","North York",55,56,2,36,10,0,159,343
35016,"Don Valley East/Don Valley-Est"," 149-1","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 150","North York",77,31,0,68,6,1,183,306
35016,"Don Valley East/Don Valley-Est"," 151","North York",44,50,0,38,3,1,136,278
35016,"Don Valley East/Don Valley-Est"," 152","North York",83,61,0,31,6,2,183,416
35016,"Don Valley East/Don Valley-Est"," 153","North York",65,54,0,82,4,1,206,448
35016,"Don Valley East/Don Valley-Est"," 153-1","North York",33,30,0,107,4,0,174,317
35016,"Don Valley East/Don Valley-Est"," 154","North York",54,63,0,66,3,0,186,400
35016,"Don Valley East/Don Valley-Est"," 155","North York",50,45,1,41,5,0,142,298
35016,"Don Valley East/Don Valley-Est"," 156","North York",41,38,0,72,3,0,154,337
35016,"Don Valley East/Don Valley-Est"," 157","North York",57,69,1,75,4,3,209,513
35016,"Don Valley East/Don Valley-Est"," 400","Toronto",74,29,1,30,1,0,135,216
35016,"Don Valley East/Don Valley-Est"," 401","Toronto",40,36,1,42,4,1,124,200
35016,"Don Valley East/Don Valley-Est"," 401-1","North York",39,37,1,41,1,1,120,215
35016,"Don Valley East/Don Valley-Est"," 402","North York",53,65,3,42,4,0,167,332
35016,"Don Valley East/Don Valley-Est"," 403","North York",59,50,3,52,7,0,171,362
35016,"Don Valley East/Don Valley-Est"," 404","North York",38,52,0,45,4,0,139,321
35016,"Don Valley East/Don Valley-Est"," 405","North York",36,34,0,30,2,0,102,290
35016,"Don Valley East/Don Valley-Est"," 406","North York",40,64,1,50,4,1,160,293
35016,"Don Valley East/Don Valley-Est"," 407","North York",70,58,1,54,4,2,189,304
35016,"Don Valley East/Don Valley-Est"," 408","Toronto",42,50,1,61,3,0,157,267
35016,"Don Valley East/Don Valley-Est"," 409","North York",27,46,0,33,1,1,108,281
35016,"Don Valley East/Don Valley-Est"," 410","North York",41,55,0,89,4,6,195,334
35016,"Don Valley East/Don Valley-Est"," 411","North York",31,44,2,37,1,2,117,352
35016,"Don Valley East/Don Valley-Est"," 412","North York",27,42,1,52,2,2,126,376
35016,"Don Valley East/Don Valley-Est"," 413","North York",56,47,1,47,8,3,162,271
35016,"Don Valley East/Don Valley-Est"," 414","North York",41,33,3,126,1,8,212,343
35016,"Don Valley East/Don Valley-Est"," 415","North York",36,41,1,37,2,0,117,236
35016,"Don Valley East/Don Valley-Est"," 416","North York",25,52,1,29,3,2,112,184
35016,"Don Valley East/Don Valley-Est"," 417","North York",63,54,2,34,4,0,157,350
35016,"Don Valley East/Don Valley-Est"," 418","North York",25,37,1,43,2,0,108,326
35016,"Don Valley East/Don Valley-Est"," 419","North York",32,39,1,36,3,0,111,301
35016,"Don Valley East/Don Valley-Est"," 420","North York",147,46,3,54,4,2,256,376
35016,"Don Valley East/Don Valley-Est"," 421","North York",28,36,0,36,6,0,106,242
35016,"Don Valley East/Don Valley-Est"," 422","North York",15,38,1,30,2,0,86,246
35016,"Don Valley East/Don Valley-Est"," 423","North York",85,47,2,63,8,0,205,318
35016,"Don Valley East/Don Valley-Est"," 424","North York",49,24,0,45,4,0,122,240
35016,"Don Valley East/Don Valley-Est"," 425","North York",35,35,0,23,1,0,94,156
35016,"Don Valley East/Don Valley-Est"," 426","North York",24,56,0,46,2,3,131,275
35016,"Don Valley East/Don Valley-Est"," 427","Toronto",36,32,0,58,3,2,131,245
35016,"Don Valley East/Don Valley-Est"," 428","Toronto",78,26,0,52,2,0,158,252
35016,"Don Valley East/Don Valley-Est"," 429","North York",31,25,0,38,2,0,96,227
35016,"Don Valley East/Don Valley-Est"," 430","North York",32,24,0,26,7,0,89,172
35016,"Don Valley East/Don Valley-Est"," 500","Mobile poll/Bureau itinérant",31,10,1,28,9,0,79,170
35016,"Don Valley East/Don Valley-Est"," 501","Mobile poll/Bureau itinérant",28,11,1,14,1,1,56,196
35016,"Don Valley East/Don Valley-Est"," 600","North York",210,80,0,265,14,3,572,
35016,"Don Valley East/Don Valley-Est"," 601","North York",130,71,2,125,8,0,336,
35016,"Don Valley East/Don Valley-Est"," 602","North York",144,44,1,193,19,4,405,
35016,"Don Valley East/Don Valley-Est"," 603","North York",200,64,0,258,12,1,535,
35016,"Don Valley East/Don Valley-Est"," 604","North York",75,47,1,84,5,1,213,
35016,"Don Valley East/Don Valley-Est"," 605","North York",105,48,1,129,6,1,290,
35016,"Don Valley East/Don Valley-Est"," 606","North York",138,75,1,186,6,2,408,
35016,"Don Valley East/Don Valley-Est"," 607","North York",279,79,2,289,16,2,667,
35016,"Don Valley East/Don Valley-Est"," 608","North York",161,49,0,163,10,2,385,
35016,"Don Valley East/Don Valley-Est"," 609","North York",90,51,0,127,7,2,277,
35016,"Don Valley East/Don Valley-Est"," 610","North York",165,64,2,183,15,1,430,
35016,"Don Valley East/Don Valley-Est"," 611","North York",175,85,2,187,11,2,462,
35016,"Don Valley East/Don Valley-Est",,Group 1/Groupe 1,20,7,0,38,4,9,78,140
35016,"Don Valley East/Don Valley-Est",,Group 2/Groupe 2,94,47,3,160,6,5,315,
