Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Philippe Bachand,André Bellavance,Tomy Bombardier,Isabelle Maguire,Marie-Josée Talbot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 1","Saint-Louis-de-Blandford",35,39,3,44,9,1,131,248
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 2","Saint-Louis-de-Blandford",86,80,7,96,9,2,280,500
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 3","Maddington",47,55,2,79,12,0,195,348
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 4","Daveluyville",54,89,4,81,14,1,243,458
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 5","Daveluyville",43,64,5,62,9,9,192,363
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 6","Sainte-Anne-du-Sault",57,55,3,72,7,4,198,334
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 7","Sainte-Anne-du-Sault",42,59,0,71,6,11,189,351
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 8","Sainte-Anne-du-Sault",35,43,1,97,18,22,216,345
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 9","Saint-Rosaire",77,63,11,74,8,4,237,357
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 10","Saint-Rosaire",46,42,2,51,5,2,148,276
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 11","Saint-Valère",55,99,10,88,6,7,265,439
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 11-1","Saint-Valère",43,50,4,44,11,8,160,250
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 12","Saint-Valère",42,60,4,72,17,3,198,326
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 13","Saint-Samuel",36,50,8,73,13,4,184,307
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 14","Saint-Samuel",24,47,3,49,6,1,130,232
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 15","Sainte-Clothilde-de-Horton",40,56,1,86,14,1,198,309
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 16","Sainte-Clotilde-de-Horton",31,26,2,58,15,3,135,230
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 17","Saint-Albert",30,59,0,48,13,4,154,278
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 18","Saint-Albert",31,59,6,77,11,5,189,359
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 19","Saint-Albert",72,86,3,68,10,7,246,393
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 20","Sainte-Élisabeth-de-Warwick",50,99,4,79,13,6,251,422
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 21","Sainte-Clothilde-de-Horton",30,41,6,124,3,3,207,335
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 22","Sainte-Clothilde-de-Horton",40,46,7,97,14,5,209,338
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 23","Sainte-Séraphine",47,39,3,91,3,4,187,271
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 24","Kingsey Falls",57,58,10,132,9,4,270,431
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 25","Kingsey Falls",53,74,7,92,11,2,239,361
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 25-1","Kingsey Falls",56,64,3,84,14,4,225,339
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 26","Kingsey Falls",45,78,7,98,18,3,249,384
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 27","Victoriaville",48,80,2,70,16,6,222,394
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 28","Victoriaville",66,83,3,78,14,10,254,478
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 29","Victoriaville",60,66,6,88,12,3,235,419
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 30A","Victoriaville",42,42,1,55,14,2,156,298
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 30B","Victoriaville",36,51,2,59,7,1,156,292
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 31","Victoriaville",65,76,5,70,27,5,248,389
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 32","Victoriaville",56,108,7,68,10,6,255,421
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 33","Victoriaville",27,38,0,44,10,2,121,303
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 34","Victoriaville",40,46,8,60,7,1,162,390
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 35","Victoriaville",26,48,4,41,14,3,136,256
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 36","Victoriaville",34,71,11,62,6,5,189,355
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 37","Victoriaville",65,109,2,67,18,4,265,420
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 38","Victoriaville",48,80,3,80,15,7,233,423
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 39","Victoriaville",52,56,8,82,15,8,221,450
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 40","Victoriaville",60,74,3,78,21,7,243,474
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 41","Victoriaville",58,96,6,69,14,5,248,449
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 42","Victoriaville",41,70,6,64,23,1,205,409
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 43","Victoriaville",45,75,4,84,21,5,234,396
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 44","Victoriaville",58,74,1,75,27,4,239,395
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 45A","Victoriaville",41,67,0,54,9,2,173,291
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 45B","Victoriaville",48,33,3,67,12,3,166,283
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 45-1","Victoriaville",45,70,3,56,11,1,186,272
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 46","Victoriaville",62,62,12,69,8,6,219,450
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 47","Victoriaville",70,72,5,104,12,5,268,462
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 48","Victoriaville",85,86,12,101,21,2,307,529
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 49","Victoriaville",69,87,4,63,16,5,244,470
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 49-1","Victoriaville",48,61,3,66,22,6,206,352
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 50","Victoriaville",55,90,3,71,12,8,239,398
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 51","Victoriaville",66,94,7,76,10,3,256,445
